"","SNAI1","miR101","ZEB2","TWIST1","miR141","miR200c","miR200a","TGFbeta","GSC","SNAI2","miR200b","ZEB1","TWIST2","miR34a","FOXC2"
"TWIST1",0.351405598639041,0.168575684197335,-0.142905151224989,0.182703570661479,0.0271012800092306,0.044707821366146,0.044707821366146,-0.042215698318392,-0.0445403160063398,-0.00878777681377361,-0.0341002236881786,-0.0276574362307908,-0.11965558072758,-0.162418956852448,-0.427485534263853
"SNAI1",0.400838349376346,0.381761211385838,-0.123863951355195,0.374771235923125,0.188444607829165,-0.0401570160439956,-0.0401570160439956,0.0223225559161859,0.0223245384461321,0.172946721613067,0.0786492945647658,-0.188939544084095,-0.0581106704103608,-0.357700324383005,-0.474278344574027
"GSC",-0.160828347684868,-0.173438392198245,-0.0875899458827496,-0.0523677252364325,0.00714472709962097,0.0464659390202029,0.0464659390202029,-0.0453544455397258,-0.0430469716462974,-0.0916507177716571,-0.0577176905023358,-0.00683910753210706,-0.0118611657224256,0.0760865787501761,0.180106599006933
"ZEB2",-0.187757356649528,-0.0811831189735976,-0.064751185042172,-0.0416247349648509,-0.0267991924034802,-0.00840119441692013,-0.00840119441692013,0.016038000583335,0.0177379041708928,0.0207852807773236,0.0249706350851596,0.0276019555410747,0.0452350715343625,0.0886778459634514,0.152197470106773
"miR200c",0.23448482083793,0.0861658040032353,-0.0437354296793259,0.0564586576589124,0.0212725330002631,0.00967727781010526,0.00967727781010526,-0.131909342221993,-0.133073980228611,-0.0575465005002625,-0.0734049448670167,-0.0217557231661399,-0.0358402279605797,-0.0521470682194648,-0.207673231374773
"miR200a",0.29264415949296,0.151559136974225,-0.032976547153533,0.0734244698573672,0.045764680032674,-0.00959981847669429,-0.00959981847669429,-0.109829262601053,-0.108409001483239,0.0153443595195646,-0.0106680451708771,-0.0460581116085034,-0.0666809926885687,-0.184922581093053,-0.236295125676664
"miR141",0.29264415949296,0.151559136974225,-0.032976547153533,0.0734244698573672,0.045764680032674,-0.00959981847669429,-0.00959981847669429,-0.109829262601053,-0.108409001483239,0.0153443595195646,-0.0106680451708771,-0.0460581116085034,-0.0666809926885687,-0.184922581093053,-0.236295125676664
"ZEB1",-0.0888489402337021,-0.0984373613938808,-0.00725887123565355,-0.0198296752881886,-0.0174773665670556,0.0122584392976204,0.0122584392976204,-0.0125358710685783,-0.0110002641839408,-0.10613019408008,-0.0276912416191448,-0.0825000762504869,0.010454636711219,0.0289635977741164,0.0855381132013141
"FOXC2",-0.0886478749403937,-0.0980451208829017,-0.00611658102819327,-0.0197221419827343,-0.017696287766103,0.013415408605233,0.013415408605233,-0.0110002641839408,-0.0139946738811788,-0.107120229057363,-0.0283278434569867,0.0174773665670556,0.0110620578124999,0.0293314231279525,0.0868599301211876
"miR101",0.373576422008701,0.317043093596004,0.016645449848907,0.304905842624543,0.14565290378345,-0.0823744205315648,-0.0823744205315648,0.061548549729287,0.0615978116797084,0.163867237757544,0.120403113231863,-0.14611901602546,-0.0440423132809851,-0.212815201366341,-0.354839501498108
"miR200b",-0.29264415949296,-0.151559136974225,0.032976547153533,-0.0734244698573672,-0.045764680032674,0.00959981847669429,0.00959981847669429,0.109829262601053,0.108409001483239,-0.0153443595195646,0.0106680451708771,0.0460581116085034,0.0666809926885687,0.184922581093053,0.236295125676664
"TGFbeta",-0.365951250459355,-0.199942227023777,0.036932426694843,-0.138569567867176,-0.0653873388988103,0.0204531390513533,0.0204531390513533,0.0783973658775752,0.179031359553771,-0.0406295206300637,0.042364549901245,0.0658407305507561,0.100319448582573,0.245552111783202,0.29784642694902
"SNAI2",-0.0161097231158164,0.0296449583789586,0.0502530159812652,0.086561142633596,0.00467215337425862,-0.0259427731510266,-0.0259427731510266,0.0273192597812573,0.0251748201839706,-0.0246389321847733,0.0393164536118358,-0.00454320841198758,0.0871059542612225,0.00146398054881119,-0.00687628780845443
"miR34a",-0.341498623619785,-0.225286561417583,0.0900519185318975,-0.172985295692302,-0.125886392392706,0.0778372399370137,0.0778372399370137,-0.0424277946092078,-0.0442401076594393,-0.142611542666034,-0.0961589101613873,0.126236014696816,0.0530657571580261,0.204353615203929,0.283826801191642
"TWIST2",-0.183473893133354,-0.0840285710819857,0.0960557379487891,-0.0197289871709089,-0.00588505757888278,-0.0439709009695131,-0.0439709009695131,0.035033090828238,0.0373482226566319,0.0288746144265501,0.0364320470424115,0.00619992402449796,0.0927782098548241,0.0878856745482497,0.0971772954524373
