"","miR34a","miR141","ZEB2","miR200c","GSC","SNAI1","TWIST1","miR200b","miR200a","SNAI2","miR101","FOXC2","TWIST2","TGFbeta","ZEB1"
"GSC",0.102875666067424,0.0599030833883362,-0.1477974192952,0.0964566681386215,0.00570188448154767,0.195093962044377,0.13325092327301,-0.0533663295402012,-0.0435943283444493,-0.0860971368019137,0.189195945767316,-0.203521397646559,-0.0920869469098123,-0.00605207535134608,-0.0597925296862613
"FOXC2",0.208990317025395,0.205967571762467,-0.115670749041577,0.25015584431339,0.204291683417254,0.0710763551292793,0.0277182943775565,0.198580189755433,0.155868073036357,0.223382276308458,-0.0791914538769379,-0.129573671867401,-0.0349411891762584,-0.201557416521809,-0.207100622456073
"SNAI1",0.0927741380232537,-0.0970869426154663,-0.0820661513254426,-0.00771976702612927,-0.0704496276667366,0.0561450378227729,0.205776864625396,-0.0862722268463806,-0.0916598563295838,-0.0734025611790218,0.165257447069491,-0.0385666460373427,-0.0812595244023549,0.0694238666726168,0.0977664366119297
"ZEB2",-0.105616648397187,-0.0959140601095381,-0.0633952723747713,-0.0601852623505021,-0.0467650754129085,-0.0317100762678661,-0.0299516724293673,-0.0278143881884769,-0.0216805635265741,-0.0192044167168079,-0.0067565642136837,0.00734694726634345,0.0397085728495827,0.043809272906185,0.0970691830124252
"miR200c",0.139224060977945,0.226039077605483,-0.058951606796543,0.141197569166362,0.233234126624416,-0.0371064386785052,-0.0903220510363806,0.108837884481332,0.0853918976974733,0.234408273669171,-0.136533887321563,-0.0976449615328846,0.0629431093314216,-0.232258219699896,-0.226192735780838
"miR141",0.139224060977945,0.226039077605483,-0.058951606796543,0.141197569166362,0.233234126624416,-0.0371064386785052,-0.0903220510363806,0.108837884481332,0.0853918976974733,0.234408273669171,-0.136533887321563,-0.0976449615328846,0.0629431093314216,-0.232258219699896,-0.226192735780838
"miR101",0.0561577820110072,0.214546618819563,-0.053849760012021,0.132651175110654,0.123797760051958,-0.161988094862721,-0.206868733383754,0.0963205880112935,0.0838315652051952,0.148866376962626,-0.205963634047936,0.0360276500330669,0.0386775665315194,-0.12218619053103,-0.215030461739396
"miR34a",-0.0301628824545246,-0.150370519380862,-0.0430263982064738,-0.114544460613289,-0.0880077317166799,0.105756295116116,0.0683036427433487,-0.01378710695742,-0.144335400134303,0.127907602009194,-0.0144614908379835,-0.0519102252475837,0.029484337747887,0.0870314974689991,0.150733824609155
"TGFbeta",0.0609236850932734,-0.0401044189637189,0.012178108096167,-0.0221193376754804,-0.223668734556901,0.0164278796628984,0.0894515283296165,-0.122914765539645,-0.0108306836515476,-0.142484378600417,0.078543665744223,0.111408940818269,-0.151663472484218,0.12203454729485,0.0410636011644099
"miR200b",-0.171985933674076,-0.179872784409416,0.0320237823724932,-0.105419979506894,0.0157862083536526,-0.0825266958177225,-0.10665833531502,-0.0548268159744954,-0.0742663148637843,0.0624868768631697,-0.0709896764678024,-0.0311709257735099,0.106266903119931,-0.0171706344558779,0.180701242644013
"miR200a",-0.171985933674076,-0.179872784409416,0.0320237823724932,-0.105419979506894,0.0157862083536526,-0.0825266958177225,-0.10665833531502,-0.0548268159744954,-0.0742663148637843,0.0624868768631697,-0.0709896764678024,-0.0311709257735099,0.106266903119931,-0.0171706344558779,0.180701242644013
"SNAI2",-0.0693656772038181,-0.217592143006979,0.0357099851916199,-0.125829538157695,0.0810421461885121,0.156440794022206,-0.0173749816638785,0.108539401596965,-0.093055204721634,-0.00243667538638139,-0.0699175443040372,-0.10750921082398,0.16777753347335,-0.0813098803703831,0.217037847130204
"TWIST2",-0.029747247171518,-0.186917148143154,0.0365873296460619,-0.109936807899276,-0.117971930509632,0.140273209080299,0.102618801965922,-0.121946334077164,-0.0762955895740643,-0.238236835510369,0.190999718465989,-0.0502193388754125,-0.171940533548524,0.116418511573201,0.187535447336638
"TWIST1",0.0356837203354158,0.153101114217756,0.0680150026344692,0.0488303196398401,0.116716624839666,-0.135477869328691,-0.193835467540616,0.142820782418439,0.119662325514486,0.220677294635385,-0.178358558171539,0.116204171460588,0.149967952139888,-0.115052364332768,-0.154043598071076
"ZEB1",-0.209947558260632,-0.207100622456073,0.116299497320145,-0.250321952463107,-0.201557416521809,-0.0722462964558399,-0.0283067405212927,-0.199213101147838,-0.156930123401274,-0.22210768037962,0.0783797174720414,0.129556705722571,0.0356991450722045,0.20300472601058,0.106443456540477
