"","miR200c","miR200a","miR34a","miR200b","FOXC2","TWIST1","TWIST2","SNAI1","miR101","SNAI2","miR141","ZEB1","GSC","TGFbeta","ZEB2"
"miR200c",0.284898454057146,0.0372994212830754,0.21834488071241,-0.00753584186294774,0.0799836136128324,0.0617462795562997,-0.0211622543878126,-0.0220382571599509,-0.0830918642771974,-0.144507364688707,-0.24421382388034,-0.244846043963278,-0.212996391577039,-0.214156251581578,-0.332034285820504
"miR200b",0.284898454057146,0.0372994212830754,0.21834488071241,-0.00753584186294774,0.0799836136128324,0.0617462795562997,-0.0211622543878126,-0.0220382571599509,-0.0830918642771974,-0.144507364688707,-0.24421382388034,-0.244846043963278,-0.212996391577039,-0.214156251581578,-0.332034285820504
"miR200a",0.284898454057146,0.0372994212830754,0.21834488071241,-0.00753584186294774,0.0799836136128324,0.0617462795562997,-0.0211622543878126,-0.0220382571599509,-0.0830918642771974,-0.144507364688707,-0.24421382388034,-0.244846043963278,-0.212996391577039,-0.214156251581578,-0.332034285820504
"TWIST2",0.0688906984928436,0.186445716369741,-0.0383549781794209,0.161897611112391,0.0429675893912379,0.0266397398811722,-0.0984708894714526,-0.0294688494170561,0.0344292110511411,0.110888648625962,0.124867004373586,0.124616342538389,-0.110782258086226,-0.111459650606047,-0.261598493713573
"TWIST1",0.0610289589020241,0.0629668040232458,-0.0212246499294477,0.096805022030592,0.0660627108886648,0.0290479753845579,-0.116834221243415,0.034428888615786,0.139851927793673,0.17806553769098,0.0140403859407978,0.013961824012997,-0.0681275569527719,-0.068134240729908,-0.126969982096812
"ZEB1",-0.186948048334612,0.226886559138137,-0.186415790592348,0.204714271657144,0.11657824357986,0.00541698182756875,0.208723909410512,-0.124275042435222,-0.126319969646608,-0.128039676124616,0.212454718546941,0.112275764899444,-0.00973802601910493,-0.0101846316880537,-0.0450517363964987
"FOXC2",0.187448687879927,-0.226609326372581,0.186547849593624,-0.204532517219383,-0.116400870247555,-0.00526464297817511,-0.20878993344326,0.12422213051593,0.126238203497794,0.12794320565051,-0.212660824846532,-0.212454718546941,0.00900187723956211,0.00973802601910493,0.0445900225169471
"SNAI2",0.0232369069965615,-0.152854197452162,0.0672627617935886,0.0868134324100823,-0.0879042446367288,-0.0646008771051958,-0.226364354300588,0.103703839427733,0.252956520924096,0.102203193693475,-0.177907075177387,-0.177392300094242,-0.150772979305945,-0.149776460705691,0.134223462420804
"SNAI1",-0.039739494772247,-0.0997412563246882,-0.0402233108928583,-0.0287863622563671,-0.0562812671793423,0.0177990350925688,-0.031570086635034,-0.0497349986821784,0.140174362207856,0.12780157965018,-0.0665423282663548,-0.0663580796667678,0.037944212963736,0.0383022578720043,0.144696430871689
"TGFbeta",-0.0317374729566682,-0.139125703211368,-0.015137133365733,0.0326115348662426,-0.110231312086667,-0.0820656354485776,-0.150853313111145,0.0494630650798947,0.119245949034853,0.188076092336489,-0.106262599985446,-0.10587196150332,0.0524295368290338,-0.0464799295192917,0.180500094784798
"miR34a",0.0899618347523371,-0.245952945085034,0.0539755293440115,-0.0809362502719755,-0.142542520060277,-0.0234479660201236,-0.250128643265531,0.146129263112207,0.153168764104488,0.155035664943465,-0.213820796221526,-0.213408893021137,0.0303859103025184,0.0314567949806766,0.185886131235996
"GSC",-0.0634927682194254,-0.116537247112672,0.0696153078927275,-0.135334498467925,-0.146480948135274,-0.207670222146355,0.013818921008946,-0.100403347256557,-0.151672665741269,-0.102234070071324,-0.0580305728998194,-0.0577991471501425,0.0810038059287753,0.0814637863685646,0.1924073888176
"miR101",-0.0808048285011351,-0.223199508013863,0.0412117261739375,-0.165244630197865,-0.0923247929345297,0.00853080664746922,-0.083113705502441,0.0782787257732142,0.172802946675287,0.16614481769106,-0.147771163147404,-0.14723890183813,0.110926705661523,0.112290206074971,0.316325863908019
"miR141",-0.0953732437820378,-0.259271589446172,0.0681258028102406,-0.16242571514127,-0.134325768060007,-0.0662240169306824,-0.166751918095999,0.108593343217717,0.171424069596519,0.234773773471077,-0.166421780396517,-0.165610909543436,0.220215239866033,0.222010574147004,0.368151081365224
"ZEB2",-0.509071179248112,-0.263839552301616,-0.2386416721572,-0.225714172160782,-0.126042700286486,-0.0526230224645078,0.0179614951171412,0.0636770926209782,0.117474659529738,0.171343899027801,0.263610376499282,0.264713740340601,0.339957906745248,0.342964452642645,0.462491276355143
