"","ZEB2","SNAI2","ZEB1","miR200a","TWIST1","SNAI1","miR101","miR200b","GSC","TGFbeta","miR200c","FOXC2","miR34a","miR141","TWIST2"
"SNAI2",-0.0887094059570104,0.297507461826343,0.0716636734517925,0.0795122439035888,0.279695449167017,-0.165079227521563,0.381913895771108,0.240742909929356,-0.205035233908121,0.205051486142803,0.00745096065888314,-0.0103898627225639,-0.105994648970461,-0.071670706813371,-0.400458058248192
"ZEB2",-0.0830283096824675,-0.0405231129120491,-0.0308272427604805,-0.0233859849539252,-0.016365276655202,-0.0156628214385146,-0.0124095912897897,-0.00683332307270277,-0.000811762729362419,0.000829522916098096,0.00265073769610904,0.00321599352167857,0.0243607568755694,0.0308496385082745,0.0336402266175497
"SNAI1",-0.0511924619334992,-0.143581817411949,-0.0740465378260613,-0.00364343036764104,-0.0777047610643494,-0.0405072576244,-0.153158694417164,-0.0841998114354458,0.0231312910661885,-0.0231673731112078,0.0645281510040514,0.0374881844853183,0.108191586677695,0.074040354987149,0.128044396731578
"miR101",-0.0318908312081222,0.159203435416084,0.177142782569014,0.101355524984661,0.0697607075946969,-0.033451479366717,0.147230680998064,0.0890647742876798,-0.00572897627868543,0.00576944145224584,-0.0730723977103993,-0.0271038340798706,-0.124968757911279,-0.177004687866736,-0.142663747470568
"ZEB1",-0.0199159189677021,0.132442418328188,0.0417980388150788,0.174226876453952,0.0317336134884345,0.0681366392546265,0.0323195980069201,0.181941722314187,-0.00311084470572572,0.00312492110216823,-0.1569155079526,0.0905633392731368,-0.151588137932477,-0.141699288482987,-0.195712485584787
"FOXC2",-0.019911476563473,0.132424633268716,0.141699288482987,0.174117488160236,0.0315872487115661,0.0681519249201997,0.0321714709257346,0.181837467230599,-0.00307210003311821,0.00311084470572572,-0.156787598889577,0.0906481699972827,-0.151345656715445,-0.14148036728394,-0.195715126546097
"miR200c",-0.0188356278564749,-0.058967589067606,0.173034584909473,0.0945237965502959,-0.0465783215902704,-0.00564872571397777,-0.0266814191740172,0.0197015869392158,-0.0850358486659821,0.0850991571935213,-0.0764249823521766,0.0470284855055853,-0.161987320318514,-0.17293183757535,-0.0483698378941396
"miR200a",-0.00428402400217394,0.0726036686122847,-0.155986582003616,-0.0742764138847199,0.0532452621722342,0.0100861774261442,0.0314313174499755,-0.0530189458325767,0.0907853545529292,-0.0907937160565665,0.0788489809835961,-0.0483295743622232,0.150722230047314,0.155886611624469,0.0358103042246502
"miR141",-0.00428402400217394,0.0726036686122847,-0.155986582003616,-0.0742764138847199,0.0532452621722342,0.0100861774261442,0.0314313174499755,-0.0530189458325767,0.0907853545529292,-0.0907937160565665,0.0788489809835961,-0.0483295743622232,0.150722230047314,0.155886611624469,0.0358103042246502
"miR200b",-0.00408831026744976,-0.153103014406306,-0.171008534608521,-0.0824393950799306,-0.0742223701077393,-0.0455831920466634,-0.0535962385827274,-0.131954531740746,-0.0821083580895295,0.0821382206025197,0.0870236089084555,0.0152235487619764,0.0915796908268502,0.170921523352597,0.127780735735273
"TGFbeta",-0.000609720177883001,-0.132425594196356,-0.0173642501156056,-0.00966377340041418,-0.111364623865614,0.0151152027287743,-0.0732291559050973,-0.115220130917211,0.0026957789405057,-0.102755467912565,0.0101084177895933,0.0272725030412748,-0.0352617340248193,0.0174003331882518,0.11079200459507
"TWIST2",0.0346428352873146,-0.198349816812931,-0.13001963768493,-0.080211565854523,-0.295001404671025,0.144130428264223,-0.175035314819699,-0.0877972046491519,0.0168047623980997,-0.016881160050711,0.0493246702707023,-0.028737006127724,0.130136183786716,0.129939162043104,0.210815987845138
"miR34a",0.0923931886881245,-0.164474900523584,0.0944717426832625,0.0613679807982997,-0.116685913174547,0.0229221002129183,-0.0869654182593204,-0.00098485739807713,0.0183591579514567,-0.0183755397567316,-0.134903144576098,-0.0654718982076077,-0.0465273648552689,-0.0943858705383934,0.220478586144453
"TWIST1",0.117696245640408,-0.151732376742476,-0.0736282075566716,-0.0916541643171025,-0.00901387473411548,0.00225766614562866,-0.0599243326247494,-0.0246638455455672,0.00076367662842355,-0.000825167378075993,-0.0239728535979124,0.0740317311441469,0.00642173032585364,0.0736030573685637,0.135050917864195
"GSC",0.132330505424879,0.019352034684633,0.0747791128345476,-0.0285046001355191,0.226955826404151,-0.114603998194767,0.117283742371466,0.1021827906061,-0.0190013061826576,0.0190069849535192,-0.0991898251690887,-0.0669619256277686,-0.0849157977123047,-0.0746921439222487,-0.0537841118917122
