"","miR200b","SNAI2","miR200c","miR200a","TWIST1","miR141","ZEB1","miR34a","FOXC2","miR101","ZEB2","TWIST2","SNAI1","GSC","TGFbeta"
"miR200c",0.151165152625921,0.273159997568419,0.104472820871051,0.104472820871051,0.185035503760449,0.0160798382959344,0.0184587630589676,-0.0242875850626871,-0.0667811673348228,-0.0687693087114465,-0.191742500346477,-0.151448385733508,-0.139178327745018,-0.203803603149499,-0.201535246662764
"TWIST2",0.0127971847148696,-0.231757462151321,0.057154386436,0.057154386436,-0.194155834016903,-0.0680695294081914,-0.0661688970367545,0.0463351634254987,0.0808310627416822,0.10763754487818,-0.187395282531038,0.158527546138765,0.0189725196509131,-0.0269545798242149,-0.025427192680525
"miR101",0.0763009113973707,-0.0572698325386709,0.0185019738888678,0.0185019738888678,0.0367867533819572,-0.0723492271250756,-0.0699722933730254,0.0375224182486975,0.0454799688607625,-0.00455288669339837,-0.106099732862442,-0.0302559838588265,-0.0354717108391754,-0.0235229969581352,-0.022180608809153
"FOXC2",0.00645419925721231,-0.0905019459601027,0.000567609865445493,0.000567609865445493,-0.0596503320368415,-0.00371849789085345,-0.0078267410749288,0.0145450631201698,0.0904188611237656,0.0149277400774149,-0.0112341850014576,0.0827736716017534,0.0601847847564399,0.00571059640829076,0.00281028091595667
"ZEB1",0.00793314526599557,-0.0914154512875364,-0.00178047641818851,-0.00178047641818851,-0.06309139781138,-0.0078267410749288,-0.107990656600787,0.0185195167913355,0.0921540350267501,0.0136846576121063,-0.0104253712714669,0.0838221332417904,0.0591206672684627,0.00281028091595667,0.00127979272093459
"TGFbeta",-0.143535942794665,-0.296665578177378,-0.0622966509099275,-0.0622966509099275,-0.166803182279585,-0.0801471462588137,-0.0798205160099033,0.137749112045223,0.0599343731897248,0.097028975491733,0.0410329945441791,0.18331710535995,0.105275889497658,0.256441580888344,0.155292971480072
"miR34a",0.0301971153422817,0.279702231550568,0.0787125948666303,0.0787125948666303,0.159580914829443,0.111256278464005,0.109644524360307,-0.105123979510889,-0.154721124214042,-0.102422000147875,0.0638878530151251,-0.270548792847093,-0.0977351272778732,-0.0597988529716247,-0.0600409396495766
"SNAI1",-0.0559876940600482,-0.106223048229926,-0.0482969348561876,-0.0482969348561876,-0.011960478460347,-0.0319657483750194,-0.0309214668827294,0.0580689041621031,0.0708504467709178,0.00373370016371582,0.0773690194958339,0.0222709672219187,-0.0965588867769764,0.0462359720856455,0.0479881320520218
"ZEB2",-0.238347630119481,-0.226689133445425,-0.189332988457487,-0.189332988457487,-0.158471796299574,0.0117369799290196,0.012814464239554,0.0221977171612634,0.0409184228559513,0.0514448377153312,0.0846554891665894,0.114893843796264,0.125616924979627,0.203843921467614,0.205493081664498
"GSC",-0.0422932509374671,-0.120503888428104,-0.0857898548667927,-0.0857898548667927,-0.130905202349156,-0.0730372621339935,-0.0700827758647633,0.0509462567329037,-0.0540473432516644,0.00191598389354786,0.105552925338711,0.0360636016039453,0.0150858863550065,0.0703551996349668,0.0721364407618873
"miR200b",-0.058547681742934,0.135212923975757,-0.0941064346873641,-0.0941064346873641,0.0752806408500158,0.00300960309607361,0.00285964752735323,-0.090834237709178,-0.0180084536102557,-0.037379995622182,0.191863484310866,-0.0250189442008713,-0.06046552763617,-0.0415208588486239,-0.041672560414614
"SNAI2",0.153919892793172,0.3473170752939,-0.0460769189518421,-0.0460769189518421,0.24155987010305,0.0996795097017927,0.100543273488019,-0.0961031680492359,-0.125052446496607,-0.282182599261525,0.193737355255619,-0.348037130548565,-0.0919845710607442,-0.173911604784824,-0.172222227758641
"miR200a",-0.0335872317497657,0.193620389810773,-0.0891026875293356,-0.0891026875293356,0.120100971814661,0.0231065263796016,0.0265175527421608,-0.0156108798825208,-0.0492668588561361,-0.0490283818760649,0.201735093616611,-0.108577966066109,-0.0964787443099121,-0.0425025222533464,-0.0401505507302388
"miR141",-0.0335872317497657,0.193620389810773,-0.0891026875293356,-0.0891026875293356,0.120100971814661,0.0231065263796016,0.0265175527421608,-0.0156108798825208,-0.0492668588561361,-0.0490283818760649,0.201735093616611,-0.108577966066109,-0.0964787443099121,-0.0425025222533464,-0.0401505507302388
"TWIST1",-0.00693093689515604,0.148058570156769,-0.144628780164524,-0.144628780164524,0.0239719975361036,-0.0829452382846364,-0.0802609094446305,0.0579640687753934,-0.0659262516715951,-0.0780445083527872,0.229896646556366,-0.158308411243529,-0.0264334215999343,0.0795234741960899,0.0806262974235522
