"","miR141","ZEB2","SNAI2","miR101","FOXC2","miR200b","miR200c","TWIST1","TGFbeta","GSC","miR200a","SNAI1","miR34a","TWIST2","ZEB1"
"TWIST1",0.10686776362818,-0.0785970632700036,-0.0485636711299193,-0.0379931564692512,-0.0971021634736325,0.0862417766212427,0.0143639611835469,-0.0751276298039457,0.0128909304514593,0.0123963309433853,-0.0143639611835469,-0.00677391303461662,-0.0790315300989773,0.0254452398421956,-0.107155824030116
"ZEB2",-0.080382462890388,-0.0759773434623969,-0.0738931870418285,-0.0601350615471286,-0.0463679725070631,-0.0256938242412682,-0.0215735255144219,-0.0123588109333213,0.0152231112150896,0.0166616863406795,0.0215735255144219,0.0484388283739432,0.0629769413499877,0.0680146900768532,0.0812260360572961
"miR34a",0.0910765529923507,-0.0652126122313167,-0.0376853807358455,-0.0262791219961875,-0.0157812328724875,0.0882858368930532,0.0710935546018163,-0.044773554559199,-0.00745452275476755,-0.00760438593635682,-0.0710935546018163,0.00216479964816528,-0.0527419976934259,0.136723785998501,-0.0910760811673789
"GSC",0.135001512556582,-0.0581932901751759,0.0411024564269602,-0.032375111885723,0.162655446115519,0.0947550982375519,0.0372450487841124,-0.0798911814644783,-0.0115136431699767,-0.012212131985953,-0.0372450487841124,0.0101020415692988,-0.0914930331325202,-0.0673053519351863,-0.135336613111316
"miR101",0.119950508126925,-0.0310773896397226,0.0560301166327937,0.0882011711012625,0.0258343904981663,0.0670442202503588,0.0474097820105178,0.0243284122134807,-0.0256703071105663,-0.0260133814081437,-0.0474097820105178,-0.0189159346755897,-0.0441504895882958,-0.022156386263825,-0.120177938167467
"TGFbeta",0.0452577972293015,-0.0257986619132557,0.0775376680059052,0.0520032857174983,0.069605634800481,-0.0664053837743042,0.0146600215062825,-0.0208729339483335,-0.102393008200639,-0.00206552546204419,-0.0146600215062825,-0.0232916010800654,0.0317698964429835,-0.0738538828518415,-0.0451978679521239
"FOXC2",0.145813784781482,-0.0250032141070639,0.0566619437034303,0.056385471679256,0.0452935980749992,0.183527459292143,0.158819560631818,0.0956726571001888,-0.0743882958931116,-0.0747093231804311,-0.158819560631818,-0.0574005450705105,-0.159724933373143,-0.155439999172818,-0.145966495666671
"miR200b",0.171132751025147,-0.0212604934770009,0.0950567127354954,0.0730655921765197,0.0545174046287566,0.0350668784217801,0.0748506203975113,0.0193822331616105,0.0482976267092279,0.0488005114279827,-0.0748506203975113,-0.0539571272163423,-0.0885095737532293,-0.0918523117349861,-0.170622716961166
"miR200a",0.171132751025147,-0.0212604934770009,0.0950567127354954,0.0730655921765197,0.0545174046287566,0.0350668784217801,0.0748506203975113,0.0193822331616105,0.0482976267092279,0.0488005114279827,-0.0748506203975113,-0.0539571272163423,-0.0885095737532293,-0.0918523117349861,-0.170622716961166
"SNAI2",0.0382741895562238,-0.0210884836334322,-0.104030572387184,-0.00757912853879455,-0.0350386894014157,0.0238016846747736,0.00828279138180737,0.0682600056154648,-0.00091521894290981,-0.000815139392497944,-0.00828279138180737,0.0129229999430915,-0.0301248996374266,-0.0100239517468113,-0.0382993087047182
"SNAI1",0.0416066697424953,-0.0179505217276808,-0.0395630661864437,-0.076763735749181,-0.027218323600959,0.0326128950909655,-0.00328862943848328,0.004836706930811,0.0117424810171378,0.0115700009118258,0.00328862943848328,-0.0887799809012099,-0.0691327348501695,-0.0305136878268313,-0.0415636990120547
"TWIST2",-0.152446210926269,-0.0170985518470362,0.0951751428123414,0.0941325474222475,0.058729404622063,-0.0769083186891416,-0.081512775721286,0.00635904963752864,0.0277840120798852,0.0277178007809553,0.081512775721286,-0.0874948933127486,0.123044454402529,-0.0492557475124542,0.152483590322746
"miR200c",-0.171132751025147,0.0212604934770009,-0.0950567127354954,-0.0730655921765197,-0.0545174046287566,-0.0350668784217801,-0.0748506203975113,-0.0193822331616105,-0.0482976267092279,-0.0488005114279827,0.0748506203975113,0.0539571272163423,0.0885095737532293,0.0918523117349861,0.170622716961166
"miR141",-0.171132751025147,0.0212604934770009,-0.0950567127354954,-0.0730655921765197,-0.0545174046287566,-0.0350668784217801,-0.0748506203975113,-0.0193822331616105,-0.0482976267092279,-0.0488005114279827,0.0748506203975113,0.0539571272163423,0.0885095737532293,0.0918523117349861,0.170622716961166
"ZEB1",-0.145966495666671,0.025152182728882,-0.0571098038374111,-0.0573322999821937,-0.0464580925610021,-0.183431507710787,-0.158844447915574,-0.0956756441364514,0.0750486068535058,0.0743882958931116,0.158844447915574,0.0574934348843781,0.159571983682399,0.156660123298,0.0454161004147076
