"","miR200c","TGFbeta","GSC","ZEB1","miR34a","miR200b","TWIST1","SNAI1","miR101","SNAI2","ZEB2","FOXC2","TWIST2","miR141","miR200a"
"miR141",0.019526704464906,-0.0702267998111297,-0.0703402773604924,-0.174570879121167,-0.158013558798234,0.138346168010161,0.0209020644122206,0.00052692219611787,0.00478088106944314,0.00996581229488519,-0.212111058909743,0.0578934356962075,0.0675932061630824,0.174507934808371,-0.019526704464906
"TWIST2",0.0102098092761924,0.0243796757642351,0.0245171915389356,-0.113012943322521,-0.0104412387109722,0.0869591557835926,-0.00284651184277789,-0.0759571195821467,-0.0499110271380417,-0.0399712541156325,-0.130764156437855,0.00981570178448031,-0.0619108336987567,0.11280977530873,-0.0102098092761924
"SNAI1",0.00789227720623188,0.023806479035973,0.0239194832429016,-0.0778515309822442,-0.0749153474282601,0.0751415722236166,-0.000134246995415535,-0.112571826526173,0.00975595660180577,-0.0637862731198788,-0.0892807965959817,-0.0624706856204459,0.0144886648038189,0.0777260193523242,-0.00789227720623188
"SNAI2",-0.0338090448928906,-0.0186437739060345,-0.0182579971775238,-0.0950878911189268,-0.0388876873746311,0.0347367898294042,-0.0357795396252189,-0.0504871390753248,-0.0115955927550442,-0.07332920731925,-0.0284053077591111,0.0343093197492785,0.0295526646201334,0.0948973205123496,0.0338090448928906
"FOXC2",-0.232508782695279,-0.115016765927087,-0.115337793214407,-0.263417976221175,-0.237645170509611,0.238629088313947,0.00953455095862824,-0.090378707207498,-0.0863253592375772,-0.0823888126662775,-0.00957510242421486,0.120002594034454,0.124880585851845,0.263596316905277,0.232508782695279
"miR34a",-0.134896894894347,-0.0721588691808413,-0.0723669787811859,-0.158694035280929,-0.124271978691078,0.0366208134024966,-0.00993937886545202,0.0629832530955607,0.059840281105387,0.0618974352787238,0.00146951150216573,-0.064362085443439,0.0236761646339005,0.158842188322076,0.134896894894347
"ZEB1",0.232444538776748,0.11506411380603,0.115016765927087,0.16341597113829,0.237622041531987,-0.238486083553272,-0.00932545842024482,0.0904821794052239,0.0860611005247423,0.0826081617331009,0.00958606035464681,-0.119899254788676,-0.124988865265552,-0.263417976221175,-0.232444538776748
"ZEB2",-0.285480139366762,-0.247242810515521,-0.247022076766092,-0.231569732874384,-0.207666754486597,-0.10232514148583,0.0237428411737283,0.0394138263353133,0.0475582929156664,0.0544577959726317,0.0604079152202413,0.0622890315203745,0.120486739738963,0.231472684633944,0.285480139366762
"GSC",-0.124680697937675,-0.0808317273423425,-0.0809181708543467,-0.172041924942307,-0.114086215782629,0.0426890444657027,-0.103538126977092,-0.0138769273640975,0.0518274172964094,0.0146764060214825,0.0619957778030748,-0.117668449271512,0.064004114720455,0.172160340240974,0.124680697937675
"TGFbeta",-0.052769076036343,0.0514213160219026,0.151435834961052,-0.0113006072223796,0.0421503488803439,0.0473227133080962,-0.037723785641552,-0.00965409734018146,-0.0152287604347953,-0.0232225871471945,0.0924820179512062,-0.055709947854788,-0.0621601015339017,0.0111302323663197,0.052769076036343
"TWIST1",-0.0213159123013767,-0.0127564798452067,-0.0126375086121835,0.0695012613093186,-0.0027259356059604,-0.0268960803712212,-0.013318262091008,0.0165221217275066,-0.0113598564909135,-0.0716807732161945,0.106716148876593,0.00817558076611428,-0.0792999940573409,-0.0695419683148128,0.0213159123013767
"miR200a",-0.227996312313181,-0.255613174101136,-0.256092168809499,-0.280689612364407,-0.240303907473996,0.0205917362381445,0.0314055576158414,0.010188713259513,0.0177226580504373,0.026232784346712,0.168084995772059,0.0848473173292164,0.11167586457962,0.280918248324123,0.227996312313181
"miR101",-0.183095359472308,-0.13220575641782,-0.132483734566627,-0.173750622490748,-0.0879430378185442,-0.016343651021246,-0.00256688633769944,0.00951257251100043,-0.0139573438511985,0.0611432875710084,0.183398853042813,0.0941351880806529,0.043331206820902,0.173861439227144,0.183095359472308
"miR200c",-0.019526704464906,0.0702267998111297,0.0703402773604924,0.174570879121167,0.158013558798234,-0.138346168010161,-0.0209020644122206,-0.00052692219611787,-0.00478088106944314,-0.00996581229488519,0.212111058909743,-0.0578934356962075,-0.0675932061630824,-0.174507934808371,0.019526704464906
"miR200b",-0.019526704464906,0.0702267998111297,0.0703402773604924,0.174570879121167,0.158013558798234,-0.138346168010161,-0.0209020644122206,-0.00052692219611787,-0.00478088106944314,-0.00996581229488519,0.212111058909743,-0.0578934356962075,-0.0675932061630824,-0.174507934808371,0.019526704464906
