"","ZEB2","SNAI2","TWIST2","SNAI1","FOXC2","TWIST1","miR34a","miR200c","ZEB1","miR141","TGFbeta","GSC","miR200b","miR200a","miR101"
"TWIST1",-0.0887140697465687,0.160939151946326,0.10443600864418,-0.0123149189941838,-0.0407209672362798,0.00927349789492699,-0.0163927034461563,0.0490661800958201,-0.0249499382136488,-0.0249102683293138,0.00912763047136475,0.00914901855820039,-0.0240611904859604,-0.0490661800958201,-0.0880957974650955
"ZEB2",-0.0876655381767435,-0.0438321196359356,-0.0278885558050749,-0.0175442701440973,-0.0172688323305565,-0.0124547527829525,-0.00673920243478963,-0.00618707441820647,-0.00331233442509902,-0.00329292477701087,-0.000554494945069449,-0.000506288723929753,0.00515519349027205,0.00618707441820647,0.0129796632949378
"miR34a",-0.0857319022771221,0.122502770289072,0.225104902419081,0.0217775002441322,0.0398453160195131,0.0934090353555363,0.0436895321696228,-0.078171766109009,0.119315739701503,0.119332253575516,0.0158627297226108,0.0158329997797044,-0.0958510397284659,0.078171766109009,-0.0443746373535545
"TWIST2",-0.0769155524881073,-0.0790537404575968,-0.0700745969846418,0.00208467402702582,-0.0350376268313489,0.112232663627941,0.0247650198892008,0.019578433902823,0.0330279478600855,0.0329971648276929,-0.0227733718384568,-0.022768278661616,0.045050909871328,-0.019578433902823,0.0324278156232948
"GSC",-0.0528399455906123,-0.0276467233230436,0.0102984578578626,0.0184692074700961,-0.0434972294825548,-0.106388984883239,0.0531000001488752,-0.0422527209500666,0.139354207953266,0.139357647401775,-0.0105270559608164,-0.0105478781206422,-0.0284258431693991,0.0422527209500666,0.073703894915521
"SNAI2",-0.042443635801059,0.0775070591695336,0.177046575301995,0.000839735131785794,-0.0495422592114062,0.112599726916195,-0.0235565272472661,0.0409749003156239,-0.0396968578004385,-0.0396965228784585,0.192530331121293,0.192534608025157,-0.16422881685824,-0.0409749003156239,-0.187623418735019
"SNAI1",-0.0202469528013856,0.0513697530899429,-0.00451990925663321,-0.100922391839727,0.0671945108739495,-0.000587613532171607,-0.0135801349354102,-0.0116055941240368,0.0675175243476862,0.0674417845710103,0.00280469318181322,0.00273926969359143,-0.0269836210464052,0.0116055941240368,0.0218018286020095
"ZEB1",-0.0157202733435821,0.0963277149846466,0.10635547103084,0.0708730155400999,0.0799565964052687,0.0166654938197023,0.0193714148700743,-0.00823383423178843,-0.075707027473588,0.0243165322503121,0.000851644260761905,0.000895153122493302,-0.0181957724449134,0.00823383423178843,-0.0115297217905646
"miR200b",-0.00599743483765957,0.195541663268016,0.12388938541804,0.0656475264623419,0.0681304647318829,0.0663503278077729,0.0150077407672565,0.00129773812417102,0.00370898989659397,0.00372750292976933,-0.0865049343134345,-0.0864655157962874,-0.0454317843418936,-0.00129773812417102,-0.065011294803688
"TGFbeta",-0.00387905944405638,-0.17693006762188,-0.122853024731275,-0.0184115663088571,-0.0321357629780609,-0.0904097140800585,0.0767011184722864,-0.0181856413102479,0.0350102159813556,0.03500174430343,-0.110773986307775,-0.0107481748603976,0.11360539833326,0.0181856413102479,0.0804410795378604
"miR141",0.000333795645793524,0.181903639141888,0.113728266587869,0.0604905748722618,0.0617806491938493,0.061218913253095,0.00968548408741262,0.00209665641673971,-0.00370415543300436,-0.00364954198513706,-0.0832001749137297,-0.0831727014017787,-0.0738820956158259,-0.00209665641673971,-0.0604498935241762
"miR200a",0.00482066287502831,0.1319321059462,0.0181128853509762,0.020093234235469,0.045257961462791,0.0523108448260027,-0.102774141888115,0.0112880204735364,-0.0250865679644501,-0.0250412110331704,-0.0877332794079594,-0.0876651928783418,0.00568304457510935,-0.0112880204735364,-0.0563657924140196
"miR200c",0.0111518933584814,0.118294081820072,0.00795176652080511,0.014936282645389,0.0389081459247574,0.0471794302713248,-0.108096398567959,0.0120869387661051,-0.0324997132940484,-0.0324182559480768,-0.0844285200082546,-0.0843723784838331,-0.0227672666988229,-0.0120869387661051,-0.0518043911345079
"FOXC2",0.0157567010582613,-0.0964123287524384,-0.10636339391477,-0.0708471474906684,-0.0800969526943101,-0.0165101679340461,-0.0192736762872091,0.00816032992860344,-0.0243165322503121,-0.0242855629099591,-0.000895153122493302,-0.000861943403115431,0.0181284218156924,-0.00816032992860344,0.0113863347759771
"miR101",0.0753925503831326,-0.0474197222598261,0.0340271106825008,0.0217452787347077,-0.0564802920621042,-0.00507357129005939,0.0126513920929295,-0.0507958640387518,0.0210198685230007,0.020964289667516,0.00731612594603532,0.00727566077247492,-0.0484914526440242,0.0507958640387518,-0.0135229717692406
