"","miR34a","miR141","miR200c","ZEB2","GSC","TWIST1","FOXC2","SNAI2","TGFbeta","miR200a","miR101","TWIST2","miR200b","SNAI1","ZEB1"
"FOXC2",0.360326776418055,0.418861901779291,0.354752875653711,-0.0749544271374667,0.188027289419606,0.0282363919085493,-0.114754648002735,0.128876333599725,-0.19155305462689,-0.292576345086074,0.0951450432918627,-0.282233117690343,-0.343246126448547,0.0583040718255758,-0.423371678479668
"ZEB2",-0.194139316364283,-0.177218565047334,-0.0993390646879991,-0.0678122251105949,-0.05289172578559,-0.0300119761566659,-0.00633610428585854,0.0298302225884937,0.0559363292259919,0.0675775492521999,0.0714920708081659,0.0785217694203077,0.0817129041128279,0.113205782690947,0.180050880618351
"SNAI2",0.18679569476662,0.288648610573824,0.172624467036437,-0.0507113210369369,0.303640088121844,0.159445112823115,-0.074176142563222,0.245942487514457,-0.306877704346707,-0.125001160125923,0.27098691793574,-0.40171188621235,-0.367138068905446,-0.00602250787345826,-0.292128115023263
"miR200c",0.359888925193405,0.386188461620757,0.219390893759578,-0.0435107969987935,0.213972578360115,0.0575680378887476,0.0118556173502277,-0.0275258856056086,-0.216489390954928,-0.17922508204879,-0.102451853074631,-0.147652050145291,-0.176931825362366,-0.180998592270745,-0.389617075364833
"miR141",0.359888925193405,0.386188461620757,0.219390893759578,-0.0435107969987935,0.213972578360115,0.0575680378887476,0.0118556173502277,-0.0275258856056086,-0.216489390954928,-0.17922508204879,-0.102451853074631,-0.147652050145291,-0.176931825362366,-0.180998592270745,-0.389617075364833
"miR34a",0.0761269081700632,0.217367599609282,0.18062850612833,-0.032445161845708,0.109228662103343,0.038642528164488,-0.124811435535753,0.157504231097111,-0.110292265979157,-0.152228863410312,0.134101648768717,-0.264890233618847,-0.177540201890723,0.103064374121971,-0.218809496723128
"miR101",-0.0220527822194827,0.107686096792938,0.0672747739207858,-0.0289625365425639,0.0346567194333782,-0.226691612631335,-0.0865532909173162,-0.147817820603566,-0.0340110360117838,-0.0413738300802822,0.0710050959998825,0.0681219534893095,-0.0458286947025333,0.189482533938511,-0.107482534972543
"miR200a",0.279460619154769,0.298177781204118,0.165456499282685,-0.027546664830188,0.175368238865323,0.0452148314899433,0.00921711131996066,-0.02142871186806,-0.177290190201372,-0.139884352252179,-0.0807810204378288,-0.118081438056548,-0.101155365332153,-0.141911152916855,-0.300409527353407
"GSC",0.214282600020837,0.211883258594441,0.108700790013983,-0.00887489311553042,0.0654939726628609,0.162536793303655,-0.0127700657903351,0.216968022434443,-0.0677560163893965,-0.115242249944874,-0.0390090253287087,-0.212411865966915,-0.130050414727481,-0.202459115729437,-0.21436948851666
"TGFbeta",-0.25630753717871,-0.168031292584512,-0.0940290745657901,0.0151144836302163,-0.052659813325536,-0.0873777097967128,-0.0400711259891109,0.0234730015949215,-0.0453881959665851,0.0809019832783816,0.122211413212407,0.0352427301456039,-0.0148605828706751,0.223923097439708,0.170017116643449
"miR200b",-0.279460619154769,-0.298177781204118,-0.165456499282685,0.027546664830188,-0.175368238865323,-0.0452148314899433,-0.00921711131996066,0.02142871186806,0.177290190201372,0.139884352252179,0.0807810204378288,0.118081438056548,0.101155365332153,0.141911152916855,0.300409527353407
"ZEB1",-0.363890877260398,-0.423371678479668,-0.357567453814251,0.0758011493835463,-0.19155305462689,-0.0294521156674357,0.115363886839782,-0.13014446223421,0.194740718584917,0.294650092474356,-0.0951794087746977,0.285468295294991,0.345758397179624,-0.0576985243047932,0.326773802864984
"SNAI1",-0.33504324513503,-0.30185165645314,-0.210307567069068,0.0854465835307101,-0.137188927050782,-0.265697048680019,-0.0442031038267369,-0.213485037937121,0.139190092778391,0.119053165090714,0.0411474880878064,0.258271628236417,0.213243155651128,0.0997073261737692,0.304298514952689
"TWIST2",-0.263391924995611,-0.348868544547085,-0.228271282700968,0.0969688047589129,-0.144580233785337,-0.25578018645243,0.0755835836536094,-0.185517214291028,0.146733515771902,0.134470876701511,-0.0513939823728925,0.255740010166509,0.219215182913643,0.0913767246468547,0.3515202829089
"TWIST1",-0.132271036404906,-0.0437604148834591,-0.0809165115323818,0.100644528276501,-0.0783791317534131,-0.241558086889936,-0.169187904971023,-0.27225483809214,0.0802987125469111,-0.0198480423758098,-0.0622783124325436,0.245997408264101,0.138123473722626,0.215743854331029,0.0458810683735015
