"","ZEB2","SNAI1","SNAI2","TWIST2","miR34a","FOXC2","miR141","miR200b","GSC","miR101","TGFbeta","miR200c","miR200a","ZEB1","TWIST1"
"miR34a",-0.130815365793747,0.346650023167044,0.235091622403588,0.375590052677264,0.241790139023737,0.262150563294296,0.18604454521259,0.035874870684306,0.0450105039793698,-0.0354224886388344,-0.0453338929501677,0.0955611056583733,0.0955611056583733,-0.186547982457509,-0.0747910626031148
"TWIST2",-0.12567510189734,0.317977407218197,0.0353683171007114,0.0570134575132193,0.186629636806989,0.205497889434127,0.112523906501024,0.0859998587180021,0.0470489218759298,-0.121924895439139,-0.0472554784922494,-0.00488781537320954,-0.00488781537320954,-0.112882308949594,-0.129783232214902
"TWIST1",-0.119306906705188,0.239956454892109,0.226193869994204,0.196848110449324,0.0801601825961413,0.127605758526099,-0.0405445035992185,-0.0337064983398826,-0.0168445606071517,0.0274124146410823,0.0167175688415651,-0.0742198890155597,-0.0742198890155597,0.0403585996314523,-0.0912884754803956
"SNAI2",-0.108416891200385,0.0111571185019478,0.0957807244872127,0.20653114836889,0.0214995753444363,-0.0285086605381692,0.0289363256552765,-0.146125952913995,-0.177472009265574,0.192292837471984,0.17739930189989,-0.03956755583034,-0.03956755583034,-0.0289942671578034,0.139231257140826
"SNAI1",-0.0891297043285719,0.268071573437674,0.221179279861632,0.251625712718864,0.305858376317713,0.338036704587169,0.17759402427415,0.0374967930407845,0.0371194080757535,-0.11756139066473,-0.0374037028700263,0.0473301689699144,0.0473301689699144,-0.177989725964539,-0.230054271049756
"ZEB2",-0.0841114441912712,-0.0591327437339378,-0.055164965503918,-0.0472701640761842,-0.0374823591154328,-0.0279554832733378,-0.0117317220470961,-0.00406096151330778,-0.00235791747999139,0.00169666740068254,0.00236552898859239,0.00332844241671805,0.00332844241671805,0.0118397193197917,0.0317097564892906
"miR200a",-0.0263573867841705,0.277173236010109,0.254193645326995,0.225154746821699,0.182593224372319,0.149515036347082,0.0497070380731891,0.00719756534726322,0.101946034240722,-0.00897196013071863,-0.102212407856594,0.0144787136669118,0.0144787136669118,-0.0501494995660801,-0.144800914418132
"FOXC2",-0.0256836309533245,0.184461659334922,0.157889844317397,0.165289216773899,0.0753344091705514,0.147537310447912,0.0410164775203406,0.00845338687540908,0.00855172040251548,-0.00948959292671934,-0.00884507292368668,0.0127911038528079,0.0127911038528079,-0.0413977207791695,-0.0416241463529007
"miR200b",-0.0184891388182376,0.255870439509295,0.235748026032728,0.207583827820202,0.165783485413368,0.138048388627988,0.0388455078751011,-0.0303000022582912,0.0957347113614211,-0.00825519277653223,-0.0958983579326073,0.0125141563039962,0.0125141563039962,-0.0391963298537741,-0.132044426448036
"miR141",-0.00668127753440739,0.140460311879669,0.137788310370499,0.0674234123232939,0.0120709306235365,0.0675146962523333,0.00624976314292736,-0.0341079164048137,0.0864709436643575,-0.00109402981553772,-0.0864840831700732,0.000515924269187173,0.000515924269187173,-0.00636176699363827,-0.108758775107846
"miR101",-0.0058743553122985,-0.245583224496599,-0.131993969101936,-0.0997726129576672,-0.123996837141483,-0.251822370660763,-0.0174091330939878,0.0407213476185361,0.00727905265985509,0.105866770937511,-0.00720515973422304,-0.0120122833628006,-0.0120122833628006,0.0175901905925301,0.194918850024048
"ZEB1",0.0258260840489399,-0.185149514285714,-0.158370040923146,-0.166234680922849,-0.0759663525269391,-0.14844268563107,-0.0413977207791695,-0.00852442795006679,-0.00884507292368668,0.00961164964161619,0.00895384507801517,-0.0128912317618709,-0.0128912317618709,-0.0583706921475998,0.0419616814505768
"miR200c",0.0263573867841705,-0.277173236010109,-0.254193645326995,-0.225154746821699,-0.182593224372319,-0.149515036347082,-0.0497070380731891,-0.00719756534726322,-0.101946034240722,0.00897196013071863,0.102212407856594,-0.0144787136669118,-0.0144787136669118,0.0501494995660801,0.144800914418132
"TGFbeta",0.036168893687656,-0.284089259377051,-0.252817947349737,-0.276480621322173,-0.215175633484955,-0.166363015471512,-0.0592819868499864,0.10799008775666,-0.00426750538806426,0.0130358667865765,-0.095485672646394,-0.0173481724842864,-0.0173481724842864,0.0596619572932434,0.13548854743397
"GSC",0.0786785192784325,0.101401627267432,-0.017603810145092,0.0060336104479304,0.0340112817403637,0.0370544892725446,-0.0492544357209593,-0.0675182118905873,-0.0245479909311234,-0.11010035945996,0.0245347404657796,0.0196515185060817,0.0196515185060817,0.0492298682316093,-0.195504212296928
