"","miR200b","miR200c","TGFbeta","miR141","TWIST1","miR34a","FOXC2","TWIST2","SNAI2","miR101","SNAI1","GSC","ZEB1","miR200a","ZEB2"
"miR200c",0.257444584029269,0.0265455405461958,0.151687567306703,0.243362922487514,0.135837199796986,0.118121837829166,-0.0208633900225117,-0.0227131755775961,-0.0752803686080512,-0.115037119050907,-0.155554941689046,-0.151464195709536,-0.243456413305049,-0.0265455405461958,-0.306916975296178
"miR200b",0.257444584029269,0.0265455405461958,0.151687567306703,0.243362922487514,0.135837199796986,0.118121837829166,-0.0208633900225117,-0.0227131755775961,-0.0752803686080512,-0.115037119050907,-0.155554941689046,-0.151464195709536,-0.243456413305049,-0.0265455405461958,-0.306916975296178
"miR200a",0.257444584029269,0.0265455405461958,0.151687567306703,0.243362922487514,0.135837199796986,0.118121837829166,-0.0208633900225117,-0.0227131755775961,-0.0752803686080512,-0.115037119050907,-0.155554941689046,-0.151464195709536,-0.243456413305049,-0.0265455405461958,-0.306916975296178
"miR141",0.248425666258258,-0.0775869385858195,-0.0785727031252888,0.412711368839123,-0.249200726677386,0.383290339995675,-0.016542764870676,-0.247154067425139,0.15446134023885,0.193475503995684,0.234479237795102,0.0788295207370045,-0.416363064632961,0.0775869385858195,-0.279337978149013
"TWIST1",0.0940672700111173,0.188621118873539,0.0525266191889123,-0.145122195111445,-0.0741885327505409,-0.00679629124851449,-0.219863383026467,0.169650669664491,-0.228326340391121,-0.0442812866494024,0.206480033235156,-0.0524196787547341,0.145496336569586,-0.188621118873539,-0.249250709242611
"TWIST2",0.0182686564222791,0.152468494521647,0.0187779552472567,-0.106244686711935,-0.110225097121158,0.0483302732428183,-0.128904631290301,-0.0781825679155955,0.0346806582764869,0.118539722867445,0.233043839794969,-0.0187174030337055,0.105771507528301,-0.152468494521647,-0.201277617627053
"SNAI1",0.199713040251924,-0.0876605664699549,0.0296181554801966,0.296762103936424,-0.295683667883237,0.366182721716885,-0.128948429000947,-0.116240967192574,-0.0759116018119226,0.160619007396836,0.200055192201131,-0.0294591565785182,-0.298876943986381,0.0876605664699549,-0.154870016321913
"FOXC2",0.338651889434087,-0.279054241459934,0.00961104306235548,0.435276462778833,-0.163839214110741,0.398957120609874,-0.0939578509732197,-0.299529944915953,0.127852805402168,0.133062469242725,0.141044219462954,-0.00927894586857677,-0.439455187909918,0.279054241459934,-0.127607547968024
"TGFbeta",0.00725485700100003,0.169811224306202,0.10705339376762,-0.286142845199192,0.295112489966233,-0.349123986311103,-0.00564329219898799,0.251599391491734,-0.141410871503562,-0.206950652848201,-0.274726602562013,-0.207130828109751,0.289412599112637,-0.169811224306202,-0.0372779482338127
"miR34a",0.095424220709723,-0.242842849786442,-0.0203341830228117,0.3402365688424,-0.188958866589461,0.266286330983382,-0.047976063054225,-0.313707625788066,0.116584197144919,0.12172128911535,0.133683874823114,0.0204124516480142,-0.342484343008096,0.242842849786442,0.0120634890694859
"miR101",0.134162767845151,-0.221429812720848,-0.00637428446436185,0.358854969499421,-0.310842373987292,0.342690629701423,-0.134511058870332,-0.15753758243056,-0.0539670962086085,0.175779052036666,0.308294931508846,0.00653966386934786,-0.361886574432641,0.221429812720848,0.0649368320283679
"GSC",0.0860013486576645,-0.247867929704889,-0.0216741190642951,0.342253296616107,-0.297405011789003,0.28878459727857,0.109949093662175,-0.171267317861809,0.0726364086341107,0.17183255132617,0.172099517327127,0.0217630864744601,-0.344917395161221,0.247867929704889,0.127401637311192
"ZEB1",-0.340842168800806,0.280573523317104,-0.0098055532677429,-0.439455187909918,0.165422343329929,-0.402128774928651,0.0939223763067586,0.302226366413378,-0.12851193048503,-0.133999817412467,-0.141580393578443,0.00961104306235548,0.342082347760139,-0.280573523317104,0.12862130461312
"SNAI2",-0.25005166321286,-0.156130265444987,-0.230693202542572,0.0990901377266963,-0.182943952027028,0.0707562362994728,0.0553239451843169,-0.254737142676668,0.144900233389624,0.236263168922276,0.0272870105600784,0.230552064715068,-0.10032097600292,0.156130265444987,0.213289991531505
"ZEB2",-0.309018147254234,-0.232240680714579,-0.0893333973491595,-0.0892972118317881,-0.0564484891427311,-0.0535141631972106,0.00621167630281861,0.00687221550220371,0.0363237612035078,0.0487200397128322,0.0616189002189791,0.0891278866169323,0.0894221303361503,0.232240680714579,0.239967784999777
