"","miR200a","miR200c","miR200b","TGFbeta","GSC","SNAI1","ZEB1","miR141","FOXC2","miR34a","TWIST2","SNAI2","miR101","TWIST1","ZEB2"
"miR200c",0.169274451886547,0.145688336327396,0.166777501246763,0.130408761773313,0.130008604099244,0.0850950339053188,0.0222415522630964,0.0220295780332386,0.055913428017709,-0.0834923713454229,-0.0123780014086984,0.0679105244397079,-0.0760132451302624,-0.0955206419649645,-0.324886043102122
"miR200a",0.162056495359152,0.139932876146444,0.121946698537557,0.130866888644842,0.130629183041441,0.133952447305075,0.0208115188778977,0.0207874519347697,0.080593797328092,0.00995517231769822,0.00960736014802675,0.00940028810988743,-0.0717029632353245,-0.152068861009822,-0.310407992679577
"miR141",0.13974394260937,0.13496508699535,0.107525926025335,-0.0546698397774796,-0.0549839934141365,-0.112114516749362,0.00474891791896551,0.00466468361801764,-0.0627413217581282,0.00257880360867155,-0.00131367679630882,-0.00397447113932761,0.0585921309517955,0.124557995288738,-0.280592557658521
"miR200b",0.132525986081975,0.129209626814399,0.0626951233161293,-0.0542117129059499,-0.05436341447194,-0.0632571033496061,0.00331888453376677,0.00342255751954876,-0.0380609524477452,0.0960263472717927,0.0206716847604163,-0.0624847074691481,0.0629024128467334,0.0680097762438804,-0.266114507235976
"GSC",0.151076514157578,0.0419006067849694,0.0147207836715752,0.0327096592628375,0.0325033305881995,0.116337551988626,0.10816620981126,0.108105773787459,0.08173823138585,0.00128194474645784,-0.0394064030177222,-0.0814768862168757,-0.0675984349672636,-0.196832475062828,-0.207627603673798
"SNAI2",0.0380426788526304,0.0317345732606268,0.0276420210408345,0.00789320256658454,0.0079026117550848,-0.0481665265033471,0.00710366932838998,0.00734916713967484,-0.0553369787379278,0.0196371798210247,0.0122766384811818,-0.091809370469791,0.0217508929587671,-0.032287941118932,-0.0701415609096504
"TGFbeta",0.0400599928064347,0.0152878720811251,0.0799137747225223,-0.0808781165059279,0.0189573355170443,0.101564712718633,0.0220075538905194,0.0218993046725807,0.0489668519536567,-0.0848038931098598,0.00995408708086865,0.00609078016415543,-0.0528552574737176,-0.107163352970102,-0.0632363496936967
"ZEB1",-0.010332357014507,-0.00694115866870574,-0.0129907367106455,5.49149240527126e-05,2.03637691483681e-05,0.0747424926686897,-0.102532379753272,-0.00270832577644106,0.081302242967396,-0.00474459807589159,0.00288474505406981,-0.0904793452446,0.00669775561718773,-0.0720891909517198,0.0198686042768646
"FOXC2",-0.0100910082394822,-0.00693479215425664,-0.0129759749288985,2.03637691483681e-05,0.000208552178956305,0.0745790536290998,-0.00270832577644106,-0.0024915403939697,0.0817819221530211,-0.00474683636404881,0.00297453773860698,-0.0905553359532538,0.00642875683775487,-0.0724565964120221,0.0199352403403021
"SNAI1",-0.0568151879784755,-0.0158602952703542,-0.0305391615657148,-0.00147858274324928,-0.00149008141693675,-0.0837342314276478,-0.0519554590711719,-0.0519291820057945,0.036291487832954,-0.0777764784427047,-0.0580525433700943,-0.052325806533686,-0.0312646428965605,0.00835024497879699,0.0644878282818217
"miR34a",-0.149661032060559,0.0617229984243282,-0.0310310188400524,0.0114915748024177,0.0115759107629072,0.0325921012472924,-0.108444096099072,-0.108244514135997,0.0478511229666431,-0.0745803159665335,-0.0287729351337304,-0.100836615724122,0.0275822943121146,-0.00981729325186893,0.108685185755754
"TWIST2",-0.0707912830698009,-0.0432014879153768,-0.0546163272234026,-0.00537608676581722,-0.00532232545472032,-0.00722882445841133,-0.02475577743248,-0.0248459277416296,-0.0143841304029432,0.00381401673661589,-0.0872224120751216,-0.0783392157721603,0.0495770707190525,-0.0335380061855777,0.119419375169422
"TWIST1",-0.0758660496473902,-0.0672343086230799,-0.0182084293326913,-0.0295317139100146,-0.02950497880147,-0.0354288257003342,-0.0251991318736575,-0.0253751831904125,0.0498128427083857,0.0396431493238337,0.102601484328933,0.0823268735985998,-0.00625782092914424,0.0278998593248549,0.148396765355482
"miR101",-0.127808714820499,-0.135018125106769,-0.145761340888411,-0.0300483632806942,-0.0297774225533767,0.0108845800181397,0.00611513373637683,0.00629073564174275,0.025647483875,-0.0299458319727943,-0.0322185374758931,-0.0810997675332483,-0.0151870825181302,0.00931605230947078,0.270109973985003
"ZEB2",-0.393761626652133,-0.347785367034915,-0.332974328827023,-0.112033521148464,-0.111267295949296,-0.0605769078880939,-0.0501383948484977,-0.0498910462561948,-0.0444198371916488,-0.0274151986959965,-0.0221882096938792,-0.0182235426841132,0.0390519898112549,0.068291346952834,0.428342847108626
