"","ZEB2","miR34a","FOXC2","miR141","SNAI1","TWIST1","SNAI2","miR200b","TWIST2","miR101","miR200c","miR200a","TGFbeta","GSC","ZEB1"
"ZEB2",-0.0866414306196148,-0.0484473881928085,-0.0413640631786753,-0.0383823302660332,-0.0345140209174425,-0.0341341213184486,-0.0185634982292164,-0.017853382258375,-0.014812964157157,0.00784845121675456,0.00971958133077777,0.00971958133077777,0.0101734905844488,0.0101760277539825,0.0384097028466704
"SNAI1",-0.06169781433627,0.130572919318728,0.129964298636863,0.120680959766406,-0.0643110886764795,0.0475789209362917,0.0423043920210443,0.051645110197546,0.0561474294780457,-0.0453938975062802,-0.0263958566887519,-0.0263958566887519,-0.0343139821099623,-0.0342874162086844,-0.120731040761595
"SNAI2",-0.0349489823049175,-0.063171441592891,-0.0517663342050411,-0.0973550468732856,-0.0151686345189944,-0.0991372230144211,-0.0850928292281028,-0.0266147174844336,-0.03554249183884,0.0150585760723311,0.0659949213452532,0.0659949213452532,0.0223161660559083,0.0222982030596805,0.0973527024194261
"GSC",-0.025338649277982,0.0414000841967354,-0.14850238585765,0.113577541097504,-0.013769718048391,-0.102070463736063,0.0293197550753418,0.0772932587129765,0.003247262529474,0.0721919810501543,-0.0399418107453024,-0.0399418107453024,-0.0372069069362786,-0.0371999662163367,-0.11359621238941
"miR141",-0.0130185184677561,0.246340832797832,0.1963856291317,0.244822228798,0.150702127277067,0.15745171704975,0.0706759400162255,0.0940241393707591,0.0772130820756929,-0.0397334154382108,-0.117897453912958,-0.117897453912958,-0.158005462669195,-0.157820315088656,-0.244924050480464
"miR101",-0.0114169108796712,-0.171693741399047,-0.157887346139561,-0.234151162339103,-0.0587832846365601,-0.0729554071038651,-0.0329567129858557,-0.0782520057948995,-0.107546522190099,0.0621243851166498,0.123858889060688,0.123858889060688,0.0583602170482569,0.0581543724697105,0.234235383058764
"miR200a",-0.00703633486608179,-0.157110185249566,0.073819120847363,-0.259724749970608,0.0444842196367402,0.00917720909580423,0.100412871979344,-0.152221574132798,-0.125282464778839,0.0274439972523945,0.135084783354766,0.135084783354766,-0.0178621767022286,-0.0181476623264149,0.259889515965868
"miR200b",-0.00625168606738488,0.226329486673996,0.179650644735075,0.224439204321165,0.139120820189179,0.14355473884198,0.065103961613689,0.0507697668653724,0.0719052247571791,-0.0368422395577803,-0.110276184082874,-0.110276184082874,-0.148402944884731,-0.1483157463468,-0.224480858645809
"TWIST1",-0.000800618162864327,-0.107319261861427,-0.0197405791653987,-0.132414750054947,-0.0337378846892144,-0.048880010319864,-0.0571771411857022,-0.0138185873495227,0.0168530815757075,0.00440969972870169,0.0797781622931937,0.0797781622931937,0.0210801906395412,0.0209679031836542,0.132440418803635
"ZEB1",-0.000610190080764095,-0.291827435956643,-0.175274015143567,-0.29088599228827,-0.133473712225687,-0.162313784239712,0.0624632747010832,-0.24065452978561,-0.220661167233978,0.0955772604813975,0.252329136922246,0.252329136922246,0.126196421945401,0.126086370118669,0.191002287095606
"FOXC2",0.000512161027440436,0.291683439418528,0.175053455260787,0.290647848740037,0.1333349654151,0.162113652810116,-0.0623808166980759,0.240576107820079,0.220645321466119,-0.0957656781286655,-0.252244057138245,-0.252244057138245,-0.126086370118669,-0.125654643766756,-0.29088599228827
"miR200c",0.00703633486608179,0.157110185249566,-0.073819120847363,0.259724749970608,-0.0444842196367402,-0.00917720909580423,-0.100412871979344,0.152221574132798,0.125282464778839,-0.0274439972523945,-0.135084783354766,-0.135084783354766,0.0178621767022286,0.0181476623264149,-0.259889515965868
"miR34a",0.0114971949470704,-0.0242899446082088,0.0875847210667068,-0.07387663656711,0.00143993548857832,0.0513151474496238,-0.0476839231216174,-0.0204077299831984,0.164584457690063,-0.0259287101672279,0.0789929870494707,0.0789929870494707,0.0242084975785478,0.0242042504438469,0.0739162698647419
"TGFbeta",0.0248386855214998,-0.0873722670766046,-0.136338907009165,0.0178836000996915,-0.0931211376155341,-0.0754357846566357,-0.0667382684737745,0.0904937152016946,0.048244121747913,0.0127588170967971,-0.0208210505516527,-0.0208210505516527,-0.0992352182523485,0.000724451361125093,-0.0179008572213919
"TWIST2",0.0645734998854044,-0.0277705583117269,-0.039922748317881,0.0567842218064656,-0.101339935082084,-0.0194416064639971,0.0353139771890098,-0.0104330814542081,-0.0730317899421047,0.0593863772763752,-0.0602928239761052,-0.0602928239761052,-0.00343256629230344,-0.00343426401791702,-0.056793896473789
