"","ZEB2","SNAI1","miR101","TWIST1","miR200a","ZEB1","miR141","FOXC2","miR200b","TWIST2","TGFbeta","GSC","miR200c","SNAI2","miR34a"
"SNAI1",-0.127589918130048,0.230020954106844,0.312182190949802,0.288610690796214,0.103532031367986,0.0867347766645817,0.0868228821190822,0.144647554274995,0.0724475456791354,-0.0113779774330578,0.0155333550280295,0.0154671385278292,-0.020935271616843,-0.197078682608652,-0.237765171015397
"miR101",-0.11983039752411,0.274094578730426,0.267151130351277,0.261609070829179,0.0611511620495645,0.00415729032319647,0.00406011256974154,0.110979559578338,0.0970579187060529,-0.020286880567856,0.0278772904655241,0.027977573721739,-0.0566836916592848,-0.161220627043871,-0.124736997586978
"TGFbeta",-0.117812269934664,0.278468058372061,0.238982882345404,0.25303769375648,0.102767063863754,0.0914401878092519,0.0912591449143227,0.00887484545141878,0.134525530210536,-0.0900452465372721,0.100520603636223,0.200367348167422,-0.0129576729503704,-0.201941954103405,-0.22103633058272
"GSC",-0.094820081350116,0.153844733523901,0.187846744124606,0.232173392628072,0.101547149854937,0.106582991008519,0.106661115624652,-0.101547469031955,0.0223874659485527,-0.00519836398115153,-0.00797660245360373,-0.00799363876618851,0.00599460485746302,-0.123967208371316,-0.118969505841847
"ZEB2",-0.072512962877892,-0.0688797793010639,-0.0592786282388311,-0.0407299112981899,-0.0231282759233324,-0.0226138414064491,-0.0220390172130693,-0.0158029169169528,-0.0118106916748152,-0.011146112477432,-0.00129437823033526,-0.00114975956691618,0.00735371027625146,0.0504044258199763,0.0701490810595057
"miR141",-0.031347447771395,0.178374277810713,0.152924425651658,0.189717741642623,0.0247066423941112,0.0197714106433015,0.0198815631906949,-0.017916982824324,0.0792136972548722,-0.0575476382581792,0.119615227966107,0.119965216618353,-0.00493113920501522,-0.127821800196026,-0.0417576006667327
"miR200b",-0.0195655689542349,0.214928108591983,0.184860404450312,0.166682951534784,0.0133807977083698,0.00729172218742685,0.00724081134619462,0.0234499120258491,0.0141614950463245,-0.0203095741155559,0.110438987898603,0.11026578532326,-0.00515281442502038,-0.155008920984568,-0.128849391722525
"ZEB1",-0.0179775668912113,0.092096984552943,0.0809405400714194,-0.00803187778468772,0.0169247094691992,-0.0810351661102563,0.018855556872505,0.10887541309393,0.000245480028946669,0.0238621402348287,-0.004136004927454,-0.00403107179033711,0.00459015576067356,-0.0720456864661784,-0.0233431011910962
"TWIST2",-0.0100759584779281,0.283918525567748,0.123867521301627,0.0714297269638139,0.0681559549443526,0.128447277125211,0.128231356140858,0.178008634860604,-0.0516190720844695,0.120560914106551,-0.0359448826895404,-0.0361344620497242,0.0592444902927488,0.0200939544251253,-0.179575003409008
"miR200a",0.00225954093761291,-0.153824619818426,-0.13260772008524,-0.173679318468735,0.00385154483682512,0.00779623399834925,0.0080850373158848,0.0244131633243706,-0.043116668558969,0.062473429024081,-0.119038934535371,-0.119166746090969,0.00456267484313689,0.111602963022947,0.00723195882675995
"SNAI2",0.00866683644100313,-0.00205399284513202,-0.046631689413694,-0.100998206934739,0.00639335908119426,0.0205442571674201,0.0206243035206221,0.0409698666447215,-0.0338694907991586,0.100132731960029,-0.0142985229841767,-0.0142241048569473,0.0141774639935678,-0.00750401682871547,-0.0113100335870324
"FOXC2",0.0176982877453376,-0.0919841057917874,-0.0810317863534297,0.0079840852044858,-0.0173130668505939,-0.018855556872505,-0.0191300093025303,-0.108984921846918,-0.000328515051273864,-0.0235161743032296,0.00403107179033711,0.00437977384380475,-0.00449928823626376,0.0718015461043333,0.0235751370633944
"miR34a",0.0461390035953701,-0.30330133982477,-0.210667534341899,-0.14662792884478,-0.139581109095509,-0.132203238353071,-0.132222583176915,-0.186503476557442,-0.0094674637821989,-0.0417610644546243,0.022524757551234,0.0226479244575604,-0.0988835495091475,0.146638777496946,0.192603373432311
"miR200c",0.0486534757880169,-0.23947776658427,-0.20517711001673,-0.182721374708672,-0.0419389849393061,-0.0348593668290776,-0.0352074118527743,-0.0299460925258957,-0.0502585237422277,0.0153837833496542,-0.111015281329339,-0.111064255850643,0.00552127878689871,0.171227758157646,0.163375033562498
"TWIST1",0.124526829425271,-0.276124724705608,-0.152898671169731,-0.144945672566736,-0.101520347970078,-0.0856006144853377,-0.0856817692160363,-0.24526261625802,-0.0155008280156389,-0.0963750413763415,0.00586351714610298,0.00594238571630937,0.0203687812200087,0.0311688460537054,0.135316200672117
