"","ZEB2","miR200b","miR141","TWIST2","miR200c","miR200a","miR101","TGFbeta","TWIST1","SNAI2","GSC","FOXC2","ZEB1","SNAI1","miR34a"
"TGFbeta",-0.140866506784567,0.203086077192598,0.149490651290942,0.1716574579789,0.145166722956494,0.145166722956494,0.116713834824418,0.156974700734525,0.0447219891818373,-0.10585122776772,-0.255648637625536,-0.114885984804116,-0.151119409813607,-0.128733108959688,-0.192529297024951
"TWIST2",-0.11723333073909,0.148308395880288,0.1398917321127,0.188391912234406,0.130029547182713,0.130029547182713,0.128278307076142,0.0697767432190022,0.10489737986403,-0.170664656606869,-0.0714376847776274,0.00765643668051619,-0.137074644891176,-0.0623233591812147,-0.110814424264338
"miR200b",-0.0745624338783311,0.146570075832423,0.110449718625124,0.121309043336972,0.0937955367984464,0.0937955367984464,0.116581690653875,0.155440291133891,0.023058311690647,-0.0657620285951276,-0.158499406964607,-0.15358518652403,-0.105480820520859,-0.171966407300426,-0.209468061845577
"miR141",-0.0745624338783311,0.146570075832423,0.110449718625124,0.121309043336972,0.0937955367984464,0.0937955367984464,0.116581690653875,0.155440291133891,0.023058311690647,-0.0657620285951276,-0.158499406964607,-0.15358518652403,-0.105480820520859,-0.171966407300426,-0.209468061845577
"ZEB2",-0.0605887003129244,-0.0558078248450094,-0.0528103710211364,-0.0513882951720253,-0.043373578453561,-0.043373578453561,-0.0333762264231682,-0.0249959841927147,-0.0030893472340125,0.00188078371243002,0.0198911990909742,0.0521492595818088,0.0601765813122314,0.0627730158362863,0.0958972414963181
"FOXC2",-0.0549578876375615,0.0635969154724161,0.0856449475209094,0.0393523551229226,0.0740716016127144,0.0740716016127144,0.0139385536966881,0.0289243864378803,-0.00471966655370651,0.108562344664245,-0.0328818779970766,-0.14238471243711,-0.0794905920569567,-0.140892027750362,-0.108801427587031
"miR200a",-0.0409563460615855,0.0737221683948858,0.0629821215157205,0.103244269271814,0.0524109230326408,0.0524109230326408,0.106050263690223,0.135338215105033,0.02135864759882,-0.0644596535937717,-0.135685814756239,-0.132489589678596,-0.062214756290602,-0.149242190310866,-0.16060084545342
"miR101",-0.0328174700356807,0.0852293351316301,0.0476614940905736,0.0614844515857408,0.041643092968152,0.041643092968152,0.0216963974421151,0.0285229057964833,0.0312758828716708,-0.144941962225155,-0.0312076820944478,0.0872090553703817,-0.0434535268786886,-8.95556756656162e-05,-0.00577930754679153
"miR200c",-0.0065989870122815,0.0207959004349138,0.0397416598567858,-0.0449434181406954,0.024363622408285,0.024363622408285,-0.0950403567658591,-0.0976669548526609,-0.0253292676424293,0.138997369702134,0.0945982830177887,0.0553211807639273,-0.0351744945724256,0.0479822531566357,-0.0510797214782973
"ZEB1",0.056697236973422,-0.0607368202589238,-0.0794905920569567,-0.0443094395016365,-0.0698598629176183,-0.0698598629176183,-0.0154044192920997,-0.0323257556873524,0.00571733666542167,-0.110836137570701,0.0289243864378803,0.143435071039716,-0.0156455781344786,0.141370586664844,0.104621051405401
"GSC",0.0942883096536341,-0.100539368961532,-0.101547446096376,-0.0386330453831675,-0.0989362630351399,-0.0989362630351399,-0.0775492446625184,-0.0412939411081478,-0.0839660636221792,-0.00473024616737136,0.0433868836579159,0.101594747069341,0.0983276309421655,0.0671126633062649,0.0890126236258121
"TWIST1",0.0963765114300845,0.0215470416041492,-0.0856610690551411,0.176206857018936,-0.0894722565338423,-0.0894722565338423,0.134590668973506,-0.00311410619997576,0.144823971087011,-0.314039012561775,0.00475831537546501,0.249393536759048,0.0834424076155651,0.0475531943601203,0.0780892047299537
"miR34a",0.0972344534422835,-0.0190393259915557,-0.159331199389924,0.00624989799326937,-0.173169973232767,-0.173169973232767,0.043429567918075,-0.0366159072049303,0.0490022581472621,-0.205149946357832,0.0358059179441138,0.136007276705856,0.160567380816062,0.129941546923779,0.147065394425048
"SNAI1",0.102195788643619,-0.0173881456628059,-0.117058271134904,0.0472728666598827,-0.11070958757423,-0.11070958757423,0.0238957742118912,-0.0215820188836485,0.0483605303554638,-0.198086412500071,0.0223437068889458,0.140058750216867,0.115996368551714,-0.0465173366395993,0.133362261063673
"SNAI2",0.143659922277781,-0.376875182982698,-0.167291581275964,-0.425994268616732,-0.155384086144464,-0.155384086144464,-0.33684655471359,-0.283937664732883,-0.19282141644495,0.323495039335025,0.280039694551457,-0.0064323838397136,0.172284263230703,0.0435243138437868,0.122129102692107
