"","miR200c","miR200a","GSC","TGFbeta","FOXC2","ZEB1","TWIST2","miR101","TWIST1","miR141","SNAI1","miR34a","SNAI2","miR200b","ZEB2"
"SNAI2",0.0863342110224332,0.0863342110224332,0.273340747072548,0.273488727946234,0.0354625824691944,0.0796918652145131,-0.170258285850308,-0.12942708904609,-0.199958817462247,-0.0797464574972408,0.0763068301991975,-0.0162200122669879,0.0393331200995444,-0.25169467112034,-0.257996237738055
"miR200c",0.107420989657277,0.107420989657277,0.167832888791585,0.167614295196497,0.101512227213163,-0.000336098964998902,0.0324996050292565,0.0330355750673053,-0.0070465269443071,0.000287965078742978,-0.0891735969398759,-0.0981551548079601,-0.15345787912649,-0.0313654938251759,-0.216088500880287
"miR200a",0.107420989657277,0.107420989657277,0.167832888791585,0.167614295196497,0.101512227213163,-0.000336098964998902,0.0324996050292565,0.0330355750673053,-0.0070465269443071,0.000287965078742978,-0.0891735969398759,-0.0981551548079601,-0.15345787912649,-0.0313654938251759,-0.216088500880287
"SNAI1",0.00946425900966161,0.00946425900966161,0.0275960808265111,0.0275734799851253,-0.0230230756926194,0.0984897274817557,-0.00108351269814308,0.0283059311866742,-0.0129150822349728,-0.0985156954051874,-0.0857144296653402,0.0050266413141994,0.0554697854855388,-0.0277211446207772,-0.119400775684077
"FOXC2",0.00875493061561741,0.00875493061561741,0.00219372592774663,0.00206642200346479,0.103041804069802,-0.00647683517485255,0.0954026722701468,0.00288959992153519,0.0920565809750483,0.0064843105328688,-0.10975806114525,-0.0206175948144544,-0.113530962123232,0.00729713644510902,-0.0190388263827943
"ZEB1",-0.00871268011063705,-0.00871268011063705,-0.00206642200346479,-0.00197684493519427,-0.102935380070419,-0.0934910834989856,-0.0953630578504981,-0.00293581557086506,-0.0920326846849474,-0.00647683517485255,0.109692215201243,0.0206034189894587,0.113462516591324,-0.00733680873355424,0.0190000293858596
"GSC",-0.0222625521994304,-0.0222625521994304,-0.0394027994241954,-0.0394223596349409,0.136003117551323,-0.109051396092775,0.0547301862975399,-0.0263068546476441,-0.0514614634820306,0.109095617573605,-0.0366350154447839,0.0310388913048764,-0.0825244412319853,0.0365244194615143,0.162477653100052
"miR34a",-0.141697654030714,-0.141697654030714,-0.100737911656995,-0.100737304923466,0.0306734886390993,0.0337157520960052,0.156965278554291,-0.0103134933184439,0.127017242781305,-0.033674231498486,-0.0946498008789035,-0.056783968087727,-0.071192969621409,0.127518129519218,0.190943118692377
"TGFbeta",-0.0303458678322509,-0.0303458678322509,-0.0499775032109677,-0.1501791551436,0.0821297729541918,-0.118349251330647,0.144861511642843,0.0367340238920294,0.0625684028341809,0.11839349231537,-0.111118394415351,-0.0410192746452114,-0.18414761832744,0.153506353243089,0.191749238573813
"TWIST1",-0.0568137965663288,-0.0568137965663288,-0.037455191439434,-0.0374043947331994,-0.0938664789211058,-0.0734305745887839,-0.107171750673496,-0.0662831996669863,-0.0102962421523624,0.0734386122777668,0.0198859476915888,0.0101716296585316,0.118597441210752,0.00349161161470993,0.201058798784121
"miR200b",-0.107420989657277,-0.107420989657277,-0.167832888791585,-0.167614295196497,-0.101512227213163,0.000336098964998902,-0.0324996050292565,-0.0330355750673053,0.0070465269443071,-0.000287965078742978,0.0891735969398759,0.0981551548079601,0.15345787912649,0.0313654938251759,0.216088500880287
"miR141",-0.107420989657277,-0.107420989657277,-0.167832888791585,-0.167614295196497,-0.101512227213163,0.000336098964998902,-0.0324996050292565,-0.0330355750673053,0.0070465269443071,-0.000287965078742978,0.0891735969398759,0.0981551548079601,0.15345787912649,0.0313654938251759,0.216088500880287
"TWIST2",-0.108942243067395,-0.108942243067395,-0.0629833191062372,-0.0629035260023987,-0.0635694503327974,-0.00151055244928448,-0.157519060933833,-0.114793922301323,0.116541225409796,0.00152506445026954,-0.0405906397975968,-0.0217733781157704,0.176388968093499,0.0207783358309577,0.222212207471113
"miR101",-0.0687687651215693,-0.0687687651215693,-0.0761497511976294,-0.0761761415282122,0.0121831235779906,-0.116470679463391,0.0278055920189575,-0.0245454694756072,0.0285078473569716,0.116529668064611,-0.0124567016869452,0.042060732638898,-0.0642282365371784,0.0688129799673438,0.261644374009816
"ZEB2",-0.288992305606996,-0.288992305606996,-0.27499242660855,-0.274878253979535,-0.140246535064726,-0.0971216853038519,-0.0308099698600724,-0.0302795911017123,0.00474664516652384,0.0972426223419396,0.122962645376223,0.137707878205205,0.181839700762396,0.243541253686394,0.340748271552935
