"","miR200c","miR200a","miR34a","TGFbeta","SNAI1","SNAI2","miR101","TWIST1","TWIST2","FOXC2","GSC","miR141","ZEB1","miR200b","ZEB2"
"miR200c",0.350171020055667,0.350171020055667,0.354000161235805,0.154269733206989,0.224260290733677,0.0748733115279359,0.0713899955269096,-0.0403276413391037,-0.118316557701693,-0.173432490289089,-0.153224545252333,-0.365865959794757,-0.369014101086227,-0.00857544292167667,-0.336279442109777
"miR200b",0.315468253228832,0.315468253228832,0.200372749577611,-0.0695126877870042,-4.93114274603312e-05,-0.109792075311602,0.0523171879697459,-0.00393426804715765,-0.147391627841231,0.0374138348609817,0.0702664176148767,-0.303146388007337,-0.305365175033404,0.0275179667375469,-0.332130300722925
"miR200a",0.315468253228832,0.315468253228832,0.200372749577611,-0.0695126877870042,-4.93114274603312e-05,-0.109792075311602,0.0523171879697459,-0.00393426804715765,-0.147391627841231,0.0374138348609817,0.0702664176148767,-0.303146388007337,-0.305365175033404,0.0275179667375469,-0.332130300722925
"SNAI1",0.209226910649428,0.209226910649428,0.272045796743082,0.0434242088399847,0.23150621555653,0.0691118861006387,0.177642291277815,-0.250107964185219,-0.0854280696210431,-0.160884840055248,-0.0430098600812467,-0.140117583259163,-0.141243478225095,-0.0714384621454778,-0.30690217086929
"miR101",0.0547157057541553,0.0547157057541553,0.0145024684927284,0.040205878830174,0.22637664583201,0.0869069057687762,0.119509424187707,-0.220890514316772,0.0204991277655815,-0.105241911984542,-0.0402656969128285,0.135533671767798,0.135720184859517,-0.194195678231254,-0.253917461878819
"GSC",-0.0215289980421505,-0.0215289980421505,-0.0951711132562134,0.0274778106095474,0.0761993477838192,-6.39077328236139e-05,0.0893471756201841,-0.193486662966235,0.0416076169034193,0.141865769269219,-0.0278280014793458,0.225247891348284,0.226293975044807,-0.195661639767788,-0.214918251490841
"miR34a",0.00454368969404459,0.00454368969404459,0.0953854772600909,0.0131063391270547,0.28325736383019,-0.0041418980823934,0.121448784256515,-0.0949422435692775,-0.17690488472581,-0.185329944995918,-0.0128909487243656,0.0541043641898633,0.0534858016518224,-0.0727940692872294,-0.185345029991979
"miR141",-0.0795926727899162,-0.0795926727899162,-0.303589535286609,-0.0893031738535394,-0.193235357928462,-0.0631872647005026,-0.063001807102094,0.0356958194284067,0.104560404050674,0.145902296915213,0.0886187250558042,0.308853372656003,0.310769471589652,-0.169030137296802,-0.150874565286395
"TGFbeta",0.0753092366494243,0.0753092366494243,0.186642116263895,0.0992345577778747,0.135601646155857,0.0829137043141297,0.024600936080313,-0.0293828218391932,0.023032765182403,-0.117626315483282,-0.198899008961975,-0.138422136041653,-0.139314799882335,-0.0489320275727534,-0.00938670984904363
"TWIST1",0.127952203264172,0.127952203264172,0.267339082271813,0.00647633027792054,0.277286508815638,0.0653585562631459,0.0867913290057056,-0.206279643694246,-0.0363714856192109,-0.22605198554139,-0.00588815788994064,-0.263820743570161,-0.265396389891103,0.0836328603539253,0.0255397908874346
"SNAI2",-0.130972346889661,-0.130972346889661,-0.113591737777001,-0.021864283325231,-0.146057849844977,-0.100768532381301,-0.0707436026059043,0.0198863539313349,0.0465919025374211,0.0901539842116063,0.0214716635505383,0.0957614577552767,0.0969541149257888,0.0273131372888637,0.169863674004259
"FOXC2",-0.425472401406977,-0.425472401406977,-0.42817476908294,-0.0233131561053987,-0.248682145740808,0.0762207096517702,-0.155989313543964,0.0447644149755177,0.282556220354021,0.177962512994254,0.0216471351832755,0.431378846015536,0.436149192338194,-0.233128198254212,0.221625090414265
"ZEB1",-0.430681946548458,-0.430681946548458,-0.433008725406477,-0.0243893605970489,-0.252076739318477,0.0759830365842786,-0.158121158496385,0.0463146867958176,0.285331870690743,0.180740333615832,0.0233131561053987,0.436149192338194,0.339316220755231,-0.232999032663925,0.225471916316443
"TWIST2",-0.266762522900161,-0.266762522900161,-0.29363633831348,-0.0443585405262856,-0.298411253775389,-0.107767568059927,-0.0793868413413758,0.121952555898367,0.011033479262244,0.169604332691306,0.0436449298600414,0.292222915253306,0.294264709816143,0.0167461158276723,0.245131177889391
"ZEB2",-0.339579584558658,-0.339579584558658,-0.124894473245546,-0.0898735613781537,-0.0830338270619024,-0.0361266195573838,-0.0219363611408886,0.0118151348133474,0.0361268395647497,0.0677131191482664,0.089320458419814,0.129052578746007,0.130917398012322,0.221073562919167,0.248775028355431
