"","miR200a","SNAI1","miR200c","miR200b","miR141","TWIST2","miR34a","miR101","ZEB1","FOXC2","SNAI2","TWIST1","GSC","TGFbeta","ZEB2"
"miR200b",0.249928345696089,0.254033678632777,0.0560155532646186,0.0061030264078145,0.194108600333158,0.106551073886728,0.0519334885513118,-0.0513884886830729,-0.194533474444533,-0.148095578893452,-0.143870242287192,-0.247672440730721,-0.205573557309468,-0.207086989467811,-0.315581159909238
"TWIST2",0.121484805394904,0.365333470261535,0.139568484433247,0.106368049149548,-0.0283905382119585,-0.116861783547362,-0.133241188995404,-0.184316153981593,0.0278250099311469,-0.330359715635036,0.0409318538869014,-0.339839698384376,-0.104622757553895,-0.105372586366562,-0.268197226391835
"miR200a",0.0814273898775241,0.312116095719379,0.163882052953202,0.099855076071687,-0.0894198481409267,-0.0308859821711839,-0.17685840258322,-0.102182186946343,0.0889329553684149,-0.183250340366743,-0.101470788834314,-0.238024379152296,-0.183443096725859,-0.184306720601535,-0.250606466960299
"miR141",0.0814273898775241,0.312116095719379,0.163882052953202,0.099855076071687,-0.0894198481409267,-0.0308859821711839,-0.17685840258322,-0.102182186946343,0.0889329553684149,-0.183250340366743,-0.101470788834314,-0.238024379152296,-0.183443096725859,-0.184306720601535,-0.250606466960299
"SNAI1",0.222637380467137,0.322852404811672,0.00400927720940908,-0.0249403636643799,0.20149196971421,-0.00922401496419527,-0.1112857064625,-0.204721729741025,-0.201812859053759,-0.410931361550948,-0.100757438872302,-0.345469475986865,-0.0740834907005129,-0.0749435121911375,-0.248168789924528
"miR101",-0.0691334654341943,-0.287144978839481,0.118358557192424,0.131601747792615,-0.188818271614674,-0.0200938823905236,-0.00258489560883979,0.152650660568488,0.188894990893717,0.301424738214291,0.0795621934553648,0.25595603773441,-0.0295253118385105,-0.028997505226853,-0.0432316951806367
"GSC",-0.0541383850325848,-0.321994881152269,0.0694436853667156,0.0777580530641251,-0.12178102004744,0.0154531730136474,0.0500497075188284,0.199509147310189,0.122553421912604,0.225825542146812,0.013290226114405,0.365943339175537,-0.0115082061629357,-0.0106860463370847,-0.00234155719745425
"miR34a",-0.166818689323044,-0.113000746689214,0.146578636191465,0.0612836217840665,-0.19355829030408,0.13274580498197,-0.0508977060431136,0.0529297116116244,0.192735899378218,0.108220028274903,-0.0134052572791656,0.000277450218786623,0.0145323314597482,0.0144115914875366,0.0229955704090502
"SNAI2",0.0190656332516226,-0.0113147193998558,-0.0553449063812041,-0.0421408602239709,0.0771084891657872,0.0224894555091481,0.045764371744361,0.00839875561400525,-0.0760350642201283,0.0335274380291353,-0.105102135098395,0.0589357476212674,0.0147727023966826,0.0151003132326462,0.0352381109721659
"ZEB1",-0.162926895876525,0.0913668669191949,0.093231544248649,0.113773076203056,-0.0780140511355787,-0.149893451200573,-0.120479152366466,-0.080715356041955,-0.0205508107894011,-0.094166441252782,0.0714203148343163,0.0109732227199568,0.0261204844733961,0.0269829836736009,0.0841011596565418
"FOXC2",-0.162772363207625,0.0919924033872655,0.0934636326390205,0.114153192083043,-0.0780856009908771,-0.151633844703808,-0.120688805357192,-0.0814702116476762,0.0780140511355787,-0.0947109002641184,0.0712376137688295,0.0113466022527843,0.0253677308341644,0.0261204844733961,0.0844195319596322
"TGFbeta",-0.116348567655021,-0.369018945426783,0.0233013796648558,0.111847594838821,-0.135920022605641,-0.0513423933719427,0.131117822263127,0.129434596704439,0.136743030427823,0.266251916401164,0.100929252982481,0.298780698553005,0.0347079886325625,-0.0640466090315015,0.105849366752958
"miR200c",-0.0159254314554575,0.152578808239371,-0.164548561266676,-0.167190401897129,0.151681786402011,0.0801833219931487,0.0525082316407752,-0.0274868941676692,-0.151437414364097,-0.0923170766611003,-0.0969933190613358,-0.150291773513694,-0.0155686452590178,-0.0159281899154197,0.178497053491872
"TWIST1",-0.13471294660544,-0.342048885843751,-0.097346143475662,-0.0645878772900172,-0.0209083506771481,0.0930819192963518,0.0771733989128434,0.133563040419617,0.0208183804165973,0.408986287151575,0.0010266058231868,0.202992035800589,0.0890416412823122,0.0894573722201798,0.258343059853276
"ZEB2",-0.328561677622789,-0.267201685727412,-0.239996676495184,-0.210087378303454,-0.09432602355954,-0.0753286113050253,0.00341124721535476,0.0593771656907195,0.0944559188967453,0.132160663821686,0.142631435494009,0.240141670510974,0.259144962904572,0.260548017656691,0.264538039642287
