"","ZEB2","FOXC2","SNAI2","ZEB1","TGFbeta","GSC","miR141","TWIST1","miR200b","miR200a","miR200c","TWIST2","miR101","miR34a","SNAI1"
"GSC",-0.098289115256437,0.153089906908911,0.0178301323577573,-0.0798580374494133,0.0354212759874251,0.0349158653807431,0.0799125772757703,-0.0862582103645358,-0.00582085555685215,-0.0118051227753667,-0.0880087736043769,-0.00495913168697334,-0.0753666819229312,0.00904977690187491,-0.0338221318156627
"ZEB2",-0.0847291012412089,-0.0257764774824457,-0.00506849869976348,-0.00132294996925121,-0.00108512125258258,-0.000991245979836858,0.00132444301910415,0.0025376640454808,0.00669309672816597,0.00794630799563467,0.00863451876883249,0.0119733852501327,0.0171561684752168,0.0214930763500134,0.0293327548233944
"miR101",-0.0761821766127043,0.0426782415142071,-0.0759226102828166,-0.0841743234989721,0.0403312463027136,0.0398527016414775,0.0842619539643683,0.0191413699258854,-0.0142102816687129,0.00144069558335585,-0.0807913051584217,0.021851806990968,-0.0269351759787298,0.0127551149766748,-0.0292394983411863
"TGFbeta",-0.0663648785687478,0.105276652262721,0.0111884303715169,-0.0768371345389372,-0.0612806916926621,0.03872253473826,0.0767326505111878,-0.0255966759763057,0.0700365630667624,0.00141659293190485,-0.07224842124434,-0.0623938170347703,-0.0547052779831658,-0.0633484986689577,-0.0962432673929686
"FOXC2",-0.0269036992039119,0.070938015125653,-0.103030916242989,0.000211244798276643,0.00655922186509115,0.00670866560229157,-0.000564722441616633,0.00858099875147582,-0.0225553525933871,-0.00975020048025219,-0.00959104786100636,-0.0024464787781923,0.0169274213696816,-0.00354298236198697,-0.0674890677868347
"ZEB1",-0.0268637175658494,0.0710968799363262,-0.103189903895846,-0.0997902590138872,0.00625593950537523,0.00655922186509115,-0.000211244798276643,0.00846151730097101,-0.0226143997203753,-0.00974036132155813,-0.00996435711733959,-0.0024781703139113,0.0170044474518981,-0.00335571225283311,-0.0674867161459773
"miR200a",-0.0224567615790824,0.114010622677199,0.00390284025247793,-0.00514664062755009,0.0941497641499091,0.094354023738762,0.00502167765361644,-0.0138351229081428,-0.0203239060354088,-0.0083684146036988,-0.0135353384663644,-0.0421187735448568,-0.0642493021913746,-0.0997055601168678,-0.124260057134192
"TWIST1",0.00797287832182863,-0.076453978621056,-0.115469163748332,0.0179285837534677,0.00960610712809982,0.00946040078653207,-0.0180797441624046,0.111090318289734,-0.0277721390949686,0.0134004036349859,0.0138091386065575,0.0858048468909571,0.0248203346551938,-0.021339759744279,-0.0312348409657846
"miR141",0.00818448970064268,0.0888274627862516,0.071575438495208,-0.012353368622346,0.0927401491657824,0.0930519138014,0.0124153872834834,-0.0203599332052098,0.0730101960857431,0.00989620552434378,-0.00250545461453415,-0.0156860290803174,-0.0719311516033541,0.01682514477685,-0.0724811809789641
"SNAI2",0.0109614783724629,0.00539962055436785,-0.0795530715192923,-0.0194134071166698,0.00169228954563964,0.00191554392732765,0.0194445548608028,-0.0765650414330524,0.0170534341353181,0.014698915705428,-0.0045742639583403,-0.00334484029990732,0.000461758778481082,0.0222322658524272,0.0249897904058224
"miR200c",0.0140108004843229,-0.103881594080909,-0.0029197797551149,0.011282527947256,-0.0916932666420291,-0.0921340373337643,-0.0110381559093413,0.012868734112646,-0.0185557622755388,0.00149068871061773,0.0125211825696223,0.0374103546087062,0.0593278624596216,0.0897939003484852,0.114988582869095
"miR200b",0.0224567615790824,-0.114010622677199,-0.00390284025247793,0.00514664062755009,-0.0941497641499091,-0.094354023738762,-0.00502167765361644,0.0138351229081428,0.0203239060354088,0.0083684146036988,0.0135353384663644,0.0421187735448568,0.0642493021913746,0.0997055601168678,0.124260057134192
"SNAI1",0.0294114291382283,-0.0445423522311797,0.0968224845238419,0.0538194289911733,-0.0291262282225311,-0.0292765039924466,-0.0539477228986039,-0.0280073190786876,0.0336428626749029,0.00124422347755811,0.0445204169671285,-0.0129386278622326,0.0210723695721624,0.0418216291258982,-0.0625760355703018
"miR34a",0.0750571496523195,-0.100445140719888,0.111734821859028,0.113245175238042,-0.0732613335657698,-0.0732510190957819,-0.1133178362837,-0.0320655137352019,0.0201094742245829,-0.0794783021416344,0.137892769780579,-0.00633419868278444,-0.00648304883417692,-0.00569292176743514,0.10427787498253
"TWIST2",0.107194940375966,-0.0358034857476803,0.053655446887826,0.108719929599286,-0.0470565674723083,-0.046614592904238,-0.108786332997733,0.0300030823567482,0.0213963421695575,0.00220409116181662,0.108100599173529,-0.0816351897414488,0.000760392202385883,-0.0334790415305249,0.0289055317056859
