"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",-0.0914086484963251,-0.0070147694159194,-0.00869710660183064,-0.0220239065618442,0.00383777350988577,-0.00325109345134682,0.00329249138565628,-0.0318798480721455,-0.0182478605497367,0,-0.00918415529155684,0,0,0.00724742309755989,-0.00298387310432032,0.00724742309755989,0.00710385472381116,-0.00645502963956335,0.00710668701364291,0.00319020138253878,-0.0200548661173643,0.00286680187629362
"ZEB1",0.0332708768418355,-0.105818947538546,-0.0208367926108887,0.103063807409108,-0.000678871673743062,-0.00256301701029384,0.000578670592820054,0.0869245750929615,-0.101288517698605,0,0.0158677824953077,0,0,0.0150157132169063,-0.0154481132525828,0.0150157132169063,0.00567809046586708,0.0928282329342003,-0.0942466978636325,0.00277928164654696,-0.102557573431115,-0.017237093581969
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",0.109814525149252,-0.15153399613524,-0.0634560109404573,0.0680580510455888,-0.0620915137676402,-0.00506264831117155,-0.0641400093009463,0.0807020542611379,-0.0413508688068755,0,-0.0634947570400324,0,0,0.132761846812444,-0.112660974942966,0.132761846812444,0.151666363174528,0.0683659462707014,-0.0658376278527778,0.00468745095056897,-0.0553401096258841,0.116816287882939
"TWIST1",-0.0026619364571621,0.0794825772188514,-0.0833292992238292,-0.0531341159570193,0.107228322574332,-0.00962234591122023,0.205947604751397,-0.0930227075337241,-0.0392421452856748,0,0.0702294335269928,0,0,-0.0485021509823201,0.0640070029034125,-0.0485021509823201,-0.0793236384012214,-0.00935337764328954,0.0108754832432108,0.00943252664055399,0.0676765769797919,-0.148006992330019
"TGFbeta",0.00762474569557293,0.0955354036426562,0.0172386073860293,0.0875941237721325,-0.0296776269481437,0.0998503719688043,-0.0295501715575305,0.110143359748251,0.101940048719131,0,-0.0530551527828511,0,0,-0.0440729435560536,-0.0733205782700791,-0.0440729435560536,-0.0955708591836042,0.00458365280526837,-0.00472336743071427,-0.199829400167811,0.0966832277105807,-0.00953908793334086
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"SNAI2",0.0290932729987171,-0.0755541552341615,-0.0421779917998523,0.0689905588249053,-0.0454513415904438,0.00135462340896529,-0.0427202575417315,-0.0286860134687843,-0.039293946953296,0,-0.0376102282156801,0,0,0.0533746232305574,-0.0550856632306437,0.0533746232305574,0.0753676036913434,0.0550574107275329,-0.0582573600352666,-0.000845671849178452,-0.0443400054645885,0.00487577318958053
"SNAI1",-0.0568452563953763,0.10329043852829,0.128802673780029,0.0111881314085897,-0.0329583647385594,0.0183864206098606,-0.0355508854962737,0.0886777330526315,-0.0506236193949232,0,-0.023010822637524,0,0,-0.0849783827069146,0.0287376189934151,-0.0849783827069146,-0.103063528340208,-0.0293306560186892,0.0324109366567159,-0.0188404199675209,0.051855322959183,0.0864985972180284
"miR9",-0.0084702234842944,0.00710385472381116,0.0085178533446678,0.02224945075277,-0.00329249138565628,0.00319020138253878,-0.00414915933093182,0.0315959184866827,0.0187224146325382,0,0.00931164202404224,0,0,-0.00720599998346222,0.00283899872324568,-0.00720599998346222,-0.00695736723893759,0.00710668701364291,-0.0060327255141495,-0.0032618622612114,0.0193663505569127,-0.102943920306269
