"","SNAI2","ZEB2","miR34a","TWIST1","TGFbeta","ZEB1","miR200c","miR200a","miR141","GSC","FOXC2","miR200b","TWIST2","miR101","SNAI1"
"SNAI1",-0.0864186564474134,-0.165888104855964,-0.1225513655619,-0.265733119792147,0.0234053950957551,0.0937750800581593,0.0306584496218834,-0.0306584496218834,-0.093764878373954,-0.0234398911168175,0.282190432647009,-0.0532879990974658,0.101919695380471,0.214636526400389,0.143104545441308
"GSC",-0.0625359444725907,-0.102319480231252,-0.0666162303279189,-0.0361802677688538,0.0533728682563481,-0.0542354215101802,0.0742725071816523,-0.0742725071816523,0.0542668678965482,-0.0535703632874236,-0.0491885165263603,-0.00671273519738864,0.0641264863008698,0.127888796382125,0.0962802007384667
"ZEB2",-0.094283849700092,-0.0928390546387547,-0.0619680779636676,-0.0540425540506511,-0.0137575579099115,-0.00895540928389934,-0.00373960010801893,0.00373960010801893,0.00915796638061414,0.0137195003669065,0.0420741854826849,0.042840483010464,0.0759897060215825,0.117874573213718,0.141155554817406
"SNAI2",-0.0975381299122575,-0.023745440552494,0.00451878696304107,0.018504454291252,-0.00448057663290242,0.0494390877389145,-0.0130059752890291,0.0130059752890291,-0.049387844675986,0.00432746347458,0.0415914482119183,-0.0276121784548868,-0.00485655349989913,0.0319597544504433,0.0631509877521928
"miR200b",-0.133396654668036,-0.0174069367916895,-0.130506105297196,-0.109417299817849,-0.106793815015836,-0.00934537766217825,0.0129176923689993,-0.0129176923689993,0.00929076421431095,0.106728117487257,0.0805866725421661,0.0691678425453082,0.133030736122987,0.169888571160009,0.206679804551783
"miR200a",-0.133396654668036,-0.0174069367916895,-0.130506105297196,-0.109417299817849,-0.106793815015836,-0.00934537766217825,0.0129176923689993,-0.0129176923689993,0.00929076421431095,0.106728117487257,0.0805866725421661,0.0691678425453082,0.133030736122987,0.169888571160009,0.206679804551783
"FOXC2",-0.0539251681750762,-0.0154965332394635,-0.000942314855765575,-0.0781118669935283,0.00816724631471848,-0.00565237692126371,0.00854103088800006,-0.00854103088800006,0.00571324769368178,-0.00858236780694187,0.095529287603349,-0.00851537771913658,0.0772237714295234,0.0520357622452028,0.0501543700823912
"miR101",0.100412853796029,-0.000619690043604344,0.0533410338824681,0.239853432903026,0.0370374752460351,-0.0934352648239357,0.046416429811809,-0.046416429811809,0.0935078924080968,-0.0372556353121868,-0.251576942278856,0.0142825039227646,-0.0528239668493798,-0.226511449452556,-0.253049702173504
"miR200c",0.105529767197281,0.00183071438971254,0.0271886946836554,0.0488658933978267,0.122938169124538,0.00488801228138987,-0.00246229738479651,0.00246229738479651,-0.00478063668897281,-0.123230821751841,-0.0447302549998597,-0.0439962386421096,-0.0537234610767469,-0.142225338112325,-0.179534185053009
"miR34a",0.0598875298339051,0.00869619128542451,0.0263254615869007,0.130443378788546,0.0406307070473704,-0.0619781424826903,0.0733524463467414,-0.0733524463467414,0.0620022055562525,-0.0406058309726936,-0.159569229878511,0.00286655711764709,-0.183684943003317,-0.081959777254052,-0.111656977230761
"ZEB1",0.0541649970073523,0.0155566537766983,0.000983350138647893,0.0785031687439316,-0.00828497617587402,-0.0943080226917553,-0.00842122466154892,0.00842122466154892,-0.00565237692126371,0.00816724631471848,-0.0955647622698101,0.00854121083719393,-0.0770098535634202,-0.0519919166291719,-0.0500991065222421
"miR141",0.133396654668036,0.0174069367916895,0.130506105297196,0.109417299817849,0.106793815015836,0.00934537766217825,-0.0129176923689993,0.0129176923689993,-0.00929076421431095,-0.106728117487257,-0.0805866725421661,-0.0691678425453082,-0.133030736122987,-0.169888571160009,-0.206679804551783
"TWIST2",0.100393369127141,0.0776596884555976,0.0164691883589664,0.0193020401250525,0.000368761135078687,-0.0597973397915305,-0.0086655768403373,0.0086655768403373,0.0597894241546296,-0.000329713445966201,-0.0185058992425172,0.00739728013610097,-0.104444358986957,-0.0887740552172427,-0.0707564434361076
"TGFbeta",0.107821959295701,0.121602369601201,0.153360031773486,0.122809411365587,0.0548008751201917,0.00391238992879594,-0.0618930984817027,0.0618930984817027,-0.00392839198709991,-0.154789582611964,-0.0883622900348938,-0.0635469281127882,-0.158342213374174,-0.155094293312885,-0.204130601681205
"TWIST1",-0.0172560106260895,0.134744890091524,0.0461834049391389,0.144613929957344,-0.0336114103892579,-0.0816143736310926,-0.0268267709162398,0.0268267709162398,0.0816229298806551,0.0335325418190515,-0.341742230324901,0.0801230379950642,0.0448339569165264,-0.106895691120593,-0.230430412383785
