"","ZEB2","SNAI2","miR200a","ZEB1","miR141","miR200c","TWIST1","TGFbeta","GSC","TWIST2","FOXC2","miR34a","miR101","miR200b","SNAI1"
"miR34a",-0.100969928593054,-0.0563292535541305,-0.0243915697965921,-0.0390602012900313,-0.0390479338407643,0.104937549990739,-0.145505392041452,0.00490295333118475,0.0049205486035171,0.00467690618907851,0.227401933691096,-0.0855253931361356,0.0743473263052976,0.0357654488579414,0.218845405977405
"ZEB2",-0.0887196450950015,-0.0165468899394735,-0.00651635323885266,-0.00517890970426316,-0.00506792633186169,-0.00362096511328017,-0.00275503645581298,0.00205701797535147,0.00217626494343388,0.00218704214273836,0.00320827178697739,0.00568555514824952,0.0062486023548526,0.00676731520838122,0.0290902333054531
"SNAI1",-0.0756693932958263,0.108547441161811,0.118694194831815,0.149906822503404,0.149885800851102,-0.040020644669156,-0.157474888313029,-0.022830148546466,-0.0228130987889294,0.0356999012679669,0.179064797065614,-0.216672704596004,0.180714007502856,-0.115068819505542,0.0488093572822672
"TGFbeta",-0.0652940527553341,-0.010229908445505,0.0340865280986127,-0.00163455188346968,-0.00163988590290433,0.0356845475218754,0.0527668893400226,0.0796384127040439,0.179743271709013,0.0656034770834667,-0.0434566629411691,-0.084238407947654,0.025029225721563,0.0478192672558389,0.0599529758534423
"miR200b",-0.0116737115399635,-0.0609257163860656,-0.00161816851454304,-0.0134613416193223,-0.0136881262757204,0.0121351449681221,-0.0153422969377353,0.107302034911732,0.10724828238835,0.0126756337387232,0.0170342667337324,0.0101108011478092,0.0309080314431161,0.0304275344588063,0.122685522756751
"GSC",-0.0101206825575528,-0.0450641674666007,-0.089229680910512,-0.189775663539539,-0.189709331318294,0.113130359510419,0.252418280814135,-0.00192566163640618,-0.00195531743979451,-0.0644246619955044,-0.288961052677909,0.184730285970299,-0.155569463253588,0.0782533182394654,-0.161002165130481
"miR200a",-0.00557751737647154,-0.0138496883020131,0.0100928390209757,0.0134318555446278,0.0135327515754335,-0.00352352989005966,0.0690770763327059,0.110594006040815,0.110523530510159,0.0471636469506271,-0.0481329085065007,-0.0984836950313695,0.0154971842140531,0.0128248009187551,0.0442928472740335
"miR200c",-0.00193504957620301,0.00922483309273911,-0.00999225489699734,-0.0216122194162432,-0.0218343758143474,0.0119179893072711,-0.0701508972137895,-0.107830868380342,-0.107715001829941,-0.0465855045844293,0.0494044523387666,0.103373887398553,-0.0133298625724463,0.0207907899654336,-0.035114879849561
"SNAI2",0.00505824214133525,-0.0910258359393936,-0.00423726410296967,-0.00383378912870492,-0.00361709460769359,-0.00041924155495063,-0.0832965964310945,-0.00043189612114917,-0.000504603486833005,-0.00600485145121966,0.0403720029779005,0.000455338144423749,0.00912868393508801,0.00143083727692015,0.00864783331520511
"miR141",0.00557751737647154,0.0138496883020131,-0.0100928390209757,-0.0134318555446278,-0.0135327515754335,0.00352352989005966,-0.0690770763327059,-0.110594006040815,-0.110523530510159,-0.0471636469506271,0.0481329085065007,0.0984836950313695,-0.0154971842140531,-0.0128248009187551,-0.0442928472740335
"FOXC2",0.0185664471909864,0.0821817112124444,0.00508556360037841,0.0189944453560577,0.0195123808757553,-0.0211509661596743,0.105693727449675,0.00132817493845951,0.00125622054647412,0.0134452163793558,-0.130202218345142,-0.00553934863724465,-0.0214950915230546,-0.0147461416090352,-0.125263251329286
"ZEB1",0.0185851052887489,0.0824042939264445,0.00479559780592422,-0.0807062960233391,0.0189944453560577,-0.0208795211345266,0.105257620155333,0.00125651328384309,0.00132817493845951,0.0140394326740871,-0.130219184489971,-0.00523867192812512,-0.0216076681047555,-0.0144333763582695,-0.125352613681868
"miR101",0.0765673700841172,-0.120559360890332,-0.111956147079565,-0.140172134070918,-0.140362056908372,0.0329366210661769,0.15238719734287,0.0191482048976069,0.0191570016744679,-0.039778902058657,-0.168352582354298,0.147307261215965,-0.181653494588402,0.133783259633887,-0.140608725717507
"TWIST1",0.0826158458587824,-0.0144069156776892,-0.130548321577373,-0.165986153662998,-0.166125905739185,0.0462003230861345,0.066188151802878,0.0086960375936755,0.00869336408282105,-0.113506533396009,-0.259349685214118,0.159395262921467,-0.0829347024596417,0.0877828616738014,-0.149487224999845
"TWIST2",0.121617295474228,0.0465096109209217,-0.0733928680141732,-0.0221244822363409,-0.0220259765326848,-0.0493284205926924,0.234212113533866,0.0083137342927924,0.00828487295736144,-0.109619164527567,-0.211697363613473,0.114196429653893,-0.0699823678482482,0.0315575891902304,-0.199007064398128
