"","GSC","ZEB1","SNAI2","miR101","SNAI1","TWIST2","FOXC2","TWIST1","miR34a","miR141","TGFbeta","ZEB2","miR200c","miR200a","miR200b"
"miR200a",-0.106819718329564,0.042011376181627,0.00343405793078007,-0.0863808838946828,-0.18040263494205,0.0615984025386501,-0.0886254649473747,0.117593947976741,-0.158538336353767,-0.0425630645702526,0.105951316451809,-0.260403448996485,-0.105666519785639,-0.105666519785639,-0.164553486051794
"miR141",0.155673840205756,-0.0159909863922737,0.00591904646624813,0.0951692370899665,0.188083802585597,-0.0600134608377596,0.0893115085832979,-0.130825145389028,0.141622400191639,0.0165139795794775,-0.154798271324884,-0.213673691210107,-0.115147217749848,-0.115147217749848,-0.0402991888413127
"TWIST2",-0.0732807023860561,0.180887175114178,-0.00423123842460864,-0.156384101572409,-0.346911838359069,0.135331395085531,-0.219142880294036,0.120556531893473,-0.236285284853772,-0.180766681530242,0.0733718136606519,-0.201982090902476,-0.00496170502367976,-0.00496170502367976,-0.144447883259434
"GSC",-0.0804297814194441,0.192751093184608,0.0922823157104296,-0.167637881899943,-0.342792177528789,0.0597712618155244,-0.328073349273952,0.173373639102286,-0.235714207114592,-0.192512297188126,0.0806575632284481,-0.200389368311406,0.00870174778424869,0.00870174778424869,-0.159759952936732
"miR101",-0.00806297268724727,0.0129879467126433,-0.141278944470646,0.0871694362722025,0.215517854745678,0.0227744381298242,0.239144193742333,-0.217150368161262,0.0917205865430149,-0.0135870390383285,0.00718505435652365,-0.0988897967462841,-0.0417463680249424,-0.0417463680249424,-0.0952385320773349
"TWIST1",0.0597917927360926,-0.10035191421549,-0.0340926121255417,0.109148794100869,0.323410401785287,-0.104715411879577,0.196091110744086,-0.185570889164981,0.159880057692842,0.10050981591196,-0.0595043903192388,-0.0728750690782819,-0.0865967392047196,-0.0865967392047196,0.0097346508822392
"ZEB1",-0.0286525851959137,-0.0513049182685767,0.0892136621819086,-0.0529704525306081,-0.196428721543453,0.0452078472939619,-0.150360993356421,0.0797051978484518,-0.094467458114926,-0.047931145152195,0.0298247651178537,-0.0335247415893467,0.0139853540864315,0.0139853540864315,-0.0404940250632257
"TGFbeta",-0.183646449720428,0.000389076134906425,0.00944930449772778,-0.0586157385213022,-0.126935858832606,0.0661136563962278,-0.0684434171153844,0.0967464514595582,-0.110932716652926,-0.000210543366769975,0.0838884320395862,-0.0285241526592848,-0.0125022262061062,-0.0125022262061062,-0.0744968221238007
"FOXC2",0.0303518158374148,-0.047931145152195,-0.0878485241321212,0.0514050455366398,0.196755599622633,-0.0434410441776275,0.15068026535457,-0.0778144038942132,0.0948352834687621,0.0489680840998782,-0.0286525851959137,0.033555246098387,-0.0148471486332224,-0.0148471486332224,0.0403141158481834
"SNAI2",0.0256597109245803,-0.0603385570121586,-0.068938450101149,0.102026398057032,0.182396410575202,-0.102630861405681,0.115170332814401,-0.0412153964550863,0.105396319029642,0.060185497667333,-0.0258573038830858,0.0710182453480845,0.00360229245733104,0.00360229245733104,0.0575637590990447
"miR34a",0.0868279532498377,-0.174743646853729,-0.138586540212736,0.066085288368207,0.293524326174043,-0.0568013122623009,0.240187697208219,-0.146079067769042,0.2176496390365,0.174689386981971,-0.0868067175763331,0.148376211713528,-0.0814329438278243,-0.0814329438278243,0.0680415236578422
"SNAI1",0.0267145917322422,-0.132951247491724,-0.185718274016055,0.10207714801325,0.196199815822622,-0.00334638915711011,0.30585433322969,-0.263997559372635,0.25693132796445,0.133060374598527,-0.0265468696988009,0.193557765044178,0.0208120150853506,0.0208120150853506,0.0555703643015489
"ZEB2",-0.060170609517399,-0.0508001272009436,-0.0310852931114371,-0.0282682306662652,-0.0253640093914602,-0.00314651145876146,-0.00144400817252454,0.0329238588363351,0.0375587099324218,0.0505358573769742,0.0598585376647578,0.217858122367953,0.240271268760215,0.240271268760215,0.273510793437011
"miR200c",-0.109601713182388,-0.0433746651663166,-0.0635174603109132,-0.0546561716559109,-0.0434478786373485,-0.00245752232221559,-0.00460409309945797,0.0639089722218946,0.050471360962522,0.0437504797397763,0.110192990939594,0.23997431599144,0.095682874757557,0.095682874757557,0.109111188883269
"miR200b",0.106819718329564,-0.042011376181627,-0.00343405793078007,0.0863808838946828,0.18040263494205,-0.0615984025386501,0.0886254649473747,-0.117593947976741,0.158538336353767,0.0425630645702526,-0.105951316451809,0.260403448996485,0.105666519785639,0.105666519785639,0.164553486051794
