"","ZEB2","SNAI1","TWIST2","miR200c","miR200a","miR141","TGFbeta","GSC","ZEB1","TWIST1","miR34a","miR200b","FOXC2","miR101","SNAI2"
"ZEB2",-0.0899763844358139,-0.0255217966371489,-0.0193925173844788,-0.00658060943135607,-0.00658060943135607,-0.00641882001973381,-0.00410429015560851,0.00430218937923463,0.00637054474115559,0.00642000664986514,0.00704625146973278,0.00797865006971529,0.0252263447399256,0.0272769416545692,0.0288351652549154
"miR34a",-0.0875992670509739,-0.0270691581311349,-0.152619995335625,0.11322674776815,0.11322674776815,0.0647501202391752,0.0233635321209313,-0.0234648566202245,-0.064836936033988,0.0705054303465556,-0.0539597288343753,-0.021600917660208,0.0832454467780709,0.0409980456151523,0.0583965038877583
"FOXC2",-0.0330722140203194,-0.0916297412432339,-0.104605216490545,0.00150977043855495,0.00150977043855495,-0.0181645995624152,-0.00561979598834887,0.00558105131574136,0.0183536193293977,0.0839336341459475,0.00608082760259047,0.00804885059416964,0.11735056880928,0.0967029049037082,0.101410596269149
"ZEB1",-0.0328959986525623,-0.0915309723272228,-0.104547115341727,0.00139575195251209,0.00139575195251209,-0.0183536193293977,-0.00550846448921265,0.00561979598834887,-0.0816629226044045,0.0836110342295845,0.0063680745827667,0.00813649867329279,0.116944923710183,0.0964481263240691,0.101277477793706
"SNAI2",-0.0269988685351798,0.0751205086628605,-0.0236323353443152,0.00310867279784143,0.00310867279784143,-0.0205826660484515,-0.00286549060501229,0.00296557015542416,0.0204952514116912,0.0160394232974423,0.0451417650366077,-0.000373432321728106,-0.0361741223308827,-0.0335323838822024,-0.0913755702452574
"miR101",-0.00620655180912779,0.121109274686775,-0.0516045091270844,-0.0422550230066206,-0.0422550230066206,-0.0913660277534852,-0.0193851835411479,0.0194766700205018,0.0913950105922349,-0.138745874970628,0.105787100022095,0.0193139805338099,-0.138702349599589,-0.146231361519207,-0.0704319354704436
"miR200a",0.000914541518677426,-0.0543906894427552,0.0165192323974472,-0.00374631449492116,-0.00374631449492116,-0.00571440247327546,-0.110674631161637,0.110618489637216,0.0056588633737494,-0.0285778237327995,-0.0857719063152364,0.0304598975404284,0.0652751939665379,0.0584051881737496,0.062423207527455
"TWIST1",0.00635896740866968,0.188699566571271,-0.0751176496365971,0.00917495087923936,0.00917495087923936,0.0210737173460794,0.000474579361141492,-0.000434476698324681,-0.0211579834402552,-0.104189233284034,0.0803418616437761,0.00228621624649452,-0.0982617554595247,-0.0960482454435998,-0.00240320728771412
"miR200b",0.00914431477655494,-0.0467125430377051,0.0236532514573803,-0.00401645292148663,-0.00401645292148663,0.00266916593417598,-0.105264927169336,0.10528284467713,-0.00277746717825181,-0.031033914948586,-0.0909685205073567,-0.00363765631300717,0.0553422517990928,0.0501893338809806,0.0538132598917308
"miR200c",0.0188699100649087,0.104309047049198,0.0807131548377582,0.00302797718473379,0.00302797718473379,0.0218608460826941,0.118401904044646,-0.118386375537891,-0.0219163851822202,-0.0347127107895847,-0.0177230415524253,-0.0373793904318308,-0.109807455723253,-0.113427112725729,-0.121558653502696
"TGFbeta",0.0215512286995843,0.0560570264698049,0.0702396455102617,0.00946333589770513,0.00946333589770513,0.0327970226664859,0.105439614062895,-0.205250867853951,-0.0327998465591278,0.0120999996286971,0.0628116251235563,-0.102219686248857,-0.0658217844959487,-0.0690489989231907,-0.0818701383603336
"miR141",0.0270996833227863,0.111987193454248,0.0878471738976913,0.00275783875816833,0.00275783875816833,0.0302444144901456,0.123811608036947,-0.123722020497977,-0.0303527157342214,-0.0371688020053712,-0.0229196557445457,-0.0714769442852664,-0.119740397890698,-0.121642967018498,-0.13016860113842
"TWIST2",0.0479272455109612,-0.140558020489117,-0.0447245757900599,0.00781782936609106,0.00781782936609106,0.0659530119218477,0.00158658346224632,-0.00164487204164611,-0.0659815961662122,0.0420985593061781,-0.102838224105932,0.016932709780352,0.0710298108698171,0.0957610126299324,0.0735959435257168
"GSC",0.0983760151488073,0.013752040847316,-0.0334804268121149,-0.120518297780542,-0.120518297780542,-0.137328542418255,-0.0496108612435485,0.0496985667046332,0.137354583956966,-0.146266122624537,0.101844131194363,0.103317827031177,0.0488497609714785,-0.0784803192610775,-0.0414324821307845
"SNAI1",0.120226601590414,0.0035729189527278,-0.0228597256177451,-0.0856101128661609,-0.0856101128661609,-0.0643961192032566,-0.017562024889918,0.017640136569795,0.0644743321154974,-0.128385359403271,0.144951810989362,0.0269816213096571,-0.127232558936605,-0.141247625215027,-0.0769380191462743
