"","ZEB2","TWIST1","miR101","SNAI2","miR200c","ZEB1","miR200b","miR34a","GSC","TGFbeta","FOXC2","miR141","TWIST2","miR200a","SNAI1"
"GSC",-0.176286197423933,0.36820573068514,0.159111176656354,-0.0587351950721328,0.0751824370122091,-0.0257630511282841,0.103657903941132,-0.105421023585357,0.0329734801105967,-0.0329084897329584,0.0543161250224811,0.0257694386755151,-0.0200997927647284,-0.0751824370122091,-0.286165655597899
"miR101",-0.140251826748943,0.244110383941343,0.0976457692191224,-0.164230096962858,0.081567562311548,0.0245422979582442,0.0939914641082732,-0.066308008074623,0.023743589889406,-0.023669696963774,-0.108335457720289,-0.0245419569836706,0.0197731609001783,-0.081567562311548,-0.262355637696215
"TWIST1",-0.13625647652614,0.256005734525888,0.155932383162575,0.0515984594708541,0.108581473567212,0.0892230625316723,-0.00596321506275294,-0.0612010077109351,-0.0139754468528891,0.0139727733420347,-0.0387747521794898,-0.0892129506003712,-0.0951206667098091,-0.108581473567212,-0.297026051964215
"miR34a",-0.0974480222816537,0.0742840347888697,0.123768602468957,0.100841501434029,-0.00930042084035623,-0.0145725056264338,-0.0120392084538224,-0.0636537345514567,0.00273843303253108,-0.00267472601201742,-0.109680474272704,0.0145932659251934,-0.0291827299103092,0.00930042084035623,-0.144764561524556
"ZEB2",-0.0758989528076696,-0.0441240900117551,-0.041497034805224,-0.0259799352108722,-0.0171107057997119,-0.00868351094578486,-0.0066990305179717,-0.00038281036055616,-0.000338687653714816,0.000341224823248484,0.00678257705098326,0.00864319859975562,0.00986090414146598,0.0171107057997119,0.0574843414554378
"miR200c",-0.0545996879410404,0.192222662243337,0.171418539131232,0.0986153715337625,0.0380831383358653,0.0230896851260429,-0.0181702393030073,-0.0198821396669,0.0873330602271357,-0.0873151427193416,-0.0332462898903362,-0.0230711720928676,-0.0483700720314867,-0.0380831383358653,-0.247170623675185
"miR200b",-0.0545996879410404,0.192222662243337,0.171418539131232,0.0986153715337625,0.0380831383358653,0.0230896851260429,-0.0181702393030073,-0.0198821396669,0.0873330602271357,-0.0873151427193416,-0.0332462898903362,-0.0230711720928676,-0.0483700720314867,-0.0380831383358653,-0.247170623675185
"miR200a",-0.0545996879410404,0.192222662243337,0.171418539131232,0.0986153715337625,0.0380831383358653,0.0230896851260429,-0.0181702393030073,-0.0198821396669,0.0873330602271357,-0.0873151427193416,-0.0332462898903362,-0.0230711720928676,-0.0483700720314867,-0.0380831383358653,-0.247170623675185
"miR141",-0.0230572776901992,0.197109879207823,0.118610805464559,0.042619564011923,0.0117751334389736,0.00203792444551542,-0.0167467756508511,-0.128025776465885,0.0944470073006335,-0.094369364766859,0.00342069792723382,-0.00200089837916471,-0.077898554733597,-0.0117751334389736,-0.197740042957638
"SNAI2",-0.0153796740835108,0.245741068452308,0.243643318846974,0.00917360717560834,-0.015616153570955,-0.0469481620557953,-0.156732951192038,-0.0994781519445148,-0.179038973257662,0.179002191884434,-0.0558682986322462,0.0469471572898556,-0.18696330831134,0.015616153570955,-0.189662110446118
"ZEB1",-0.0088899954927795,-0.0263474751984516,0.0659119947114976,0.0784251821155409,0.0122016323802656,-0.0851968321528225,-0.00715783958616561,0.0112429390403352,-0.00414099821237693,0.00416531198805036,-0.0927723391056213,-0.0148497860242564,0.014794787188272,-0.0122016323802656,-0.0518735109922237
"FOXC2",0.0089364926570448,0.0263146177995628,-0.0660079810601058,-0.078408474938461,-0.0122311498563478,-0.0148497860242564,0.00715599436344723,-0.0112048881416625,0.00426830213665877,-0.00414099821237693,0.0928170680328983,0.014867940465153,-0.0147578137299332,0.0122311498563478,0.0518570495062219
"TWIST2",0.0165543397070762,-0.247806378061881,-0.0116855390391137,0.167331536853794,-0.017556271839444,-0.0182590833354916,-0.0488324322724513,0.0732059682753485,-0.0154961939169278,0.0154639371302697,0.0308402263626992,0.0182678784876037,-0.111973887308675,0.017556271839444,0.220508242974671
"TGFbeta",0.155634899273818,-0.296716201011286,-0.177590133123388,-0.0247614799768442,-0.0943364158769908,-0.0355499437915034,0.0459886415949246,0.172842576932982,-0.0143744672948714,-0.0856432780752002,0.0418700783175198,0.0355144882505554,0.114756823845237,0.0943364158769908,0.338163878586821
"SNAI1",0.17484974697328,-0.238588265825024,-0.101551672472248,0.176547988605785,-0.162356218680051,-0.153720700455788,-0.0529912564034891,0.095667206629539,0.00119407344943075,-0.00118812585959241,0.129493222061845,0.153715445042713,-0.0502436293559278,0.162356218680051,0.184341109395832
