"","ZEB2","TWIST2","miR34a","FOXC2","miR200c","miR200a","TGFbeta","GSC","TWIST1","miR141","ZEB1","miR200b","SNAI2","SNAI1","miR101"
"TWIST2",-0.132288059949753,0.066592271378169,-0.00849203219259718,0.0667953880319402,0.0354291928758548,0.0354291928758548,0.0328927756952052,0.0312227795999741,0.167055776911069,0.0611791999574444,0.0604360096039672,-0.0163015917923215,-0.0405074582578831,-0.0317875170346739,-0.0389149328972755
"miR34a",-0.101648209057054,0.168572698318329,-0.0198103449541885,-0.0462267586460206,-0.0784515789987071,-0.0784515789987071,-0.0338649299144726,-0.0348787816409329,0.122850043377771,0.131137527291938,0.130677497944424,0.0715935317087434,-0.0567865278211537,-0.0936777431878605,-0.0733767630980943
"TGFbeta",-0.0799079661555139,0.0874838179020702,0.0610094925083382,0.0180597605830543,0.0326339524853549,0.0326339524853549,-0.0633641603505391,0.0335836359971411,-0.00346648234592024,0.0140092288792106,0.0126634871524316,0.0579549997279695,-0.0387345940062597,-0.0378157893224883,-0.0429924922783904
"ZEB2",-0.0746796933274335,-0.0457604606539811,-0.0399429363318892,-0.0133328148813862,-0.0119262797867663,-0.0119262797867663,-0.00991861567406139,-0.00607734100008767,-0.00335065130823869,-0.000648806630202948,0.00102092078866223,0.00326293295813699,0.0533604936004458,0.0562253625600186,0.0605125436234738
"GSC",-0.0344129061151116,0.0463185438543993,0.0216552132803176,0.0442675097202049,0.0642751616098696,0.0642751616098696,0.0382076006094692,0.0406248640728885,-0.0927411020015565,-0.0858877517046659,-0.0848338064115512,-0.0546751443231527,-0.0769399990799479,0.00722554406229826,0.01927242671118
"miR200a",-0.031389187915181,0.0931748919087709,0.104465303673873,0.0234248385081817,0.0128401786608849,0.0128401786608849,0.105059313994082,0.108256991885072,0.0267947155899968,0.00551153127365351,0.00691852179498053,-0.0103144673332244,-0.0904584006718989,-0.098844509285809,-0.0898186381611625
"miR141",-0.031389187915181,0.0931748919087709,0.104465303673873,0.0234248385081817,0.0128401786608849,0.0128401786608849,0.105059313994082,0.108256991885072,0.0267947155899968,0.00551153127365351,0.00691852179498053,-0.0103144673332244,-0.0904584006718989,-0.098844509285809,-0.0898186381611625
"miR101",-0.0249786912202513,0.0407760672536082,0.0330919133664361,0.0326917617515605,0.0580603790763006,0.0580603790763006,0.0304795761733799,0.0327491446035071,0.00726683784541495,-0.0933085884281679,-0.0923153294954865,-0.046628964405711,-0.0983967736986995,-0.00801298362430192,0.00048685428162924
"FOXC2",-0.0208714158800574,0.0999645410600789,0.0121688377309136,-0.0767728183602757,0.00537554019882718,0.00537554019882718,0.00249015223777653,0.00318202139148218,0.0908772620326695,0.00683092741494993,0.00714809617649669,0.00355954346287938,-0.0912100547802921,-0.1042985714579,-0.0964473446225108
"miR200c",-0.0156733503891378,-0.00733450891535986,-0.00784456094941057,0.0434243959047047,0.00852112438814398,0.00852112438814398,0.0962958091084569,0.0988962367396429,-0.0452740733159208,-5.23301786780228e-05,0.00107974179999496,0.0193362284261346,-0.0312966904619376,-0.0299142808858888,-0.0266337476399327
"TWIST1",-0.0143812802881104,-0.0441684839300248,0.0506749197786611,0.125050441613939,0.0861062591757241,0.0861062591757241,0.048570800208075,0.0510237464170366,-0.0939688539336775,-0.13140209724836,-0.130305600902916,-0.0632114648139515,0.0113104987750679,0.00215756847945458,0.010726820738331
"miR200b",0.00417700147086347,-0.0770306464624663,-0.0886644646449943,-0.0165097491866735,0.0045701446999296,0.0045701446999296,-0.0840664331386787,-0.0847102689187473,-0.025984554225925,-0.0125290334460972,-0.0128132085053389,-0.034761884512934,0.0707386895403694,0.0776640075032901,0.07317341773692
"ZEB1",0.0210908706489783,-0.100413504482765,-0.0122158417822152,0.0772740908211379,-0.00506242344273993,-0.00506242344273993,-0.0028996474070132,-0.00249015223777653,-0.0911102508611539,-0.00714809617649669,-0.10696513236323,-0.00397471857451535,0.0906393160535946,0.10369067229626,0.0972993715934898
"SNAI2",0.0361249895909414,-0.0575117589912102,0.0209397297665012,0.00325789789841818,0.00387827578093126,0.00387827578093126,-6.03104248417401e-05,-0.00288050083260175,-0.101645177599379,-0.0459668227134581,-0.0472358420953931,-0.0074445247910097,-0.0583657761036425,0.0350957256205247,0.0341449375994131
"SNAI1",0.0649432546563017,0.00485345124974595,-0.0198639074132408,0.0315072903318511,0.00608939238023227,0.00608939238023227,-0.0148572852433311,-0.0162549688553421,-0.00981599061896095,-0.0875290669138606,-0.088147350805092,0.0210168564674865,-0.0727710065322125,-0.080119205119541,0.0216978893649561
