"","ZEB2","TWIST2","miR200b","FOXC2","miR141","ZEB1","miR200a","SNAI2","GSC","miR101","SNAI1","TGFbeta","TWIST1","miR200c","miR34a"
"SNAI1",-0.190516997179372,0.143263204314327,-0.0453000746313195,0.40784496343188,-0.16791382146338,-0.168077975836502,-0.00127033801560041,-0.152115233634149,0.00601794192460918,0.179809950403935,0.324120014034866,-0.00605085192171469,-0.299532040027338,0.00127033801560041,-0.132061287130962
"GSC",-0.166161988881885,0.0369866667005066,0.00392634854930162,0.432390630781307,-0.12917011964949,-0.129309171639211,0.0122647690471681,-0.0293840605324646,0.0199530776958925,0.194698757313621,0.32891244722176,-0.019976423753879,-0.36977342182023,-0.0122647690471681,-0.0459936188581217
"miR101",-0.134392739379437,0.0517034465424886,-0.0202452675086584,0.313819758712179,-0.125178011944514,-0.125243820037205,0.00160665001610997,-0.102697943991758,0.0110035079252353,0.152953723291345,0.313007768936891,-0.0110474918095401,-0.253538530309618,-0.00160665001610997,-0.0463774380921412
"TWIST2",-0.0848487162832934,0.113359102264524,-0.0624840331791931,0.0481694373805387,-0.139252058243888,-0.139235347454875,-0.0284014329449308,-0.131897738543985,-0.00624541755992102,-0.0048463783462973,0.130570692366983,0.00620071078542992,0.0216550070395235,0.0284014329449308,0.0152696617917002
"ZEB2",-0.0848340168683865,-0.0249915309151325,-0.0205913598200348,-0.0165842123195194,-0.0133491399849734,-0.013327739603748,-0.0113933224845639,-0.00382383775563625,-0.00314721961747039,-0.00239343739343325,-0.000988922466418715,0.00310916207446537,0.0066276109825323,0.0113933224845639,0.0414281785943324
"ZEB1",-0.0240564955321398,0.123492477021249,-0.00209770049334192,0.125347654680554,-0.00599207520767598,-0.106035685760427,0.00830334288997903,-0.114948645687667,-0.000865495223153617,0.0100215656633607,0.137393570952933,0.000866774895557482,-0.0138184886800302,-0.00830334288997903,-0.0290694485856001
"TGFbeta",-0.0234666624409825,0.15642001819315,-0.113382545322329,0.0230176272679233,-0.0279860616721348,-0.0280208896813847,-0.00549534323905229,-0.138201002873178,-0.200535188333073,0.00247638360728345,0.1456096946307,0.100520669393923,0.0216025459816817,0.00549534323905229,-0.0978449217732408
"miR200a",-0.00426201000023376,-0.0130717766898915,0.0794237546844242,0.0264695306241813,0.025228130338681,0.0251874016656952,0.0147264111735931,0.0761179311897043,0.114412854931894,0.00379986457932829,-0.0683832158700883,-0.114459440452159,-0.0231420217373054,-0.0147264111735931,-0.0290311892995858
"miR141",-0.00330664118411998,0.0227340982562286,-0.0300329031326017,-0.0196147940465095,-0.0014904026896475,-0.00149317964462381,0.000517171369752956,-0.0754911235104106,-0.109667073887358,-0.00282186041454799,0.0703469433768337,0.109658712383721,0.0204414122982843,-0.000517171369752956,0.0056075866660006
"miR200b",0.00330664118411998,-0.0227340982562286,0.0300329031326017,0.0196147940465095,0.0014904026896475,0.00149317964462381,-0.000517171369752956,0.0754911235104106,0.109667073887358,0.00282186041454799,-0.0703469433768337,-0.109658712383721,-0.0204414122982843,0.000517171369752956,-0.0056075866660006
"SNAI2",0.00376890320214222,-0.0846456683984262,0.0266931580658896,0.0508363367133999,0.0205754307989014,0.0204652414675061,0.00844703198886292,-0.014405961415716,0.00668712907422187,0.0493308418414604,0.0149545876148701,-0.00673588577826867,-0.101816907559961,-0.00844703198886292,-0.0163458416918446
"miR200c",0.0139552833994396,-0.13431302777511,0.0467625283168887,-0.0356590209124294,0.0206408637600646,0.0206436407150409,0.00462697567554786,0.155724125582352,0.11566097427048,-0.00445912134236904,-0.166511932557937,-0.115659779769961,-0.011138633827575,-0.00462697567554786,0.103320880373076
"FOXC2",0.0240123676501301,-0.123471349330769,0.00209493265926434,-0.125108586276143,0.00594188351813827,0.00599207520767598,-0.00829697637552993,0.114901757803604,0.000920844755450069,-0.00989476888186594,-0.137285395473492,-0.000865495223153617,0.0137049813020506,0.00829697637552993,0.0290119991895649
"miR34a",0.125471323915688,-0.246168263407267,0.115096156106926,-0.215157826026008,0.171393384055923,0.171470291526328,0.0900176035121904,0.165774991102014,0.014834432849097,-0.0376481821889742,-0.273997567657547,-0.0148350395826257,0.063565636268858,-0.0900176035121904,0.017957877786461
"TWIST1",0.13381129237715,-0.000389786313088231,-0.0359136226034389,-0.425920089709142,0.00794606989588849,0.00797277576573497,-0.0513156472078838,0.00901336660227255,-0.0181047496711619,-0.123278421393722,-0.326713571353768,0.0181649036653871,0.243941568469262,0.0513156472078838,0.0814682496001329
