"","ZEB2","SNAI1","FOXC2","miR34a","SNAI2","miR101","miR200a","miR141","TGFbeta","GSC","ZEB1","miR200b","TWIST2","TWIST1","miR200c"
"TWIST1",-0.0965341629338195,-0.252093936509276,-0.00411941483738959,-0.00915107401417133,-0.010583678225034,-0.119484253081628,0.123181464099566,0.141153158359545,-0.015180496746614,-0.0151190059969616,-0.141255574074004,0.0901256492851118,-0.0536625232977083,0.217487188615672,-0.123181464099566
"ZEB2",-0.0879227453334547,-0.033964601547905,-0.0271675950919018,-0.0232480882778132,-0.0173239605863603,-0.00819905063155884,-0.00540785153540591,-0.00184962658191313,-0.000481005251751864,-0.000437873369679504,0.00180433740304078,0.00243687448570161,0.00474268049696762,0.00512690871064425,0.00540785153540591
"SNAI2",-0.0366630935290016,-0.161719645861029,-0.114102139101182,-0.0825704612100792,-0.0843375835990911,-0.0879423634940834,-0.00177313343711708,-0.03795799969284,-0.00179648630703899,-0.0019376241345429,0.0379556552389805,-0.00976390393546623,0.043386349281615,0.0119464570563702,0.00177313343711708
"ZEB1",-0.0195401034502681,-0.133585873903865,-0.111049516309472,-0.0403552055955554,-0.0805060055831692,-0.0262794719695733,-0.00148394318676829,-0.0129853914254894,-0.0028773755600436,-0.00290040966331316,-0.0869780158118572,0.00269944356037382,0.0291097095741427,0.025502264574586,0.00148394318676829
"miR141",-0.00611016690334125,-0.148422206357424,-0.121024887691284,-0.108892552386368,-0.0647570511735152,-0.041360623913173,0.00368097011456967,0.00199886468121232,0.0865642197737656,0.0865558582701283,-0.00197016947979052,0.0317925607556174,0.0248018045874466,0.0273370097862328,-0.00368097011456967
"TGFbeta",-0.000395854525914063,-0.119105378106855,-0.104905941664423,-0.0701842072918347,-0.020038498480213,-0.0489043928193747,0.036953363339135,0.076504272555944,-0.0894356735321568,0.0106498268872793,-0.0766219347493556,0.0957982803251893,-0.0219743915769639,0.0276373060393964,-0.036953363339135
"miR200a",0.00529358327774392,-0.065222773854349,-0.0820279420136409,0.0217379769585492,-0.0193759330115735,-0.0227240166585935,0.00556580284746768,0.0156734464242413,0.0920898693914888,0.0919357788244594,-0.0155781043033883,0.0318175147720526,-0.0203642976237532,0.00742156835691656,-0.00556580284746768
"miR200b",0.00611016690334125,0.148422206357424,0.121024887691284,0.108892552386368,0.0647570511735152,0.041360623913173,-0.00368097011456967,-0.00199886468121232,-0.0865642197737656,-0.0865558582701283,0.00197016947979052,-0.0317925607556174,-0.0248018045874466,-0.0273370097862328,0.00368097011456967
"miR200c",0.0124836173734731,-0.0539071237416196,-0.0714850646343346,0.0324012829029297,-0.0143696420980346,-0.0197751912332195,0.00460950991463627,0.0219823709796384,0.090370217643258,0.0902471840897384,-0.0219009136336668,0.0616569262483154,-0.0220370247886374,0.00541853783513457,-0.00460950991463627
"FOXC2",0.0194705057840111,0.133260171645114,0.110915329527641,0.0402589592047951,0.0804968435828351,0.0261123846219961,0.00155860503803494,0.0130462621979075,0.00290040966331316,0.00276757078580168,-0.0129853914254894,-0.0026191763721242,-0.029067454193184,-0.0254036923779195,-0.00155860503803494
"miR34a",0.0362180475894672,0.307273722547441,0.183948591989475,0.155139463540028,0.069202603047933,0.108630809938025,0.06547303205498,0.0691893026294207,0.0195651525830396,0.019531782238961,-0.0691256062582266,-0.0119497106914338,-0.0795763815535256,-0.14134064842153,-0.06547303205498
"TWIST2",0.0424099478424279,-0.170399032772493,-0.100922002336011,-0.110368738751737,-0.0464019768507198,-0.0684204832008278,-0.0632547050643052,-0.0800327654870502,0.00262122259784267,0.00273383839687723,0.0798942418412838,-0.0327148695076182,-0.0249417780189722,0.0433230416513553,0.0632547050643052
"miR101",0.128799670959025,0.394023536163822,0.200236110899089,0.128794694854599,-0.0613507127388375,0.275393496827863,-0.0565540301065758,0.0112552179377131,0.0123733214814543,0.0121727549690245,-0.011142355353876,-0.0295430324490961,-0.0885975146702944,-0.282983090578153,0.0565540301065758
"GSC",0.152288831154811,0.374572833357621,0.00699486939716653,0.116850758151244,-0.00138749958734436,0.231777810010078,-0.0763920734042601,0.0053179651726825,0.0199115184940457,0.0197910023568719,-0.00527374369185251,-0.0587933423989921,-0.0572310285800564,-0.384617150616313,0.0763920734042601
"SNAI1",0.166904423930189,0.368620358855314,0.230829460068066,0.200241124947178,-0.0730483427645985,0.315708697033361,-0.114808460123054,-0.0795231733510406,0.0103329914751525,0.0102897723223272,0.0794891677370229,-0.0544242469233758,-0.122384157190764,-0.335518518365547,0.114808460123054
