"","ZEB2","miR141","SNAI1","miR34a","TWIST2","miR200a","miR200b","miR200c","miR101","GSC","TGFbeta","FOXC2","TWIST1","SNAI2","ZEB1"
"ZEB2",-0.112276601332171,-0.0995839408027274,-0.077863388448289,-0.0763645417010837,-0.0677091963013931,-0.0480438735831355,-0.0463538778000954,-0.037532251868436,-0.0125034530052054,0.0261406333405014,0.0266328442300331,0.0368201020959422,0.040743300822128,0.0522613438314372,0.099760618368658
"SNAI2",-0.110754140744717,-0.0303431814600673,-0.0103818824291181,-0.0135322909441441,-0.387418617862811,-0.0690053549134423,-0.226992893736669,0.0397441729647913,0.318656907165368,0.213252734806772,0.213424666342095,-0.0579081522349433,-0.16003425564493,0.338881425602661,0.0302350016605516
"ZEB1",-0.100667023216114,-0.201904560527096,-0.15825897449062,-0.167118129727621,-0.216196446722761,-0.241459854763377,-0.18702353196365,-0.161007186712478,0.00237911440959496,0.0970503825333118,0.0970196703956191,0.121840008190532,0.0306038442839949,0.155967995281615,0.101799794946349
"SNAI1",-0.0948820303142057,0.186046102387302,0.139419148146133,-0.0579433887384007,-0.199792379058269,0.05310087297668,0.0213420367210908,0.148648304710934,0.316459401121763,-0.0339084445591538,-0.0338929808255741,-0.267718439701055,-0.293772896347146,0.290003633577048,-0.186059086349018
"miR141",-0.0492465000300531,-0.254433375488862,-0.256965497517066,-0.0987413919816672,-0.113750815881833,-0.152456290178444,-0.139396983129725,-0.105583920923701,-0.0659127132024034,0.177946577613496,0.177677814996585,0.136888387439444,0.165407353598885,0.123082336346047,0.254505576318246
"miR200a",-0.0375886019340644,-0.200748039004105,0.114578645096379,-0.204779210367501,-0.105192113232955,-0.117975210120399,-0.0726037206599828,-0.0819267206504087,0.0628864888914036,-0.0547719918455718,-0.0550694224749541,-0.0623474428393201,-0.122108167909636,0.00832332686756764,0.200472194809793
"GSC",-0.0298802516322178,0.0259833446911564,-0.206205421977013,0.0839833223940869,0.190699426526097,-0.0122651350565004,0.0977509458938475,0.027911197054517,-0.29723956900436,-0.0312729267439836,-0.0310262156987743,0.147874360649883,0.363288827676316,-0.277679564086821,-0.0259032546758755
"TGFbeta",-0.0131998814311342,-0.0698833406063386,-0.248165601849707,0.121722383333597,0.00437057381038273,-0.0451015654172365,-0.100350681890657,-0.0335632436657335,-0.129328587268818,0.210382063226043,0.110175571647027,0.156072293301434,0.201158447608905,-0.00851798617096901,0.0698165084804809
"TWIST1",0.0033817628800542,-0.137905744509164,-0.227212267697036,0.00482867497969208,0.232872845214764,-0.0808284852273984,0.041279951595789,-0.0639905920721693,-0.281552178703975,0.00354505233846193,0.00350762318649957,0.354506999883177,0.256000734536234,-0.33364324721381,0.138036162494919
"miR34a",0.00508780745056598,-0.0500746497505474,0.0667984124372522,-0.0578982718949351,0.211898854655163,-0.0681921859365741,0.0358194382908782,-0.072972286354917,-0.0500268067246492,-0.000227164222614713,-0.000378240871261394,-0.0603744245211176,0.0563221418309341,-0.160714220907166,0.0501383461217415
"miR101",0.033397932145108,0.0820769011250007,-0.170628823710179,0.112453289028685,0.206842620638202,0.0550711783635731,0.0905992119659022,0.0252348543442369,-0.274409514248234,-0.037256540209932,-0.0370630111189909,0.210859654056277,0.237551376867486,-0.273527127080022,-0.0819885887104575
"miR200c",0.0426384302953356,0.200205778173886,0.22827060320394,0.0652344685135659,0.0894798738200613,0.120971442791202,0.0801430477936127,0.0802274700450622,0.0611948623283513,-0.158440184153031,-0.158369708622374,-0.121740131811081,-0.148585020036433,-0.105718538388548,-0.200551046242607
"miR200b",0.0426384302953356,0.200205778173886,0.22827060320394,0.0652344685135659,0.0894798738200613,0.120971442791202,0.0801430477936127,0.0802274700450622,0.0611948623283513,-0.158440184153031,-0.158369708622374,-0.121740131811081,-0.148585020036433,-0.105718538388548,-0.200551046242607
"FOXC2",0.100544709019671,0.201824467405493,0.158257798670191,0.167081571021053,0.21622549729717,0.241669949740197,0.186801182626085,0.160710275629534,-0.00244666035861555,-0.0974765739319945,-0.0970503825333118,-0.121903245639441,-0.0303111147302582,-0.156132372346433,-0.201904560527096
"TWIST2",0.11828846431779,0.0250833374896767,-0.212228686919503,0.0936490796987259,0.310040981427573,0.0669443181235335,0.0669245714253645,-0.0460645607329331,-0.304521561170168,-0.0276416829307376,-0.027496244436507,0.25538959367009,0.370702485640079,-0.387665877781511,-0.0251207168861533
