"","FOXC2","ZEB2","SNAI2","TWIST2","miR141","miR200a","miR34a","miR200b","GSC","TGFbeta","miR101","miR200c","ZEB1","SNAI1","TWIST1"
"ZEB2",-0.0981208758432609,-0.0882824385060042,-0.0853215558868442,-0.0476549854326289,-0.0369538317644362,-0.00968463751573815,-0.00837073426336785,-0.00336922836765772,-0.000429250769310612,-0.000226277206617152,0.0045375627513543,0.00968463751573815,0.037124537130955,0.0762780194322314,0.0888472215145663
"FOXC2",0.158860502743984,-0.0780147127872649,-0.122925091117109,0.0732406015184287,0.196444205764486,0.167066144871729,0.165805735750925,0.242735008409527,-0.0294641065554654,-0.0295194560877618,0.138087890264565,-0.167066144871729,-0.196302173962177,-0.15549140175609,-0.127938060110953
"SNAI1",-0.19039006726664,-0.0745347845267278,0.110415461562368,0.114588472073492,0.0182130274407451,-0.0358758001467683,0.140557887370926,-0.0133708023884614,-0.0155426547091794,-0.0155470162750609,-0.197214316201047,0.0358758001467683,-0.0181734572717063,0.0820466077759993,0.146874870862688
"miR101",0.256007807951171,-0.0426160634390408,-0.121663062653316,-0.0500158719510748,0.147617181137545,0.057080399756613,-0.0102478736572191,0.120366748373335,-0.0259804091758306,-0.0256778000518137,0.230016050568198,-0.057080399756613,-0.147823470754528,-0.239557045072201,-0.215819124500661
"TGFbeta",-0.115140295154922,-0.0283528343599536,-0.173378168542163,-0.126941181944651,-0.0261237130112794,-0.0272119301391861,0.0681932690323227,0.115801529055872,-0.0151898272141371,-0.115385026284925,0.0591714296303179,0.0272119301391861,0.0260631562024036,0.0548410563123308,0.107517100293344
"miR200b",0.193133823655169,-0.0237414858612606,0.101109122837072,0.0998609368842633,0.218826236955413,0.0982304480223151,0.100671682600752,0.0824459268627676,-0.101795379418617,-0.101306828706098,0.0235928936609483,-0.0982304480223151,-0.218791062192379,-0.149229687286804,-0.180258965031607
"TWIST1",0.0849827034933974,-0.0117966767348565,-0.219072725731397,-0.228479635145455,-0.138244085163001,-0.0914819194250869,-0.152147669035791,0.0251763655699463,-0.0355385585371126,-0.0351910021260336,0.202040322355073,0.0914819194250869,0.13793839370136,-0.184621999088984,-0.0555129937850676
"miR200a",-0.154273486014074,0.0168073753394333,-0.073135732860475,-0.0813166159684864,-0.199154184413113,-0.0912841565995518,-0.0947126956541344,-0.04471300841224,0.0909365302241229,0.0905077045375837,-0.0259971978886454,0.0912841565995518,0.199160663974725,0.125226467526161,0.145060784553085
"miR141",0.101525145131485,0.0396740682902312,0.18682283377319,0.0233173373066829,-0.179291689773966,-0.0701681904794146,-0.169827625588256,-0.124259298781988,-0.0726010391573967,-0.0720647084240928,-0.0742521547247004,0.0701681904794146,0.179203752866384,-0.0380072764757404,-0.0760084128540797
"miR200c",0.0626648074903903,0.0466081788120585,0.158849443796594,0.00477301639090604,-0.198963742316266,-0.077114481902178,-0.175786612534873,-0.161992217232515,-0.0617421899629021,-0.0612655842555786,-0.0718478504970032,0.077114481902178,0.198834151084038,-0.0140040567150974,-0.0408102323755583
"ZEB1",-0.159639403029323,0.0780310016027719,0.122977368413133,-0.0733013436285568,-0.196302173962177,-0.167072511386179,-0.165497598081281,-0.242570783587591,0.0295194560877618,0.0297382800688227,-0.138326078611112,0.167072511386179,0.0963382654541093,0.15555489605924,0.128526506254689
"miR34a",0.177138643497106,0.101491321250557,-0.132238544608575,-0.0745754769302716,-0.147662053225951,-0.0904153627388889,-0.155471767052956,-0.0282328267366194,0.00383295517069015,0.0042898255178024,0.146264033358252,0.0904153627388889,0.147346874144783,-0.171751754261642,-0.0896987231367754
"GSC",-0.023131024687557,0.101605134353396,-0.120677575408715,-0.14882440054213,-0.184107073130506,-0.0483588733026985,-0.178472458279188,-0.112913565611115,0.034277604627129,0.0345356732140615,0.192902027897746,0.0483588733026985,0.183713010601332,-0.161573901396417,-0.0192534576486378
"SNAI2",-0.0546754578208162,0.150438779374017,0.296003947854705,0.322296240955516,-0.188916621056566,-0.0222497583289679,-0.0851520758820815,-0.375146764906429,0.2731311568138,0.273898433366957,-0.345745685112993,0.0222497583289679,0.189093794783947,0.0958467352691927,-0.0766734300041985
"TWIST2",0.079945813091299,0.162567709745139,0.202495495959606,0.122998366176181,-0.136746178935688,0.0113730868128192,-0.104287862014861,-0.158967290834824,0.081168141070134,0.0814007294791953,-0.0854776416973924,-0.0113730868128192,0.136749257238927,-0.0385215330293587,-0.188618023395468
