"","miR200c","miR200a","miR200b","GSC","TWIST2","FOXC2","TWIST1","SNAI2","miR101","SNAI1","ZEB1","miR141","miR34a","TGFbeta","ZEB2"
"miR200c",0.234364529012793,0.234364529012793,0.228053267992593,0.177966358136786,0.0589330687791106,0.00694155048735271,6.22308355018005e-05,-0.0780578428788797,-0.108072094418996,-0.138061618134997,-0.204078646622115,-0.204032364039177,-0.212544127180949,-0.177960385634188,-0.268983668827431
"miR101",0.150990901417658,0.150990901417658,0.158075007594933,0.0460444668914216,0.0386519769533173,0.143023378821477,-0.139799396689216,-0.0819942279197033,-0.15964792001308,-0.137586399305883,-0.066917133772964,-0.0663357721251021,-0.0918838588856929,-0.0456187028913512,-0.244175100197346
"miR200b",0.211589706586577,0.211589706586577,0.138324617487395,0.00205755196473545,0.12415851060033,-0.0739992961698721,0.100845690747434,0.134418155895603,0.152448968598863,0.168115853914056,-0.230795100217562,-0.230334125691496,-0.108809003803663,-0.00164544928547079,-0.189860347507158
"miR141",0.211589706586577,0.211589706586577,0.138324617487395,0.00205755196473545,0.12415851060033,-0.0739992961698721,0.100845690747434,0.134418155895603,0.152448968598863,0.168115853914056,-0.230795100217562,-0.230334125691496,-0.108809003803663,-0.00164544928547079,-0.189860347507158
"GSC",0.140498003275529,0.140498003275529,0.131761548554947,0.0572482546652993,0.0655132512611623,-0.0336290770848297,-0.0374742543640874,-0.0029952556576365,-0.128067208333699,-0.149759815315044,-0.124059468224955,-0.123656561399615,-0.134150832743404,-0.0568538955776884,-0.163032540425986
"miR34a",0.160806897794639,0.160806897794639,0.153059566386727,0.0282473541845752,-0.186353247883545,0.169487605192805,-0.15462646095788,-0.142551066617211,-0.137186463113817,-0.141866356041129,-0.0925667178746522,-0.0921076321770826,-0.113258923998407,-0.0278681457291367,-0.154369678679322
"FOXC2",-0.187814528181195,-0.187814528181195,-0.181602184196803,-0.100208045178333,-0.196759735991909,0.132201438280061,-0.12397724967422,-0.102540521728257,-0.0934554151111277,-0.0831412515183127,0.199562764136755,0.198993569019232,0.189265886595396,0.0995770605101538,-0.0261610413898579
"ZEB1",-0.188046616571566,-0.188046616571566,-0.181815307420776,-0.0995770605101538,-0.196595996390694,0.131635385993488,-0.123140879520686,-0.102406325370422,-0.0929565231016949,-0.0828908017669988,0.0996895856292383,0.199562764136755,0.189932150370195,0.099518195579576,-0.0260878898002176
"SNAI2",-0.0382867129823166,-0.0382867129823166,-0.0432006601991293,-0.00952054452386793,0.0763207876199109,-0.00689273357067387,0.0629553049871524,-0.0358887568675774,0.0141065855257995,-0.0352050845601382,0.0310542372326993,0.0308964889801547,0.0056209557661281,0.0093674313655455,0.0449907441510683
"TWIST1",-0.015857691937946,-0.015857691937946,-0.0270659715230457,0.0116445102982039,0.125190913710332,0.0492246966637899,-0.0597408688146204,0.0437942503688657,-0.0523512691298087,-0.148395471914116,-0.0879963673769175,-0.0875594800886523,-0.102318492096139,-0.011227442604909,0.123107264108593
"TGFbeta",-0.0540955092306825,-0.0540955092306825,-0.140515957958709,-0.00728026041190687,0.0746846893093599,-0.0475701475636748,0.0713228370606763,0.113975152330007,0.139415040223341,0.162997237556526,-0.0355231406824107,-0.0357506209230063,0.115775994019372,-0.0929246179516474,0.15528365849825
"SNAI1",0.0413507280485692,0.0413507280485692,-0.00293645842731868,0.0514198238071442,0.0387733252467029,-0.154326016741143,0.163428062830768,0.0963948675031016,0.159415055492837,0.0204651112978571,-0.207478334105586,-0.20762610395559,0.00588284353336154,-0.0514091181454352,0.157293985007714
"miR200a",-0.211589706586577,-0.211589706586577,-0.138324617487395,-0.00205755196473545,-0.12415851060033,0.0739992961698721,-0.100845690747434,-0.134418155895603,-0.152448968598863,-0.168115853914056,0.230795100217562,0.230334125691496,0.108809003803663,0.00164544928547079,0.189860347507158
"ZEB2",-0.30286587904525,-0.30286587904525,-0.29932843207982,-0.102349192118548,-0.017055772815803,-0.00171983709857274,-0.00107404987140857,0.0377289505470548,0.0467306948672433,0.0556914031250088,0.0756859404487008,0.0757610906246318,0.0792499945950894,0.102536942664039,0.228356571974679
"TWIST2",-0.145350579334536,-0.145350579334536,-0.141292550736327,-0.02695824801168,0.0914200334634334,-0.0950837480277726,0.195990687717767,0.124815823943756,0.093309874872109,0.0535906743816763,0.0542972547974224,0.0539208222870222,0.0573828037940038,0.0267313186879973,0.242638180681398
