"","miR200a","GSC","TGFbeta","miR34a","SNAI1","TWIST2","miR101","FOXC2","TWIST1","miR141","ZEB1","ZEB2","SNAI2","miR200c","miR200b"
"miR141",0.09231644365241,-0.0545592165782648,-0.0545747450850197,-0.125936601419299,-0.124271727139726,-0.057735610175039,-0.0452772042878196,-0.0213011545255017,0.0123906087887735,0.0228810301668583,0.0222747283303654,-0.208328458719066,0.214643577842857,-0.115305301483592,-0.10714076517872
"TWIST2",0.146039398607807,0.0381520887002657,0.0381175682794561,0.0384364989931491,0.00309147805412437,-0.10215256138981,-0.03337035852945,-0.0424499946307071,0.0994546520659809,-0.090190556163639,-0.089802689955493,-0.199349576189875,0.0800509895753892,-0.0532751129666204,-0.1334094689861
"miR200c",0.10447445031644,-0.061695314972255,-0.0617060654769315,0.0248561022244422,-0.064077639817249,-0.0833675554952197,-0.0283665093588937,0.0246527905932045,-0.0547332241466974,-0.0194053645121417,-0.0190758325216204,-0.187934021883072,0.121288383887712,-0.0845066428541823,-0.140183895398695
"GSC",0.113283890850963,0.00557555619259785,0.00557113937081661,0.109137644237862,0.108719923208623,0.0279414190778855,-0.0229646503176143,-0.0629095072977104,0.00315230506271305,-0.108920162973766,-0.108820910316792,-0.119908608174705,-0.158292925896356,-0.00322146916483575,-0.0775787111763495
"TWIST1",0.080451239052825,-0.0135760189958264,-0.0135706719741175,0.0670708581495168,0.0183869996405608,0.123990455226608,0.10208507164773,-0.00547289924597803,-0.00771741843459033,-0.0827011780311357,-0.0825111255787331,-0.0811449844010173,-0.221770140524773,-0.00255611118109001,0.01291158012739
"SNAI2",0.00126092226386234,0.204515109638496,0.204497146642268,-0.0252734935417542,0.0016946641308791,-0.18119554066378,-0.192990877032066,0.0254570709002643,-0.113504371083461,0.0431764923433527,0.0431748177334531,-0.0456821216663871,0.0854615841573313,-0.0443293705871047,-0.196965135451986
"ZEB1",-0.00501280089112208,0.00832412880935242,0.00830621339569831,-0.0431044491234529,-0.0910333271094092,0.00536072572646985,-0.0208240457690489,-0.106894080580845,0.0843733233646332,0.0260979287256002,-0.0733471645859445,-0.0264216362630472,0.131451713043653,-0.0283326997503442,-0.00559270877821701
"TGFbeta",0.0407340920908484,-0.0167736137513589,-0.116757481596748,0.148488238381762,0.107889161831483,0.140914680013888,0.0654287293002064,-0.000343009179996684,0.035152692664797,-0.0917657069011813,-0.0920910820866954,0.00998669532030586,-0.236951493277268,0.0497127247408332,0.115791383233251
"FOXC2",0.00562224995611262,-0.00832966376258206,-0.00832412880935242,0.0439318696455709,0.0909216241686823,-0.00469520347637081,0.0207754600864201,0.106852436407174,-0.084815404731501,-0.0271775840048049,-0.0260979287256002,0.0264681334273125,-0.131467342338341,0.0288935317959053,0.00513324832133986
"ZEB2",-0.209173102074374,-0.0593578248093036,-0.0593426017921016,-0.0572435315517038,-0.0506295879706035,-0.0162744041885583,-0.0147545863906637,-0.00641438095857887,0.0027836410025734,0.0443578938812948,0.0445325807140882,0.0792893538316291,0.0797285819619037,0.169356205390243,0.19696632672507
"SNAI1",-0.0312555866936558,-0.0258982688553747,-0.0258843911457519,0.0786117076455714,-0.0875943617630261,0.0100278672310129,-0.00521292069191267,0.0921422099771573,-0.00828359907240124,-0.0544748570483854,-0.0541499488635433,0.107403632821892,-0.100185473587527,0.0752506771374738,0.0551421442148152
"miR34a",-0.146705726036035,-0.0454042395748909,-0.0453830039013864,-0.00631010458153528,0.0716227441320866,0.0512191222583618,0.0615574415796231,0.114987504751182,-0.033519579437564,0.0919956994455939,0.0917182663621705,0.128367564280566,-0.177305069229897,-0.0418854161464071,0.165456812086346
"miR200b",-0.115346526126195,-0.105004320721573,-0.104964902204426,-0.150018186080213,-0.141998594442404,-0.0637218696994697,-0.0511057545305358,-0.0239990172354936,0.0134441039042673,0.0464645995978497,0.0456907548111198,0.181250386809954,0.242370657695881,0.0675076824936245,0.0607524073165494
"miR200a",-0.103188519462166,-0.112140419115563,-0.112096222596337,0.000774517563527574,-0.0818045071199271,-0.0893538150196504,-0.03419505960161,0.0219549278832127,-0.0536797290312036,0.00417820491884963,0.00434019395913399,0.201644823645949,0.149015463740735,0.0983063411230346,0.0277092770965748
"miR101",-0.0563729203138187,-0.0363023560127143,-0.0362583721284095,0.0663776246365597,0.0156818735394235,-0.00841914688665765,0.00228719107859185,0.107031739274616,-0.0216630001692461,-0.0945388863598819,-0.0945630955546022,0.207367548651862,-0.120093945745541,0.150331240379753,0.0686599908840977
