"","miR200a","miR200c","TGFbeta","FOXC2","SNAI1","miR101","TWIST2","TWIST1","SNAI2","miR34a","miR141","ZEB1","GSC","miR200b","ZEB2"
"miR200a",0.347088277645628,0.0411116914825439,0.300742256984836,0.138657340117415,0.122951475423324,0.106533856751727,0.0799199200756095,0.0321445862117477,-0.0904679555663966,-0.282835123341783,-0.298663004490318,-0.300940107570886,-0.295879445369513,-0.252309675688661,-0.405885682733817
"TWIST2",0.208761054074717,0.0533920080511851,0.128544824412435,-0.163803200711701,-0.134496800879706,-0.138920043011254,0.13249288308033,0.282460190055743,0.138721090605626,-0.0253783614027564,-0.153520185022796,-0.154309549924862,-0.126647333084984,-0.194548235966086,-0.277189647439287
"FOXC2",0.40578765032456,-0.20418171845271,0.332951034196366,0.18408981270631,0.170868439258527,0.0570307278190866,0.250261936057403,0.0455468560858058,0.0541265808985841,-0.374474891879753,-0.384312398294305,-0.387562043214799,-0.326862585643756,-0.36463259007854,-0.234849654369343
"miR200c",-0.022879958565065,0.224906249509461,-0.193536742978807,-0.110360828861332,-0.0995781439814167,-0.0873871562915434,-0.0702267601310615,-0.0280639755537112,0.074339677583418,0.236395852496304,0.244336674167185,0.245196604558181,0.191361557532601,-0.0124438686359779,-0.201157570297895
"SNAI2",0.102910140827085,0.0540389572800477,0.0517738157628595,-0.0869520341407246,-0.0722870723540249,-0.0805484673300238,0.0925384305022792,0.147110210882727,-0.0158910304081841,-0.00624140201377312,-0.0484421936232768,-0.0480158379428325,-0.0529106168098456,-0.100584466935309,-0.163771476111921
"TWIST1",-0.0427240733682734,0.170689080238887,-0.0783576330719876,-0.294431759533061,-0.0997806146778608,-0.117178687907789,0.0162774710366606,0.126077687203615,0.101181978640775,0.173622967868159,0.199927642709309,0.200371789845688,0.0781611300241853,-0.00227831114832585,-0.131367885184138
"SNAI1",0.031319587582345,0.0420883785950299,-0.00580103547724819,0.158106120281089,-0.0329619318689476,0.128438139708532,0.0166481089956942,-0.0401187257797249,-0.0809249267572504,-0.0772617931601014,0.0245109700133865,0.0245233356912112,0.00695685043583314,0.00235323738672485,-0.0665101483630582
"TGFbeta",-0.012455834693213,0.081770783350198,-0.138148303467656,0.0683233918379382,0.0295017782658108,0.0622117642031989,-0.0832686665409085,0.00563979505046606,-0.0911509681034151,-0.0161932848152105,0.0952086070522509,0.0954473828634141,0.0363786061068764,0.106640094994844,-0.0637678996231905
"miR101",0.0327044608505602,-0.146150866392891,0.0762164889191425,0.183593914575905,0.0988401039531734,0.13199574610243,0.0802051780108722,-0.0247632975353631,-0.0644149161460079,-0.142900332372077,-0.171634824901764,-0.172500559343947,-0.0755796022744092,-0.0097902455267949,0.115013878852753
"GSC",0.00349225948315334,-0.164556758911965,0.0639640081612937,0.107412715853961,0.182012999151668,0.175156112915692,0.0396867207120015,-0.229319269515565,-0.0774562618040195,-0.164704679018066,-0.160380027904684,-0.161196159900891,-0.0630320587654518,0.0155892723795648,0.170911506692568
"miR141",0.0317346192126402,-0.245879711450554,0.0311814420876862,-0.0250035030236389,0.00178616314225426,-0.0595000399299203,0.143259150400028,0.00775201963655382,0.118515878062713,-0.174785184446432,-0.273233926935194,-0.273773581852256,-0.0307884514167352,-0.0584928794006171,0.212915534279511
"miR34a",-0.26384586656179,0.0748199006085407,-0.191112485016975,-0.067721479186858,-0.0371874088464901,0.023055048809714,-0.271068277347934,-0.118707272763524,-0.105053880296211,0.151744737990629,0.222080701947816,0.223431065017131,0.189224937009185,0.215009354959997,0.223121244577482
"ZEB1",-0.410101253250842,0.203390534338899,-0.335671617726982,-0.186293869157301,-0.170967208174538,-0.0580083665549108,-0.251511110756994,-0.0452033469156045,-0.0527776110846805,0.377670421272207,0.387562043214799,0.288777624713899,0.332951034196366,0.368262143165598,0.238951770434557
"miR200b",-0.347088277645628,-0.0411116914825439,-0.300742256984836,-0.138657340117415,-0.122951475423324,-0.106533856751727,-0.0799199200756095,-0.0321445862117477,0.0904679555663966,0.282835123341783,0.298663004490318,0.300940107570886,0.295879445369513,0.252309675688661,0.405885682733817
"ZEB2",-0.446946498302148,-0.327142010561745,-0.178140710943723,-0.0689506386727291,-0.0614992221536673,-0.0535415772435801,-0.0263619396175204,-0.0096506563723622,0.0475820881659729,0.1162808168767,0.123737764685631,0.125197469758516,0.175075810147052,0.406043134493938,0.465470777259848
