"","miR141","ZEB1","miR34a","miR200c","TWIST2","GSC","SNAI2","TWIST1","SNAI1","FOXC2","miR101","TGFbeta","ZEB2","miR200b","miR200a"
"FOXC2",0.161251038634181,0.163293947189194,0.190526611521374,-0.108143057917512,0.197581130639791,0.0140560026147362,0.101923046064857,0.00518590166735472,0.119842157808963,0.107931042406251,-0.111696998546187,-0.0149692698976277,-0.163092581911129,0.113586264947864,-0.244171883938702
"ZEB1",0.163293947189194,0.0640659040999627,0.191545032632908,-0.110219120401958,0.196831097627774,0.0149692698976277,0.102701816093259,0.00564291821553562,0.12009025591942,0.107405091916546,-0.110354374682322,-0.015051168931475,-0.162433625283802,0.115510832243136,-0.244310210934459
"miR200b",-0.16353798609568,-0.164654321996154,-0.176019495990829,0.157459681746917,-0.0529305768046136,0.110684440892521,0.0606137349303155,0.0878025956220971,-0.0908634345902679,-0.1364467809751,0.0135736572576692,-0.110487348306786,-0.150925892869234,-0.15938449264058,0.00396862309228604
"miR101",-0.1643721191457,-0.165233761893,-0.131049631544319,0.155741515994202,-0.0962843253433703,0.0180805359185719,0.0266535156703134,0.0400499312782877,-0.0944690149062058,-0.176831035808826,0.0871624951721472,-0.017135762083705,-0.14637851882689,-0.154563397838438,0.00473414182291204
"miR141",-0.113845623067682,-0.115654346408914,-0.0540256740426858,0.127252939110316,-0.086613911970591,-0.0680605858724438,-0.107221725771225,-0.0758863781548022,0.0134124601801743,0.0795440086369116,0.0491300392853218,0.0689934907782574,-0.145109604894528,-0.0741940535551368,-0.0184317668071447
"TWIST2",-0.11370802289089,-0.114585339314078,-0.0358235165029414,0.0708954392309323,0.0632631077537464,0.0011621590055304,0.0448520259939528,0.0532364952733213,0.0403541931270073,-0.0154801789829928,-0.0474133461574763,-0.00163356081756953,-0.0265476111291329,-0.0511254176434157,0.0406240101002031
"GSC",-0.137053601022686,-0.137819123990832,-0.0514115644789031,0.0868143275928325,-0.0513397956606883,0.0107166032161047,-0.0602088326908495,0.0619173003625935,0.0263031431670245,-0.127095005658241,-0.0373614598003008,-0.0110756277294656,-0.0209757046874776,-0.0732182344613226,0.0550522648106744
"TGFbeta",0.113743981831968,0.113654558564975,0.124650668495883,-0.0856841281491069,-0.027797757067713,-0.0107936999077608,-0.0637672373463161,-0.0750725499800014,0.0402525992954802,0.12459531650216,0.00846129057227489,-0.089767699072687,0.0500645996725972,0.144721571609577,-0.0299029231761625
"SNAI2",0.0367558978043969,0.0367167119327457,0.0455176595950518,-0.0466955899937226,0.0963038593675837,-0.00851400550899795,-0.0417835526741643,0.0253652292864725,0.081345332670066,0.0547704755019515,-0.063180384731572,0.00937024166252169,0.0558882667351975,0.0285354968535757,0.0105825224041888
"miR34a",-0.108707801981697,-0.109440074337944,0.00547871758406854,0.0798755028691656,0.190750649496058,-0.0224091737911173,0.073727126294579,0.00808120578354899,0.126680348050695,0.122494079777834,-0.0978656888464474,0.0224000727881867,0.0590387556926136,-0.0713164076994687,0.132350715763483
"SNAI1",0.123692699983815,0.12425224690538,0.146432500700052,-0.103754072584414,0.0668280999818918,-0.00437081577632845,-0.0348240462583589,-0.0252740800691139,-0.0215996255844616,0.161387767500458,-0.0669827588627047,0.00487715392456618,0.075693376619934,0.0813630666797141,-0.0252705338319641
"miR200c",0.113845623067682,0.115654346408914,0.0540256740426858,-0.127252939110316,0.086613911970591,0.0680605858724438,0.107221725771225,0.0758863781548022,-0.0134124601801743,-0.0795440086369116,-0.0491300392853218,-0.0689934907782574,0.145109604894528,0.0741940535551368,0.0184317668071447
"ZEB2",-0.177683800136677,-0.176856152834867,-0.150092608231924,-0.143194472255573,-0.10734735417868,-0.0686242447821988,-0.066156271462871,-0.0411110968578959,-0.00934978645283757,0.0256925410526224,0.0368140864727814,0.0683857508460339,0.145776438744719,0.15699155661237,0.298083276616582
"TWIST1",-0.226982527430381,-0.226764472706683,-0.19516872934876,0.0509367480124246,-0.196409733971054,-0.0119448667556007,-0.0832168761828318,0.0407993093313904,-0.0958711744760778,-0.263073024088408,0.0935934896216028,0.0126480001103221,0.153364692635972,-0.0182219660926988,0.199167691103373
"miR200a",-0.197413957902008,-0.198068393624756,-0.115436349460393,-0.0374727209533081,-0.124969032058576,-0.122961649297928,-0.128867371708023,-0.0921513165594507,0.00824549401234866,0.089680276791528,0.0627964892462729,0.123552927055134,0.275802004860418,0.0678281820919455,0.234938346146477
