"","miR141","ZEB2","miR200b","TWIST1","SNAI1","miR200c","GSC","TGFbeta","miR101","SNAI2","FOXC2","miR200a","TWIST2","ZEB1","miR34a"
"ZEB2",-0.105920093778031,-0.0712045545096324,-0.0641181196616498,-0.0427892544881696,-0.0384556118669242,-0.0297889825544638,-0.0217240993956808,-0.0215718692236607,-0.0104618323184191,0.0176925351355115,0.0228457291342662,0.0297889825544638,0.0452070226638564,0.105951447824943,0.117442661136605
"TGFbeta",-0.0143556136300405,-0.0579760628716238,-0.055100669899834,-0.0820131493986847,-0.0354681778667101,-0.0399375984490563,-0.000396549072225573,-0.100514313800883,-0.0212978203148093,-0.00749984726933864,0.0265055382247347,0.0399375984490563,0.0667707359118722,0.0142461093487055,0.0729262992408281
"FOXC2",0.193514177431932,-0.0544711187160738,0.201234694711735,0.0797008115684778,0.0991171995318443,0.174132740962122,0.0869337453280254,0.0870444443926183,-0.0158364857282731,-0.129112176860786,-0.12783662766548,-0.174132740962122,-0.0884415716172195,-0.193440491760058,-0.208893802209984
"miR200b",0.219635472012089,-0.0390308080340832,0.0942757815662097,-0.0458333286692672,-0.00961673968959583,0.0908718829637669,0.139255645864264,0.139381068418823,-0.0483646184417106,-0.0859688692146426,-0.027375078619843,-0.0908718829637669,-0.0227646693636566,-0.21949940121825,-0.133835417852803
"miR141",0.232726833913709,-0.0342355604076476,0.147011268039175,0.125302609190702,0.0904289807023552,0.101251983283606,-0.0351474850360278,-0.0351319565292729,0.0383088343857736,-0.0123134134876333,-0.0467049049257505,-0.101251983283606,-0.0839420226528384,-0.232761083025083,-0.226293797977512
"SNAI2",0.0457909252221039,-0.0310222173167884,0.0371886729725241,0.0764196138907846,0.00797212466443977,0.00788243378789737,0.0105401945409336,0.0105769759141619,0.0257460086340911,-0.0511454535510247,-0.0403108817479442,-0.00788243378789737,-0.0836969377797481,-0.0458997748655795,-0.0298372634183083
"miR34a",0.1534317484056,-0.0204052036923268,0.120633164697849,-0.0787333619156095,-0.108386639437763,0.122075459389379,0.0699300503517808,0.069874837600669,-0.013358541866205,0.0870707096547682,0.144478639667632,-0.122075459389379,-0.00664273630424048,-0.153368523859378,-0.0307595469493275
"TWIST1",0.0505081526575217,-0.0141753597272842,-0.0151176847434438,0.0317764276052548,0.0318232178950122,0.00510871499780974,-0.00762898924561018,-0.00747526237147907,-0.0313547973726951,-0.129187731464713,-0.210497398627608,-0.00510871499780974,0.0895766082240882,-0.050485076711732,-0.0466647401485114
"miR200a",0.175306601759815,-0.00515694630124886,0.0747119050514724,0.108284490422638,0.0770757268625623,0.0852955942474107,-0.0438733764972635,-0.0439032390102537,0.0358231779202885,-0.00524980968374938,-0.0368498259235361,-0.0852955942474107,-0.0672648402893844,-0.175378802589199,-0.176614042203382
"GSC",-0.196551685105702,-0.0041327072496746,-0.0678045177080853,-0.0873383894972748,0.0170935390467519,-0.113644127658841,-0.058511665319763,-0.0583722199463838,0.0767878575228014,0.0365527257556109,-0.0501886232708129,0.113644127658841,0.0236011394943356,0.19659787198568,0.0940108038402889
"miR101",-0.0944579061377642,0.0294166632888586,-0.0458645419040528,-0.0384654196494678,-0.0518027689203339,-0.0339639234874626,-0.0145774657420856,-0.0147234922379775,-0.0138462296848295,0.1241788619497,0.139349116726758,0.0339639234874626,0.00999806417813073,0.0943880063501914,0.0755742227476114
"miR200c",-0.232726833913709,0.0342355604076476,-0.147011268039175,-0.125302609190702,-0.0904289807023552,-0.101251983283606,0.0351474850360278,0.0351319565292729,-0.0383088343857736,0.0123134134876333,0.0467049049257505,0.101251983283606,0.0839420226528384,0.232761083025083,0.226293797977512
"ZEB1",-0.193440491760058,0.0545294622916169,-0.201224545986784,-0.0795663949366599,-0.0991242544544166,-0.174168046178612,-0.0870444443926183,-0.0870111729101178,0.0156528081476031,0.129325058633256,0.127828915781466,0.174168046178612,0.0887479231291698,0.0934540260695323,0.208825907469215
"SNAI1",-0.153107015319604,0.0827651819214785,-0.117101948327308,0.00909378552818276,-0.0757458992378971,-0.0366912372509503,-0.0410196098649285,-0.0410818613052365,0.0208980776569669,-0.0859487085611852,-0.105175121489521,0.0366912372509503,0.0339856627995177,0.153079192544499,0.0214561184285104
"TWIST2",-0.128992303391841,0.088675924326755,-0.0712419694282626,-0.241164886651414,-0.127832618507376,-0.0211351834376389,-0.0205425996961308,-0.0205578792266531,-0.0497529220225375,0.00636703138812493,0.167320667074134,0.0211351834376389,0.0865716720068699,0.128930737327056,0.124931934426221
