"","miR34a","miR141","TGFbeta","ZEB2","miR200c","miR200a","GSC","TWIST1","miR101","TWIST2","miR200b","SNAI2","ZEB1","SNAI1","FOXC2"
"SNAI2",0.0461642333548921,0.0656032085942466,0.280834804023175,-0.134649163532516,0.0995821930074695,0.0995821930074695,0.278608247871704,0.142106859603217,0.167121878553713,-0.175054173571454,-0.257371365464055,0.0255575913503154,-0.0662807557596344,-0.0137580344491646,-0.0794278179522194
"miR34a",-0.0324328322561703,0.0530073954386206,0.0986847742305525,-0.122878365922873,0.122434020004645,0.122434020004645,0.0991659139188128,0.124434870644847,-0.0627283777136561,-0.122355252538879,-0.0845981915417398,-0.00662394361494619,-0.0527917714265041,0.107509204732546,0.0429611492773448
"GSC",0.0965663020555403,0.126425405682645,0.119241975066519,-0.118622181180041,0.12328672116446,0.12328672116446,0.12109388534194,0.107646768376331,0.0584023999232984,-0.0350853131149026,-0.115249227058587,-0.0220109005722422,-0.126089813778124,-0.0424605338516729,-0.174604915050459
"FOXC2",0.327548493161043,0.363322156772519,0.328492633581212,-0.109765841170255,0.340369652093555,0.340369652093555,0.327258339011001,0.142752524204288,-0.0259695009855134,-0.200372900105128,-0.304821938636044,0.00306212083006912,-0.364288613773192,0.0467143552261111,-0.0122173290746337
"miR101",0.218423034562672,0.305171185211224,0.209027722868469,-0.0857679252130234,0.196876445975339,0.196876445975339,0.20997601541408,0.0637043435320249,0.119517180739516,-0.157912236438255,-0.198878985053098,0.108109616781136,-0.305404070844942,-0.0344333675895472,-0.0901445477745856
"miR200a",0.297468117125019,0.325104734598947,0.293366713091921,-0.0682779625741133,0.199744728177446,0.199744728177446,0.294447736062166,0.0515328057355149,-0.00586601101433807,-0.0768609741708213,-0.146367742730768,-0.109216037203854,-0.325302824053924,-0.0996413835096517,-0.146444010326115
"ZEB2",-0.0992130872237636,-0.0781886214851386,-0.0601223597833849,-0.0599042938797562,-0.0590211206921151,-0.0590211206921151,-0.053315133924553,-0.00764334029755563,-0.00144331220995926,0.00511385745858769,0.046692017348779,0.0799132017592915,0.0800614036840029,0.0824365998190043,0.0947999815836355
"TWIST1",-0.212828237368286,-0.286420246614529,-0.166482978231223,-0.0360977293595672,-0.136314871734579,-0.136314871734579,-0.165206376798221,-0.063332401300612,-0.137866954297709,0.248677646738564,0.165398235328746,-0.202013591296312,0.287114858510827,0.00796847127759659,-0.0335135093343462
"SNAI1",-0.158053947743883,-0.17175320284607,-0.0950589363673143,-0.0246775385369798,-0.0723493809419654,-0.0723493809419654,-0.0933337388082051,-0.0480800101505279,-0.126347694097958,0.147568189292108,0.0981823726172426,-0.132151155179478,0.172316150329036,-0.0820823382336428,0.0621448604541552
"miR141",0.25719145022522,0.285788717989729,0.24419369383759,-0.0194838409725758,0.153875575230141,0.153875575230141,0.24239597055558,0.0481509302013551,-0.00644455731776754,-0.0744668035446117,-0.077828866517556,-0.0827952031254664,-0.286506098025275,-0.0707695071946001,-0.109498804904524
"TGFbeta",0.166921092990438,0.127849738215876,-0.0307209972548606,-0.000895099424790081,0.0658623130218114,0.0658623130218114,0.0679287414042347,-0.00158655805859252,0.0111176399903475,0.0251781710917303,0.0467207904010224,-0.0721763662613584,-0.128326976072353,-0.0927887001944591,-0.0994930808061735
"miR200c",-0.116488893741929,-0.229796343003266,-0.0367176608879391,0.0215452629257388,-0.124910458902938,-0.124910458902938,-0.034571143454204,-0.06597995729499,0.0164911019711095,0.103025180525472,0.11401380503728,-0.0926269224597518,0.230435968299474,-0.123802426777409,-0.088129827354829
"miR200b",-0.297468117125019,-0.325104734598947,-0.293366713091921,0.0682779625741133,-0.199744728177446,-0.199744728177446,-0.294447736062166,-0.0515328057355149,0.00586601101433807,0.0768609741708213,0.146367742730768,0.109216037203854,0.325302824053924,0.0996413835096517,0.146444010326115
"TWIST2",0.225008379709345,0.293401364473651,0.151128701831747,0.0716943759998468,0.11238891708635,0.11238891708635,0.149893323493594,-0.0910138588890279,0.171089049357666,-0.265569408909159,-0.156266840887999,0.223017242712828,-0.294098820036145,-0.0970047868377232,-0.0110575899526009
"ZEB1",-0.328689274025171,-0.364288613773192,-0.331666221142796,0.110996979462299,-0.340726755676745,-0.340726755676745,-0.328492633581212,-0.143364866638125,0.0260488971010288,0.200378182027748,0.304787802015754,-0.00293439176658723,0.265429505934822,-0.047080035379438,0.0146743353212597
