"","miR200b","TGFbeta","GSC","SNAI2","TWIST2","miR141","FOXC2","miR101","miR34a","ZEB1","TWIST1","SNAI1","ZEB2","miR200a","miR200c"
"TWIST2",0.162277410574805,0.0583059039130204,0.0579680565159167,0.181888851016114,0.103511934564803,-0.000825600330070827,0.0457298937073222,0.0357942039578559,0.125730899959547,0.000833955724577375,-0.348688498593298,-0.287945561289477,-0.316161731054071,-0.152909743515217,-0.15209626209284
"miR101",0.0924908375334491,0.0144117179457937,0.0143290282433007,0.0771378648542439,-0.0660612914755154,-0.112295967859246,0.0985256534094295,0.118372816245228,0.145947698118885,0.112352910613025,-0.18781973717095,-0.213545247042845,-0.314975244554751,-0.20839867102866,-0.0945717836217665
"miR200b",0.184211785534109,0.159593914373241,0.159165088686702,0.169513284318787,0.0837293974660366,0.00156772714453528,0.0644155869792543,0.0457599993567731,0.0406128406416035,-0.00155847062794761,-0.124719631081585,-0.264638932290171,-0.302171378199991,-0.146217469530968,-0.147663088730387
"TGFbeta",0.174218372202508,0.123423714859289,0.223141402153605,0.132581757270936,0.0575336368290785,-0.0194721292097481,0.0500421972384295,0.0604227449212394,0.18170536986908,0.0194404388589893,-0.120612957066071,-0.256182270220075,-0.221880161132135,-0.114662082503174,-0.092822762408995
"miR200c",0.0703517781099993,-0.0787861637822683,-0.0789139753378663,-0.0569578165097841,0.030538344998765,0.015016777283106,-0.015049197185784,-0.0285410107857973,-0.1114801196666,-0.0150278851030112,0.00965342121524066,0.113016180611669,-0.177446592638474,-0.081270654763289,-0.0972056536172451
"GSC",0.120515619595429,0.0463921760688322,0.0462653501862566,0.0260210189751559,0.000651007220631086,0.0788136437224591,-0.00679901369389698,0.112614828742658,0.0310974393254357,-0.0788008686279971,-0.0274081368924424,-0.156660104008165,-0.174663365340847,-0.0448346211767862,-0.120269393728148
"SNAI2",0.0669549721609735,0.0273081525816056,0.0272713712083773,0.0162078191197079,0.111590891596573,0.034795605173464,-0.00643236280721149,-0.0256480940882565,0.00129237794806835,-0.0347356541390574,-0.12514500518562,-0.0694797605391154,-0.068404301863674,-0.0151770697298198,-0.0508602252236682
"FOXC2",-0.0127394372523941,-0.00441388049266415,-0.0041260629247226,-0.12661154133685,-0.0987803356385751,0.0015625496411552,-0.101420907253836,-0.013797714530225,-0.035616554711816,-0.00156148173286716,0.121634587918827,0.159431325367762,-0.00427718806049319,0.00107300482386602,-0.000214558940338168
"ZEB1",-0.0128040200475375,-0.00452649166420424,-0.00441388049266415,-0.126684298398327,-0.0988595644778726,0.00156148173286716,-0.101530416006825,-0.0138225998798641,-0.0356456524578599,-0.101511855931461,0.12169432864408,0.159531270104202,-0.00421765984382233,0.0011418789347244,-0.000144527281398135
"miR200a",-0.0703517781099993,0.0787861637822683,0.0789139753378663,0.0569578165097841,-0.030538344998765,-0.015016777283106,0.015049197185784,0.0285410107857973,0.1114801196666,0.0150278851030112,-0.00965342121524066,-0.113016180611669,0.177446592638474,0.081270654763289,0.0972056536172451
"miR34a",-0.168909382204001,-0.0755201974353711,-0.0751980219316306,-0.191468203511887,-0.216035393342631,-0.0404150838010509,-0.121390911309425,-0.0372031599947432,-0.110283454816961,0.0404169711009381,0.262427510123602,0.301864168743831,0.220216155239072,0.0283040370264577,0.158875917894274
"ZEB2",-0.290767688358958,-0.0990491206254862,-0.0987548089595807,-0.0666124085476548,-0.0407380540970925,-0.0341487518657742,-0.018976001138288,-0.0143478561365285,0.00577333738586562,0.0341751290798427,0.0380074842531418,0.0968657274206863,0.237388141307687,0.257624707604355,0.286940992595819
"SNAI1",-0.0680977005513088,-0.00312640174837035,-0.00305780621223478,-0.0951607718142177,0.0588607967610276,0.155648972090912,-0.111559897455316,-0.126420613984158,-0.251491671667804,-0.155673703446561,0.212978220479332,0.148321486170469,0.288507380305394,0.212968677884705,0.0452952571247746
"TWIST1",-0.112380984432827,-0.030405542314826,-0.0302130495333053,-0.119498150875675,-0.0558542119083335,0.0754259910543772,0.00469496852345145,-0.0381218048345106,-0.114707066904366,-0.0754070635932239,0.198069045926143,0.230230790880779,0.300963729158243,0.169897903389947,0.100172107457762
"miR141",-0.184211785534109,-0.159593914373241,-0.159165088686702,-0.169513284318787,-0.0837293974660366,-0.00156772714453528,-0.0644155869792543,-0.0457599993567731,-0.0406128406416035,0.00155847062794761,0.124719631081585,0.264638932290171,0.302171378199991,0.146217469530968,0.147663088730387
