"","ZEB2","TWIST2","ZEB1","miR101","TGFbeta","miR200b","SNAI1","miR200c","FOXC2","TWIST1","GSC","miR200a","miR141","miR34a","SNAI2"
"miR34a",-0.144846304002983,-0.1156130322729,-0.230798177443225,-0.113372931882879,-0.0698459509845197,0.127415381572666,0.302916031490733,-0.236866079369991,-0.315071881354208,-0.233081639200334,0.0698866021309427,0.117215259826749,0.230801008393055,0.00730128775450192,-0.0373144228570624
"SNAI1",-0.119388779014379,0.189588719675934,-0.108078011141092,-0.0484044770588706,0.0122108233773678,0.146061825516472,0.133033884009304,-0.113022473645683,-0.237935976272253,-0.16110079843349,-0.0122905210812016,-0.00402633983454232,0.108083884838058,-0.109038945196265,-0.233742770713044
"ZEB2",-0.0780321409666171,-0.0569040756343675,-0.0526192272252075,-0.0240807421099927,-0.0227653142503891,-0.0116351904668314,-0.0107391490800141,-0.0105576615094993,-0.00940794393278078,0.0064985543666144,0.0218544703878022,0.0378390111302039,0.0523649110669243,0.0533751969466945,0.0591826656893355
"miR200b",-0.0643506330876871,0.0327239159604855,-0.216922834630081,0.00522621165025158,0.0674571292265926,0.179116376007138,0.146572743602655,-0.140630576589446,-0.0747197579656909,-0.116463924871809,-0.0679647919474259,0.0773543215972901,0.216879329002119,0.100461394589438,-0.155745446434376
"TGFbeta",-0.0641978217263542,0.22858296448068,0.0279426210287424,0.0905034542188598,0.132807838880213,0.153744047479944,0.0544133629214944,-0.0184428371384989,0.0118648345204964,-0.00725777711142008,-0.232541658329139,-0.0497876997804317,-0.0278776714979792,-0.104174559919195,-0.238792916518443
"SNAI2",-0.0462634547584815,-0.0906531368764647,0.0484301082590974,-0.22767481625301,-0.172328795852331,-0.174940788321681,0.182673512015678,0.00126901056761515,-0.195047538898025,-0.211760427320585,0.17219450107101,-0.0473754054827283,-0.0483420237783772,-0.100519733172391,-0.0143780010156261
"TWIST1",-0.034805709129029,-0.227531247483882,-0.0597269562503442,-0.0843609344615779,-0.0318093162370314,-0.0371242361149721,-0.151448607705492,-0.0517304885824244,0.246461446149935,0.0328382042317792,0.0316221704772196,0.000591235005060602,0.0597313640152703,0.0806451664201276,0.255833904740652
"miR200c",-0.0233064792422897,0.011477952455883,-0.243711083725621,-0.00409589771665195,0.0490017400558005,0.13213434686164,0.144033945134841,-0.133548565890616,-0.0787534580590437,-0.114215789044313,-0.0488954295095554,0.112781512323554,0.243679611569223,0.12260325915041,-0.135308439204311
"miR200a",-0.0126607311132729,-0.230297548584691,-0.265680753257242,-0.104051154770531,-0.192012594563797,0.0421879517953749,-0.0238019576178995,-0.139382983332182,-0.0412232035308333,0.00324631108773934,0.192615817326199,0.130715306464448,0.265604849821223,0.227402663234529,0.232529841136347
"GSC",-0.0126491976813605,-0.0339966248708573,-0.235849420914419,-0.125798643655199,-0.0702144557516973,0.0986246900847504,0.158696602260348,-0.125882878706061,-0.192265310367652,-0.03468130778932,0.0705924095012635,0.128535463473291,0.23580667348295,0.0773362489278391,-0.0030351077236582
"miR141",0.0233064792422897,-0.011477952455883,0.243711083725621,0.00409589771665195,-0.0490017400558005,-0.13213434686164,-0.144033945134841,0.133548565890616,0.0787534580590437,0.114215789044313,0.0488954295095554,-0.112781512323554,-0.243679611569223,-0.12260325915041,0.135308439204311
"FOXC2",0.0955612901809848,0.219620598823649,0.289100114014624,0.138090671937038,0.120211235797395,-0.262745239936117,-0.165132593347784,0.291395924446295,0.186382123877662,0.137303458947971,-0.120321934861988,-0.210681406988181,-0.288962353845467,-0.23156589523836,-0.11249322616444
"ZEB1",0.0957215128935169,0.21958626632662,0.189161770313341,0.13794965495575,0.120209956124991,-0.262910387369412,-0.165063219942491,0.291535408990134,0.186278784631884,0.137145146026052,-0.120211235797395,-0.210691246146876,-0.289100114014624,-0.231663633821225,-0.112549814990033
"miR101",0.101037685313069,-0.201617725179797,-0.135261344774619,0.0297264806036848,-0.0671195151762023,-0.0274376402831088,-0.191459806776689,-0.0188446957940633,0.190503656139774,0.144595195159743,0.0673728623497979,0.119948876008629,0.13520440202084,0.155605237309253,0.230653838194088
"TWIST2",0.103600684774202,-0.197393784156775,0.162431835930626,-0.0477936121569231,0.000197719133281407,-0.171522090646321,-0.209205128186957,0.132640294765314,0.210363135507218,0.206411113254201,5.52419831429569e-05,-0.0325357717221535,-0.162389619200488,0.00148609492895858,0.260319838475637
