"","ZEB1","ZEB2","TWIST2","GSC","FOXC2","SNAI2","miR101","SNAI1","TGFbeta","TWIST1","miR200b","miR200a","miR200c","miR34a","miR141"
"SNAI1",0.223334855082191,-0.0976922484091335,0.145964389748486,0.0407583190551855,-0.211520747607216,-0.059407820274136,-0.122490889082966,0.099536916763792,-0.0401147898346766,0.158067340923768,-0.0298411976552617,-0.0731092649399961,-0.17074172556261,-0.284968068173303,-0.223479842654685
"miR34a",0.0090549284741802,-0.0935347819259929,0.0686130863366426,-0.0417963449887543,-0.225485358091021,-0.136735572542328,-0.027403425220439,0.220081118755737,0.042140362899528,0.121871811891719,0.0914886124032659,0.0748019496695086,0.000380194155776872,-0.119156020201298,-0.00972539175912002
"ZEB2",-0.117604703458246,-0.0887497809294844,-0.0408506230168047,-0.0286598379362419,-0.0205234297036473,-0.0181515091135369,-0.00384281519667062,0.0268150230177637,0.0281295695037052,0.0388542376032865,0.0407317027230923,0.0439727319431696,0.059297295775266,0.108806824346601,0.117653974103393
"TGFbeta",0.143383539261061,-0.0791819960517,0.121055983149265,-0.167714268414737,-0.0280909361191551,-0.0502730525523917,0.00747392368151881,0.0311495838049729,0.0683337431517832,-0.0839770227280565,0.0631373604526926,-0.0337823030167888,-0.115423559353144,-0.154590708161799,-0.143371302392946
"FOXC2",-0.204345517782892,-0.0287472286553166,-0.0491062076987629,-0.114956205363512,-0.196891246353719,-0.163364837181093,-0.0112521629667143,0.194651215323467,0.11389349434342,0.116707970762545,0.239496997594567,0.216953924345854,0.191227046919696,0.161311795620323,0.203637494587924
"SNAI2",0.0233948225408747,-0.0250661631250871,0.0292430859442982,0.00261115468969101,-0.111291000946193,-0.108247478775481,-0.0496887173404122,0.108848946944606,-0.00252305047009766,0.138044523415196,0.00259810428008095,-0.000416547855883326,-0.0252834054740359,-0.0592220886385702,-0.0237957241508447
"miR200c",-0.201838080223832,-0.0127522831363684,0.0308854334524031,-0.168817664077653,-0.142342838932311,-0.144972972650657,-0.00282464427407941,0.151540034316581,0.16842945140878,0.0172115480348696,0.112662012153444,0.106186739451595,0.0944760773555748,0.0909462299955625,0.201519656053216
"miR200b",0.272044793776851,-0.0112492462890425,0.100496566471656,-0.035444478718244,-0.00677994365894675,-0.0154532765974077,0.00830482577473625,-0.00529184516228443,0.0364108296386066,-0.0938197636127537,-0.0746208875435406,-0.132093482614751,-0.143859217836819,-0.22468269390343,-0.272250288445097
"miR141",-0.209033613400673,-0.00967135415671196,-0.0862971702952125,0.048092067044407,0.0174169091278866,0.0245396505863239,-0.00663223091350699,-0.00847095599872713,-0.0486212307745932,0.0774344854896716,0.0880323342022089,0.109153160029428,0.100038226355946,0.17850495349567,0.208738330521526
"miR200a",0.209033613400673,0.00967135415671196,0.0862971702952125,-0.048092067044407,-0.0174169091278866,-0.0245396505863239,0.00663223091350699,0.00847095599872713,0.0486212307745932,-0.0774344854896716,-0.0880323342022089,-0.109153160029428,-0.100038226355946,-0.17850495349567,-0.208738330521526
"TWIST1",0.233256848989359,0.0219743424650084,0.156920673408796,0.0619101368239623,-0.235478870961573,-0.046629066816525,-0.0296264107142496,0.13435794436962,-0.0612591369309027,0.0494734269752409,-0.0816828497932735,-0.148338157318206,-0.108628387271337,-0.203922537045999,-0.233168952971126
"ZEB1",0.105052810770616,0.0285864136222207,0.0500622356929528,0.11389349434342,0.195242445551683,0.163181058233214,0.0110305648532608,-0.19425849130028,-0.113618364776589,-0.116346539374768,-0.239477622756024,-0.217186012736225,-0.191762412907461,-0.162276497816083,-0.204345517782892
"GSC",-0.0614839807806934,0.0624669412656843,0.0896551852056791,-0.0147735744795581,-0.17836206767391,-0.110174466389456,-0.125090740122599,0.266459052914498,0.014819635620991,0.306782863367577,0.0191033900504954,-0.00545039135174745,0.0622230987559827,-0.0770552129712023,0.0609484095128635
"TWIST2",-0.277959633616823,0.0701211607356501,-0.181311474343304,-0.0522258515937707,0.153908058811857,0.0805402537506791,0.0217698356024779,-0.145677781855781,0.0513696319759853,-0.177529479415236,0.044211939711972,0.108414427754958,0.177833343025062,0.2393675591362,0.278272741032016
"miR101",0.0214331825539441,0.117105926844499,-0.0871463936478167,0.0287614389570657,0.272314959363545,0.115682506232539,0.121782961208922,-0.260000564436888,-0.0289954332215672,-0.203863626541504,-0.0936029381541952,-0.0640434470952869,0.0513123965235575,0.105741667918313,-0.0205531271796734
