"","SNAI1","ZEB2","miR101","ZEB1","miR141","SNAI2","FOXC2","GSC","miR200a","TGFbeta","TWIST1","miR200b","miR200c","TWIST2","miR34a"
"TWIST2",-0.167744949697126,-0.151468112852122,-0.0148444940478467,0.195055919369239,0.195089340947265,0.114243695907265,-0.0934488261047737,0.0409744411473121,-0.0225843922247581,-0.0409727434216985,-0.0932308699397938,-0.0543313015005638,-0.172163918226938,-0.118265826844953,-0.0266892381825592
"miR34a",-0.18599661792582,-0.120097132703797,-0.0200740979144167,0.202954935026204,0.202984188174456,0.120953544067511,-0.118290421167592,0.0115028456281201,-0.112965776190732,-0.0116175182650447,-0.100819115232331,-0.116741934194054,-0.210604141940285,-0.0219974168845191,-0.0257250806748895
"TWIST1",-0.16284107391232,-0.113253375577055,-0.0234181669401604,0.120721169154364,0.120743207978995,0.0844176765109698,-0.162917337720001,0.0305425792901325,-0.00727462089855739,-0.030439649122236,-0.180386533954019,-0.0344563380437754,-0.118856851438179,-0.0909359293888492,-0.00212187058910363
"ZEB2",-0.0949682560089336,-0.0860901665346713,-0.0608822849554766,-0.030819347039967,-0.0307660949285456,-0.0260711556613744,-0.00868794779056595,-0.00534482841248273,0.00401654610256676,0.00607299606864551,0.00607635053318553,0.00981095763469138,0.0217075254035138,0.0384541439560792,0.0652248346804987
"GSC",-0.0517798678345464,-0.0844917356632069,-0.0839961694693387,0.0922850057751432,0.0923026943674752,-0.0116180199263294,-0.0435950633742304,0.0384076916406923,-0.00245915053697511,-0.0381521469519205,-0.176007783064537,0.000716434793959423,-0.0887353456879221,0.00352084642731963,-0.0065654691898885
"ZEB1",0.158896706858806,-0.0257277699404818,0.0131368681284278,0.0740563104395452,0.174028740549875,-0.127607372194855,0.121844663047866,0.0128914936789757,-0.176070856259564,-0.0130591307638819,0.03216255088372,-0.163080595900118,-0.19472340289787,-0.0927527594141674,-0.216719944464033
"FOXC2",0.158961376982384,-0.0256587645947887,0.0129271201814692,0.174028740549875,0.174110969488054,-0.127534615133378,0.121830781656642,0.0131239617146208,-0.176034393494992,-0.0128914936789757,0.032013199070589,-0.163001251323228,-0.194848996864729,-0.0926550438457004,-0.216726659328505
"TGFbeta",-0.103731064963179,-0.0180598211465545,-0.0511914653373791,0.00970783527529674,0.00972258227020432,0.00101881257913446,-0.00981939390090375,-0.0064363725350783,0.0024045738798547,-0.0933813341178223,0.0186335812127176,0.0681443208569288,-0.0133609415431293,0.0640105647023181,0.0949058765099536
"miR101",-0.166362555672277,-0.0058868291864557,-0.101705778356605,0.184172196934442,0.184176629603897,0.0646917890990414,-0.0577366373387578,-0.00547203126529318,-0.0887152348493652,0.00516590343053184,-0.184565855880692,-0.104172139383123,-0.0938603579206348,-0.0245695387248569,-0.0309534577122733
"miR200a",0.0603156190132501,0.00676807134892705,0.0708403377787053,-0.184526975727288,-0.184514942255724,0.0812033003218779,-0.0239411133099416,0.09058884501782,0.0887840733928515,-0.0902269113603788,-0.0299427643168712,0.0576163088343682,0.0947744502310983,0.0107558032752767,0.0975009176167221
"miR141",0.0603156190132501,0.00676807134892705,0.0708403377787053,-0.184526975727288,-0.184514942255724,0.0812033003218779,-0.0239411133099416,0.09058884501782,0.0887840733928515,-0.0902269113603788,-0.0299427643168712,0.0576163088343682,0.0947744502310983,0.0107558032752767,0.0975009176167221
"miR200b",0.142395604241048,0.00729596220963818,0.0631161177746898,0.176898357469404,0.17692335006419,-0.015569368213951,0.0311596541259236,0.0848050731993568,-0.0910379728816734,-0.0849615527674255,0.000381774306362745,-0.109080611162055,-0.0842926029619372,-0.0683065625077319,-0.193272014572477
"miR200c",-0.174670874205061,0.0147859224696295,-0.0818224578061893,-0.194132130938097,-0.194215439587386,0.00859377599551395,-0.0349398758770886,-0.104148567901401,0.0890110132395662,0.103585958156666,0.00179031357984763,0.0762175481948213,0.104386121567928,0.0827927981206957,0.218902697349397
"SNAI2",-0.00794294182371157,0.0268825924673471,-0.00344882082626247,-0.041491422038134,-0.0414917569601139,-0.0986703445036113,0.0244268543293152,-0.00984057565705776,0.0073909378721616,0.0100381686155632,-0.0574746860930306,0.00615605516288084,0.033846814934397,0.00986312960698655,0.0271359454513664
"SNAI1",0.084584844627114,0.110665653373644,0.0955656382078736,-0.0965274865268148,-0.0965311962301622,-0.0951413536274931,0.074879287950902,-0.0290464975535153,-0.0066193753862996,0.0289501465981342,0.192717655674097,0.0270731359007091,0.102694674519037,-0.00184516625612983,-0.0979232391371727
