"","ZEB2","miR34a","ZEB1","FOXC2","SNAI2","TGFbeta","miR101","GSC","miR200a","SNAI1","miR200c","miR141","miR200b","TWIST1","TWIST2"
"miR101",-0.126074918261232,-0.105831119622385,0.0304244459188843,-0.196287431633915,0.154722392038165,0.0137728354703156,0.332859021680502,0.0137904290240375,-0.045050993106402,-0.418091208911372,-0.0780583140300398,-0.0303579558770467,-0.0326003416226816,0.378940761952165,0.136527948217286
"TGFbeta",-0.0941738403794688,-0.136108309613707,0.00516258051169419,-0.0484523219082219,0.142916731673781,-0.0899302106241027,0.181521079482001,0.00896473678507331,-0.0459759901506909,-0.223768564600232,-0.0496379381169472,-0.00380240555585673,0.0761278793684491,0.138581465265028,0.175348956255587
"ZEB2",-0.0879471756094411,-0.0481464113817561,-0.0245255402060813,-0.0116622439604527,-0.010081445529874,-0.00866205282891097,-0.00836035636821534,-0.00656888796363467,0.00107831049895257,0.00284857193960817,0.0157295517503161,0.0220107465704551,0.023868289574522,0.0247537056790083,0.0254735955276283
"GSC",-0.0721294747745028,0.0284268236058736,-0.165019279287826,0.180625427684084,-0.0363596183489548,-0.0342752502578453,-0.235939787601179,-0.0336310252523242,-0.124037037072496,0.343006571948677,0.0485972131649583,0.164195285695027,0.030810727736488,-0.388947702700039,-0.0319746481912021
"miR141",-0.0366606823587523,-0.124990042582797,0.00299495534008174,-0.0397909739032748,0.149950879518794,0.0888117631849679,0.17260360833028,0.0896538860512913,-0.0154923034376804,-0.20021648129002,-0.0199675320617848,-0.00394189698700118,0.0221015936221928,0.110624664555033,0.140211745527773
"FOXC2",-0.0188732963198179,-0.0414576936971295,-0.00164781282520654,-0.113926411229225,0.0943735191477609,-0.00219138980034011,0.116496472837998,-0.00330945035272845,-0.0108551686391499,-0.140568284609827,-0.00327099802963903,0.00299871680957236,0.00692911641529637,0.144627617937081,0.118970486400921
"miR200a",-0.0161137726133756,-0.153668458797599,-0.0260822845510311,-0.0453032816139033,0.146093791231482,0.0747881850728566,0.171266417198926,0.0739173941940626,-0.0214469919993094,-0.199174060987843,0.00548422506341984,0.0271393787453439,0.0796844366092301,0.121374358465128,0.149281649242881
"miR200c",-0.0025130481121108,0.00410843070933197,0.00501732842663433,-0.00702416229164324,-0.0837692089001494,-0.0871882172595417,-0.0889158544372654,-0.0872825828005908,0.00121441100243435,0.0951937404432599,-0.00450076772437183,-0.0049034732726059,-0.037158841227795,-0.00171664504176234,-0.0315915623805854
"SNAI2",0.0027135042243984,-0.0519495658344928,0.0198616593537715,-0.0649730143453994,-0.00650848091334526,-0.00264720405335028,0.135133999025987,-0.00116482917417281,0.0125990697328469,-0.186282713396858,-0.0092189760788807,-0.0215948805998822,0.0144654544766617,0.222199267131464,0.120884994908791
"TWIST1",0.00630221727082733,-0.058218243164529,0.0845694046137317,-0.027418799416622,-0.0105673810452014,0.019297351934167,0.129753984638413,0.0195513354653401,0.0527882952338314,-0.272910078034566,-0.0274116792677194,-0.084850723728134,-0.0250497082804266,0.161332991755397,-0.0382821627595738
"miR34a",0.0173252993845556,0.140767662151951,-0.0176627498596933,0.189068749931719,-0.18561817262513,0.0332302913119701,-0.296048451326082,0.0339092261305871,0.038832621114385,0.432176872508256,-0.023335893469216,0.0167625078134828,-0.0731806288507533,-0.382293417929932,-0.310145214957986
"miR200b",0.0180338616332659,-0.0245699855054701,-0.0240599114644785,-0.0125364700022717,-0.0876262971874621,-0.101211795371653,-0.0902530455686193,-0.103019074657819,-0.00474027755919461,0.0962361607454365,0.0209509894008328,0.0261778024597392,0.0204240017592423,0.00903304886833271,-0.0225216586654778
"ZEB1",0.0193527798162861,0.0404780695803207,-0.0978564304314491,0.113397375985915,-0.0946887997474947,0.00263031743486568,-0.116443147088771,0.00219138980034011,0.00979659091847786,0.141805247700824,0.00367671863225856,-0.00164781282520654,-0.0066071250509387,-0.14454696795799,-0.120042716692748
"TWIST2",0.0697128613822247,-0.054904145913773,0.151130471622958,-0.0871923458260319,0.119193129789853,0.0180583787169311,0.222867257265807,0.0170787910378918,0.110101129990013,-0.359736805017789,-0.0411931651287723,-0.149903108145707,0.00428948325014069,0.401473902715247,0.133914230072436
"SNAI1",0.11400707689826,0.163897264094381,-0.149246222538644,0.215482833938292,-0.166235693597414,-0.0361568230449981,-0.377826228240432,-0.0359423133048285,-0.0210645274250724,0.399990007523897,0.133349913772157,0.148894728146479,0.0459412312607851,-0.437344050588737,-0.164815640156693
