"","ZEB2","miR34a","miR141","miR200c","SNAI1","miR101","miR200a","TGFbeta","FOXC2","GSC","TWIST1","SNAI2","miR200b","TWIST2","ZEB1"
"TWIST1",-0.106128864438817,0.0204266367054915,0.183213057891692,0.150352576523934,-0.255071256810095,-0.0409354600898295,0.0446317138698212,0.0475798510377331,0.0170682075972969,-0.047255019468917,0.235725096896335,-0.137798911503906,-0.075378864605654,-0.130636131510547,-0.183665501997343
"ZEB2",-0.0920469027644035,-0.0613169296097093,-0.0592416862014284,-0.0325494616600659,-0.026869384536038,-0.0252005751921553,-0.0232230637764822,-0.0149820154271359,-0.00792238190308581,0.0146242745228886,0.0160944866672731,0.0230770110077141,0.0269519265572636,0.0392080600521589,0.0596154463479463
"miR34a",-0.0293931370892947,-0.021962310594195,0.16201449649066,0.148963776202892,-0.264839663649299,-0.0614027955309908,0.123010640110379,0.0414552770979693,0.116627940348355,-0.0412847849764042,0.238017875269417,-0.122072807874321,-0.115351958702005,-0.207925857002581,-0.1622414443021
"GSC",-0.00851332879356758,-0.178157404631437,-0.160437872460089,-0.0876462205918373,-0.200693622805337,-0.113124864851252,-0.0804637882983934,-0.0544914621582961,-0.0980487735940851,0.0541829156081494,0.295348721225901,-0.0758164783203754,0.0463325787346341,0.0476959792791572,0.160890896963703
"miR101",-0.00848142573234227,-0.0395377852713594,0.100307529646426,0.0538415861292671,-0.223299252509266,-0.100502279344762,0.046354651013399,0.0208543538832881,0.100232033099129,-0.0207857390237726,0.22278274419785,-0.121924859183976,-0.0799125307402258,-0.0314728039457185,-0.10040266155244
"SNAI2",-0.00711408562625375,0.000264482350599005,-0.0935083520467603,-0.0437069323996271,0.144944412702237,0.0428225275968723,-0.0502242614574111,-0.0185425386668834,-0.034508683182889,0.0184475914011081,-0.179364349240332,-0.0474969779967761,0.0533218147511031,0.0313083383340092,0.0936372970090314
"FOXC2",0.00289419142145705,-0.312685883884351,-0.388672695894716,-0.308656232843678,0.143900175700451,-0.00761309312597029,-0.305999704733354,-0.14937167654021,-0.128094356806937,0.147910448887584,-0.135810949789214,0.154384807049253,0.308595089401196,0.277990194634587,0.390638715052991
"ZEB1",0.00294957339418069,-0.313825172556374,-0.390638715052991,-0.309729858689412,0.144377558794505,-0.00769011920818674,-0.307057124905945,-0.150287921981377,-0.128611053035826,0.14937167654021,-0.136503942202142,0.154887639185239,0.309612729730384,0.279337084902644,0.291797151689866
"TWIST2",0.011708070506948,0.0207681603890765,-0.135363898921063,-0.0727774407568298,0.205522087046965,0.0770911237958743,-0.0624903357462649,-0.0345275573798484,-0.0272050383957162,0.0343798552514664,-0.254669001043962,0.0103974841345761,0.0424847825778712,-0.0408797022789703,0.135556952509925
"miR141",0.0193019326696506,0.313568813283595,0.356453365728106,0.174800083183555,0.110305670425516,0.103496206153792,0.192356744537792,0.183867715055787,0.0425394138796731,-0.182848806112562,-0.060951781599786,-0.0946694673974255,-0.176331988637105,-0.183170159940881,-0.357859430597775
"miR200b",0.0219009049652988,-0.0881419469754301,-0.219401529820579,-0.120314119778795,0.214207807733068,0.0972608324981276,-0.10036465745721,0.0331017800309836,-0.0222089157886661,-0.033344263636464,-0.172642368178559,0.0187123368795819,0.0847746375185743,0.0655512203143068,0.219699589654702
"miR200a",0.0219009049652988,-0.0881419469754301,-0.219401529820579,-0.120314119778795,0.214207807733068,0.0972608324981276,-0.10036465745721,0.0331017800309836,-0.0222089157886661,-0.033344263636464,-0.172642368178559,0.0187123368795819,0.0847746375185743,0.0655512203143068,0.219699589654702
"miR200c",0.0238080697895937,0.288062214060983,0.326985823060904,0.15714200074833,0.101952352582452,0.0956891633840031,0.178772665797839,0.172215056365822,0.0392169555608299,-0.171317986475597,-0.0546028521998838,-0.087255318947288,-0.195874054070833,-0.168386121025003,-0.328157698060904
"TGFbeta",0.0576046467249441,0.255578523493918,0.195609817351761,0.07851746915223,0.175536025077186,0.092620235082184,0.128276401116316,-0.0414111713541696,0.0245133162306856,-0.0579870992788561,-0.113777552459311,-0.00613433722452638,-0.158777251440741,-0.124466944367443,-0.19636442421884
"SNAI1",0.136459462167815,0.266221882716091,0.215590708494777,0.0529572861542782,0.0721157807038241,0.0994593564957905,0.181104899414574,0.0538699836150032,-0.0639752388154673,-0.0534818042515539,-0.16549516727347,0.0762510181072206,-0.097821043084967,-0.0750454871872927,-0.216093373298348
