"","miR200b","GSC","TGFbeta","TWIST1","miR141","miR34a","FOXC2","TWIST2","ZEB1","ZEB2","SNAI2","miR101","miR200c","miR200a","SNAI1"
"miR200a",0.00266349996078173,0.044011432565866,0.0427297335083269,-0.0929981869799745,-0.176195447508873,-0.099657330589808,0.0347420544260654,0.119890811315623,0.176442596501764,-0.275938274729004,0.13398847671063,0.0968780491763921,-0.223080066588622,-0.223080066588622,0.0577737002271026
"SNAI1",0.11369378794769,0.139123114928476,0.138622327864087,-0.179557335924106,-0.109467293024765,0.129314330349486,-0.169952877373261,-0.211815228248707,0.109554471053428,-0.249953625645331,-0.26613863114221,0.0588363687461268,-0.169064759947941,-0.169064759947941,0.194418604388489
"miR200b",0.0477348959097822,0.197043736659782,0.196760640036635,0.221321870816237,-0.105727284578646,-0.183193257514462,0.0314475619506841,0.0579909221249872,0.106398382031253,-0.14293367104648,-0.0567544889917584,-0.171860789257518,-0.123276087712758,-0.123276087712758,-0.288422614669716
"TWIST2",-0.0890512540176294,0.0457566194044066,0.0450622496284498,-0.00758894224757056,-0.119755285205621,-0.151327016865378,0.153992829746143,0.303891127807119,0.120080266076166,-0.132203803507783,0.340543765899501,0.0673849939189028,-0.125340329020119,-0.125340329020119,-0.239171199015765
"miR101",-0.0415198142152076,0.0260852332254412,0.0259990248122038,0.238462707671218,-0.0566132757087561,-0.143278723052708,0.167921249489486,0.19034715512188,0.0570016457480023,-0.0486860919836087,0.225571342725252,-0.107758190855358,-0.0525234204831447,-0.0525234204831447,-0.347901079731796
"SNAI2",-0.280158029550644,-0.196753864370155,-0.197430470561401,-0.0830663141278722,-0.0471787906341352,-0.105881036223684,0.178510832632248,0.478789011449062,0.0473646723329934,-0.0432349806188221,0.43214341622568,0.267739765919397,-0.0455065079069352,-0.0455065079069352,-0.215206037215731
"miR34a",0.204460556755701,0.0163867718619206,0.0167502052456128,-0.0426020815608877,0.121449387921836,0.199442285974924,-0.242751077466088,-0.465081065248879,-0.121757017803455,-0.0371679901113973,-0.412420877611417,-0.0602702401024917,0.0965873323454697,0.0965873323454697,0.350527509777482
"ZEB1",-0.200361721203522,0.0595885656405222,0.0595847266233106,0.0540497463687528,-0.127156376481662,-0.197717455937263,0.137897715111731,0.240264199267929,0.027397988969318,0.02716840399163,0.174647868796162,-0.0166516379434986,-0.145091882781851,-0.145091882781851,-0.21711284544649
"FOXC2",-0.199895802467131,0.0601033162908792,0.0595885656405222,0.0550384553716801,-0.12661921861278,-0.197401857307095,0.137297730535499,0.239054638987987,0.127156376481662,0.0275205385668621,0.173731129821551,-0.0176292766793228,-0.144663011217599,-0.144663011217599,-0.216996439224048
"ZEB2",-0.30325778823198,-0.209447773104775,-0.208559763767991,-0.193671217628771,-0.107355999497499,-0.0290378174842428,0.0146653584469167,0.097100254939155,0.106638837884806,0.149053114414042,0.156429044923397,0.172220817011861,0.180083770452335,0.180083770452335,0.186060478658136
"miR200c",-0.214565030139355,-0.124737370209643,-0.12489862777979,-0.172763433617939,-0.225214950349467,-0.11278097256887,0.0411052218671831,0.156032794133613,0.225009455681221,0.166683305691699,0.187059285917756,0.157684004489228,-0.0289401822439508,-0.0289401822439508,0.125760625770134
"miR141",-0.214565030139355,-0.124737370209643,-0.12489862777979,-0.172763433617939,-0.225214950349467,-0.11278097256887,0.0411052218671831,0.156032794133613,0.225009455681221,0.166683305691699,0.187059285917756,0.157684004489228,-0.0289401822439508,-0.0289401822439508,0.125760625770134
"TGFbeta",0.0695144391237081,0.0776234403502826,-0.0209424111048377,0.190157575469109,0.14010731739155,-0.0813687564386012,-0.00440327368788696,-0.0668551067427238,-0.140120809323062,0.231628779346778,-0.086159017850245,-0.147913561610231,0.181275177583217,0.181275177583217,-0.210377119690104
"TWIST1",0.0195676997341314,-0.124818198278515,-0.123632496214565,0.143598405537884,0.175632795677178,0.0564928436705831,-0.0419373046675902,-0.134996648002599,-0.175955081077364,0.260492564312761,-0.123468902883983,-0.107217035940813,0.213914336300222,0.213914336300222,-0.121637362022416
"GSC",-0.034116514460582,-0.162541816156868,-0.161184589920946,0.259468689417646,0.181924908795855,0.0307874338550613,-0.0693854880899689,0.0107244832451711,-0.182224140816138,0.282719395715971,0.0447474258527982,-0.113581972095902,0.226424168352868,0.226424168352868,-0.175202125480733
