"","miR200c","TGFbeta","GSC","miR200b","SNAI1","miR141","ZEB1","miR101","miR34a","TWIST2","ZEB2","TWIST1","FOXC2","miR200a","SNAI2"
"miR141",0.107095638545732,0.175800294450048,0.175660537889254,0.0079109434798817,0.113246706438425,0.0296057663251745,0.0305073510408143,-0.091016352493665,0.0119332577268888,-0.177147351148896,-0.249763843343329,-0.179676054770788,-0.180043938004634,-0.138909123813861,-0.291151414749327
"miR200b",0.124037182225322,0.173647224411713,0.173851484000566,0.0791306211617429,0.0359874069306414,-0.0244525418648021,-0.0217339029430011,-0.0684376316155954,-0.119606056789206,-0.0335512574416637,-0.225569520604213,-0.0792950334997137,-0.115944779814218,-0.100229270379876,-0.170169927155579
"miR200a",0.106244170441248,-0.0177458936350028,-0.0175750800606989,0.156537351185161,-0.0860316035076172,-0.0501747221284105,-0.0500368000312541,0.0703593062252437,-0.0387724548192321,0.150584517207198,-0.155942165544126,0.131183602870902,0.124692936850026,-0.0529163421546692,0.225439392110142
"GSC",0.0846628094814498,0.0573579939135462,0.0574886056433629,0.0806828097515059,-0.0115468105196351,-0.0329368803701077,-0.0310176681020862,-0.0803568762449818,0.00886064120782844,-0.0315506438345377,-0.152180318038267,-0.108172222831084,-0.157771602958616,-0.0602870291727593,-0.0476064328963622
"miR34a",0.124268231515139,0.00355477839050068,0.00339035360422257,-0.0424825048924248,0.138824370277275,-0.0365446039851464,-0.0362459387779917,-0.0909921272362345,-0.0714722213407639,-0.287809269708707,-0.147482404562116,-0.183789163390661,-0.197250457867222,0.00239856921052873,-0.29413025354895
"TGFbeta",0.077117972942536,-0.0662770440022339,0.0333373975025735,-0.101298797724899,0.0661014173187724,-0.0257287385653633,-0.0274020518386,-0.109714343905458,-0.0788334239407618,-0.19179792305163,-0.143532116484502,-0.14028797624658,-0.159599737438773,-0.0609823895950792,-0.282954913244518
"SNAI1",0.0681730546937556,0.0239680426784527,0.0240318801427176,0.00935167258904179,-0.0835084543523365,-0.0485454797889412,-0.0477395467367209,0.00281350373549716,-0.0757617392053427,-0.0167450625071393,-0.0987430968352131,-0.0170980260796163,-0.0974649327781175,-0.0308727356199683,-0.109417186856109
"ZEB1",-0.00951429117839206,0.00315074470650224,0.00320832996467615,-0.0377634908537278,0.111241359216479,0.038220485817037,-0.06020602538887,-0.0279517886640547,0.0256270717277915,-0.149751140688171,-0.0309651268834166,-0.122070096289231,-0.127611892001434,-0.0368897326682477,-0.16383279882361
"FOXC2",0.0108935097176821,-0.00320832996467615,-0.00280981333214169,0.0387137805536945,-0.110307757796088,-0.0403167897864521,-0.038220485817037,0.0271969330583334,-0.0268573841182087,0.148356713116535,0.0309032293844901,0.122613736889028,0.127431433915524,0.0377827810132433,0.163132714209842
"ZEB2",-0.219533758726678,-0.193475117205651,-0.19329497816876,-0.186676365973547,-0.0812687156336096,0.03386464231291,0.0348415946000135,0.0558679780014637,0.06627187284241,0.071441400929937,0.11378198423045,0.121229581049947,0.136949599587241,0.19139906729324,0.192727771554902
"SNAI2",0.0102888374888292,0.177174108064457,0.177356304169053,0.273930033683037,-0.150890402776989,-0.133302855395335,-0.134871964871283,0.265902877927035,-0.0309998368880813,0.413528696216331,0.118955398967425,0.274990938543584,0.170426089771453,0.126414467739706,0.371098659293342
"miR200c",-0.089302626761658,0.0155928235966684,0.0157660261720115,-0.0853176735033001,0.00877230399983394,-0.00388358606156608,-0.00220445395256134,-0.047780585347174,-0.0927668596968632,-0.00698842349996503,0.180136488283242,-0.0308025815998283,-0.0605937786596106,0.0915961955886539,-0.104457904516394
"miR101",-0.0876707630981621,-0.075471272741969,-0.0752707062295391,-0.0352526637243739,-0.0439921426281024,-0.0303167164063139,-0.0294134747610434,0.0146401772581901,0.02125598339,0.0677258634942604,0.210204267010279,0.0607862717956777,0.140311756100179,0.121396135078888,0.170380350343145
"TWIST1",-0.0471209230917374,-0.0483047945886314,-0.0480347699923315,0.0537828712954495,-0.074094669895183,-0.114761742489824,-0.114134024908287,0.125887285865393,-0.0147577563621003,0.228107227930728,0.231127569420954,0.19135199960204,0.280728128693023,0.160712367895229,0.321248973967758
"TWIST2",-0.0574491892341087,-0.0561151288191072,-0.0558417949953198,0.0576302787555245,-0.162789492380664,-0.118641979659267,-0.118318318061539,0.103172952216094,0.000559857610785924,0.244519164460908,0.243209112877277,0.323925065357755,0.212676824044222,0.181295444336951,0.339573407042325
