"","miR101","SNAI2","TWIST2","ZEB2","TWIST1","miR200b","ZEB1","miR141","TGFbeta","miR200c","miR200a","GSC","miR34a","FOXC2","SNAI1"
"SNAI1",-0.293839590614407,-0.161818717234366,-0.187972615070908,-0.174526729030712,-0.355359857373221,-0.0790233384546273,-0.0870204146938342,-0.0870361809330606,-0.079599149348033,-0.0382955483878217,0.123766250695835,0.0796534706685566,0.234277641569665,0.347089676022864,0.229618123936561
"TGFbeta",-0.286821499932443,-0.25503482037689,-0.276129684763345,-0.15171430656975,-0.244201416383582,-0.181790190377327,-0.0610237471146883,-0.0609236558088262,-0.172805397646908,-0.0450596591916242,0.1009598218078,0.0729167095137208,0.216059045976364,0.288949374209721,0.321738933971633
"ZEB2",-0.149594389281114,-0.147793663352237,-0.109194394885941,-0.105157960936947,-0.0718699231908073,-0.0147433944225774,-0.00934164490319914,-0.00870908944883918,-0.00658527148349707,0.00261965756934308,0.00330986439915173,0.00675779901178651,0.0684010663864921,0.133697994824107,0.151815817350594
"miR200c",-0.228335899911746,-0.190235938007569,-0.111833919176778,-0.0459198583339894,-0.122633494954904,-0.0676020369128432,-0.000565055914881674,-0.000722416696872196,0.0699721929525096,-0.0211463812577678,0.0215477631893308,-0.0703986296380096,0.0449448912383251,0.229511366229437,0.266713617099608
"miR141",-0.228335899911746,-0.190235938007569,-0.111833919176778,-0.0459198583339894,-0.122633494954904,-0.0676020369128432,-0.000565055914881674,-0.000722416696872196,0.0699721929525096,-0.0211463812577678,0.0215477631893308,-0.0703986296380096,0.0449448912383251,0.229511366229437,0.266713617099608
"ZEB1",-0.000867675136263087,0.079786078848674,0.0921178136915713,-0.0331681976728093,0.00772750731099219,-0.0158162216036938,-0.0953474379149243,0.00434428059148945,-0.0101015847058502,-0.0161033007165461,0.00939688193603748,0.00994034598296329,-0.00365973634908243,0.0837688076892816,0.078819280003935
"FOXC2",-0.00100632208425271,0.0797467361413568,0.092001611393935,-0.0330695762989217,0.00759309067917428,-0.0161668139201864,0.00434428059148945,0.00489638917640418,-0.00994034598296329,-0.0165969949733713,0.00929212383464784,0.010444026726861,-0.00388878783717101,0.0843441142366711,0.0787922361340748
"miR200b",-0.227911263027304,-0.239985416294769,-0.204919482637174,-0.0177092309973457,-0.129127077388482,-0.0175121026572123,-0.0142780908445597,-0.0149140135341332,0.0803324183915317,-0.000311147944363383,0.0146503742214052,-0.0811936532661689,0.151764263635128,0.203342444021207,0.217280763798415
"TWIST2",0.0607113218367161,-0.0925518720258434,-0.0541200463647703,0.00923036317538304,0.264798048858252,-0.0342804194665501,0.00398899036508706,0.00409101412958807,-0.0105108192454268,0.00187951839899764,-0.00642858845170266,0.0106528622884302,-0.11453270321321,-0.247334255035587,-0.240423500558105
"miR200a",0.175789365583399,0.190684926066858,0.164363175340018,0.030175043261495,0.0993160175337554,0.0528504113974556,0.00349925876077865,0.00352887961385922,-0.0674593597056987,0.0127851540445347,-0.0155975700456521,0.0676397292841594,-0.122516687581984,-0.148234431176311,-0.161989534177564
"GSC",0.173188632684741,0.120273610721013,0.099177692983997,0.0877011184315629,0.0614230916779095,0.0425181210044758,0.0518033648838509,0.0518171226778869,0.0473855060924471,0.0221191551142547,-0.0675502715212676,-0.047306634274925,-0.0760089948879056,-0.155721715601352,-0.124922747646451
"miR34a",0.0238396607234441,-0.0447437210338703,-0.152379707170243,0.0932959620084194,-0.0274661531881034,0.0100747600677038,-0.0160027407454199,-0.0159923605960401,0.0129295029284311,0.0859543788434225,0.0119031095779629,-0.0129859291466004,-0.0436990085315675,-0.0798610042879438,-0.0830951276506923
"SNAI2",0.287965270274688,0.0781827362622531,0.200030572502807,0.0945313059653757,0.286333736731181,0.256849739975171,-0.0705834005595773,-0.0704095760519964,0.234423402851439,0.0814985080860881,-0.0108497861082412,-0.234316480254846,-0.0349157986857522,-0.201924676055763,-0.205651617658771
"TWIST1",0.0419145687737708,-0.0688826891734033,-0.0267290670060188,0.103996794439875,0.119925359362602,-0.0182616267315979,0.0769336659989044,0.0770381559556824,0.0279647903884905,0.0156976981884666,-0.0877254002421396,-0.0278391353783311,-0.104844662092284,-0.28960787318409,-0.186711912633044
"miR101",0.243569902456311,0.114504477317661,0.0821069023051943,0.148512977534938,0.280584646767307,0.109423386647323,-0.0174302642537475,-0.0178370469199641,0.0677276914253427,0.0816543419752636,-0.0619095581602162,-0.0680637283014313,-0.105002117818625,-0.281824561532252,-0.272780921947575
