"","ZEB2","miR34a","TWIST1","TWIST2","miR200b","miR200c","miR101","TGFbeta","GSC","miR200a","SNAI1","SNAI2","FOXC2","miR141","ZEB1"
"ZEB2",-0.0812932177326889,-0.0250151868927079,-0.0193423945091265,-0.0166203043268308,-0.00605597013128784,-0.00365882724010351,-0.00258147492077476,-0.000449500658740925,-0.000446963489207257,0.00365882724010351,0.0060767452450878,0.010868398706131,0.0170703084305402,0.0295911008306259,0.0296473390417531
"TGFbeta",-0.0772671315732276,-0.0646591905052387,0.0806873663019011,0.0524038050658852,-0.109042114503929,-0.0405942409668267,0.00944633666977588,-0.08324080584013,0.0168204963473902,0.0405942409668267,-0.0313954512045557,-0.0569140969032782,-0.0703057078619559,0.000977884774918918,0.000771740612061892
"TWIST1",-0.0715518920185495,-0.172026140318099,0.102064703135655,0.0207789444503956,-0.118139814997169,-0.152646001906405,-0.0259567771969592,0.00335557566682927,0.0034705366335708,0.152646001906405,-0.0556710080854649,-0.0724036612911031,-0.0603612895783767,0.209446433211076,0.209322237952276
"GSC",-0.0687268138350471,0.0907554057740932,0.0813461006557397,0.0664976545201906,-0.000703021833407196,0.0170188150924549,0.108669091941816,0.00608452203920198,0.0060700096247779,-0.0170188150924549,0.0854839949024496,-0.0439361353322199,-0.186973825225512,-0.106778492513785,-0.10665811181597
"TWIST2",-0.0680749889029549,0.12465906458821,0.0677077899649079,0.153091621586645,-0.00639027955518208,0.049035678089935,0.108398389149316,-0.00714522194758384,-0.00706882429497246,-0.049035678089935,0.0899751079943061,-0.106871572652154,-0.0848571338649663,-0.16328696040463,-0.163281683313362
"FOXC2",-0.0442641037057231,0.232418543197599,-0.00230057897306818,0.125338945564995,0.194344406729126,0.191998562523502,0.0209430086258839,0.0053684040698513,0.00539054388276989,-0.191998562523502,0.120025811318179,0.0787272095496824,-0.110903098413606,-0.216765438110653,-0.216781456734973
"miR200a",-0.0308826839229683,0.117076882801588,0.0807373097255776,0.0653036741745694,0.0550111959370332,0.0848649297111132,0.0122568397898256,0.0908240431040702,0.0909924676773349,-0.0848649297111132,-0.00660416548887005,-0.0303940943454945,-0.0893862419950834,-0.199589565847782,-0.199497000681905
"SNAI2",-0.0166831754224489,-0.105824097612525,-0.028168416010405,-0.125612926816194,-0.0344303534437027,-0.0710050528483918,-0.0832396275876988,0.00876940970449558,0.00911412815591423,0.0710050528483918,-0.0944808443079475,-0.0299550749058783,0.0752244520076936,0.123838883093316,0.123847256142814
"miR34a",-0.0154470185434096,0.186307913172621,-0.0206169132197346,0.103488067347248,0.112494692118753,0.163952540052688,0.0588207416648478,0.010749202959263,0.0105095432154259,-0.163952540052688,0.139635991282598,0.0387177630530683,-0.122782448891705,-0.219484418001656,-0.219377785558027
"miR200c",-0.00396354239527821,0.212276136965844,-0.0825273090496023,0.0575651931511439,0.106626492902127,0.106191774615135,0.00481932491260368,-0.0852460162783746,-0.0853953288433256,-0.106191774615135,0.0894555292225074,0.0791887457070873,0.0397840200956742,-0.214514817679449,-0.214621267620207
"miR141",-0.00396354239527821,0.212276136965844,-0.0825273090496023,0.0575651931511439,0.106626492902127,0.106191774615135,0.00481932491260368,-0.0852460162783746,-0.0853953288433256,-0.106191774615135,0.0894555292225074,0.0791887457070873,0.0397840200956742,-0.214514817679449,-0.214621267620207
"miR200b",0.0071629798117938,-0.200909453244789,0.0903139119275136,-0.0506177396504925,-0.130315554485313,-0.0956692640118378,-0.00377365911422421,0.0874908077028279,0.087542171225171,0.0956692640118378,-0.0903434373494773,-0.0826931334447426,-0.0462768352270433,0.198299133910935,0.198341713887238
"ZEB1",0.0442981621381467,-0.232519266164674,0.0022288901027653,-0.125109181931032,-0.194381311183493,-0.191922743124154,-0.0208351721107809,-0.00528138634638851,-0.0053684040698513,0.191922743124154,-0.120089305621329,-0.0784809134230528,0.111166844846859,0.216781456734973,0.116857649884607
"miR101",0.0737361568873244,0.181283896778912,-0.0312557629765799,0.0876368832083102,0.13088385835364,0.154971900949685,0.120353205190676,-0.0155323118431753,-0.015502402801848,-0.154971900949685,0.107046995937722,-0.0308647724044825,-0.093994443744962,-0.230118971227215,-0.230059982625995
"SNAI1",0.0851429006588354,0.181039727099632,-0.0380184973103681,0.0953073646454608,0.0736238064442858,0.130305751325466,0.127252005560248,-0.0169656056316374,-0.0168462573288813,-0.130305751325466,-0.00241175486533329,-0.051133047203926,-0.084431016360712,-0.163373748577031,-0.163606841604026
