"","ZEB2","SNAI1","miR200b","ZEB1","miR200c","GSC","TGFbeta","miR200a","SNAI2","TWIST1","miR141","FOXC2","miR101","TWIST2","miR34a"
"ZEB2",-0.0905992569773693,-0.0503411209755973,-0.0134237814183162,-0.0119646102876577,-0.00783467556206176,-0.00221377066942843,0.00263240364248369,0.00268432083619717,0.00566710598751546,0.00922894262076919,0.0116913821645707,0.0184938280265679,0.0225104884343992,0.0254923139247837,0.0294727069183184
"miR34a",-0.0806954334228225,-0.0884264178676114,0.0251465548985734,0.0747613786050841,0.115993383101079,0.0395575044665322,-0.0396491212293662,0.0529152900672848,0.0544291700546052,-0.0231466851123012,-0.0747434492561553,0.0791494334708029,0.0207374657591431,0.13761696614332,-0.0812079088222071
"TWIST2",-0.079233132724359,0.0742130625922109,0.000151059235095265,-0.130494818713797,-0.0259571072129358,-0.0484927889522917,0.0486767092270969,-0.103982392361461,-0.0367566473695437,-0.172123164025711,0.130438969497884,-0.0975181782615519,-0.0238445059476606,-0.0177590876295397,0.110958834904582
"SNAI2",-0.0133615901870145,0.0539574314866309,-0.0252011930571428,-0.0744136894183664,-0.0312607531949587,-0.0207485496317535,0.020946142590259,-0.0436746402265459,-0.0822411657266758,-0.12085579824605,0.0743483796322811,-0.0802720655547396,-0.0375444704209632,0.0415720826270246,0.0689513364199256
"miR141",-0.0106173009911808,0.178833272679351,-0.0410728759440959,-0.0338527665716152,-0.0133418210416933,-0.104472974472349,0.104584063020672,-0.0229513992994896,0.069328255740341,-0.0822865153351862,0.0338018557303829,-0.0556333394060128,-0.123330529238956,0.101076043383679,0.146821996943652
"TGFbeta",-0.00720625130481555,0.233767479139475,-0.116102023733009,-0.134044574264314,-0.0658022563696096,-0.0466427345771861,-0.0533024160971379,-0.0723073373724448,0.0204189304781307,-0.133500476771631,0.133984644987136,-0.110356037694,-0.128477236975622,0.127522355817548,0.236221502166304
"miR200a",-0.00537488109207331,-0.186868164088899,0.0375890961251575,0.028732090302896,0.0175210843960289,0.0930660028659272,-0.092969248323839,0.0125611001463318,-0.0123658121881133,0.0619044447060395,-0.0286571125185358,0.0690583124076956,0.100249113970222,-0.00436816502518696,-0.0402923407486316
"miR200b",0.000323098115123046,0.203396836298204,0.00946427105520726,-0.00588426450628048,-0.00368544418078611,-0.0900316397864281,0.0903625164303595,-0.00344081808179956,0.0100867174368465,-0.0655201107234575,0.00554732730248901,-0.0767307845228013,-0.10704039178334,-0.00473805882812094,0.0221357775272229
"miR200c",0.0106173009911808,-0.178833272679351,0.0410728759440959,0.0338527665716152,0.0133418210416933,0.104472974472349,-0.104584063020672,0.0229513992994896,-0.069328255740341,0.0822865153351862,-0.0338018557303829,0.0556333394060128,0.123330529238956,-0.101076043383679,-0.146821996943652
"ZEB1",0.0156580667937306,0.0474362057572969,0.0166227934584063,-0.0781687343538493,0.00636474297451122,0.00674401854124181,-0.0069359694018215,0.0197701926101791,-0.091352269009796,0.0188392242585484,-0.0216272484625904,-0.0785497132592036,0.0203054439271161,-0.106290866352513,-0.0257830771889419
"FOXC2",0.0156885713027709,0.0473115687918543,0.0167630303850033,0.0216272484625904,0.00660724929761762,0.00699862638980549,-0.00674401854124181,0.0198853686443037,-0.0913873001875442,0.0188989649838008,-0.0219572321235936,-0.0786623067657973,0.0200340751143843,-0.105950182343533,-0.0259285659191611
"GSC",0.0224583990621683,-0.206149204345771,0.000698502964894528,0.075015243670294,0.0187978793375461,0.0316877494809461,-0.031747692062263,0.0524365852091192,0.0540543486729102,0.107943552299373,-0.07502900146433,0.0257180987966533,0.127566331094501,-0.0334558672442543,-0.120365277728933
"miR101",0.0264833548522269,-0.196765773572065,0.0304056240304082,0.122472397512086,0.0504724620235972,0.042363735750547,-0.042537911932394,0.0741553482568223,0.0371217502244653,0.214908427327828,-0.12242159230063,0.205528969943167,0.129564908012076,-0.0910786807793626,-0.149140101457632
"SNAI1",0.0416773977414294,0.086132252847014,-0.0527528755548281,-0.146379696434703,-0.103634944347936,-0.0389818585214179,0.0389917711711485,-0.0509664994075005,-0.0392999010970892,-0.214602686280406,0.146392680396419,-0.209937828254866,-0.124569019381614,0.0836883147717228,0.225373435403355
"TWIST1",0.0913482748599079,0.172411255121224,0.0172244102912063,0.0615196881620238,-0.0190242297152988,0.0133238171655378,-0.0132917350352844,0.0732835670622745,-0.0847130014385209,-0.0920575374207856,-0.0615458754712908,-0.0821346887470355,-0.0276792835374763,-0.0739065616659376,0.0456544801903525
