"","ZEB2","miR34a","miR141","TWIST1","SNAI1","SNAI2","miR200c","FOXC2","GSC","TGFbeta","miR200a","miR200b","miR101","TWIST2","ZEB1"
"ZEB2",-0.0905851441174594,-0.0450696829716649,-0.0371745734671352,-0.0330934654371169,-0.0263019422683269,-0.0161213567294472,-0.0108927832132064,-0.00969164449317315,9.69815853019058e-05,0.00010459309390291,0.0108927832132064,0.0163413455721705,0.0213648127527887,0.02859703239157,0.0372138904465958
"miR101",-0.0580722442670171,0.219654770931474,0.257193094291784,0.189084204559254,0.115279759031649,0.0322455690804205,0.100428572280981,0.147486837717716,-0.00605172790485019,-0.00603941241724485,-0.100428572280981,-0.14152074248741,-0.124361270541653,-0.104272732318758,-0.257157291961564
"ZEB1",-0.0522433478139723,-0.215837234997768,-0.24261379054828,0.00582369478594298,0.11313275538833,0.105310716247764,-0.246235276942168,0.108359808552558,-0.00270823765593235,-0.00270823765593235,0.246235276942168,0.21300398788508,-0.108838903264721,0.10412903287786,0.142623314691984
"SNAI1",-0.0317922479636275,0.215725417633462,0.17915847727847,0.17014174789034,0.00480249308013913,0.0355625049365025,0.074999524548208,0.143782347041184,0.00106648712494625,0.00106529760697858,-0.074999524548208,-0.0642066590642804,-0.121613307819042,-0.0986326492944579,-0.179168060678784
"miR200b",-0.0146787891360331,-0.20978541026378,-0.218613741213783,-0.13945013645875,-0.0999134808196203,-0.0532603869110846,-0.116650093136759,-0.0474128961760485,0.0861506242248064,0.0861446517222084,0.116650093136759,0.043154745791958,0.0768957080054924,0.116385470244379,0.218603559045537
"SNAI2",-0.0141839573363923,-0.0720343427154006,-0.1019558078725,0.0478037676392167,-0.019009305562535,-0.0371992843775786,-0.0579552842514979,0.0152947059448577,0.00166717348366695,0.00169369028762223,0.0579552842514979,0.0443657248628559,-0.020558359327367,-0.0496332526221296,0.102070686111615
"miR141",-0.00958333030453066,-0.228373253147246,-0.238544749234555,-0.152482532129288,-0.107961341583257,-0.057832352786119,-0.124810608550837,-0.0512488714458394,0.0897892205483092,0.0897760810425935,0.124810608550837,0.0857927672689097,0.0830619898226145,0.126779744049135,0.238520682291427
"miR34a",0.00562968119344459,-0.00596381642579102,0.0780603199497352,-0.0143518576995253,-0.0805655243438565,-0.0747229255655313,0.0888054720636669,-0.0912550868381435,-0.0152607458642463,-0.0152528583283732,-0.0888054720636669,-0.0799725181211223,0.0750533926366672,-0.0125981146107099,-0.0780272922017086
"miR200c",0.0273406972047553,0.105875355761409,0.225438093195701,-0.144405440722635,-0.176663701160557,-0.124470652327869,0.126560663894179,-0.0946608183947457,0.088748026822209,0.0887468323216894,-0.126560663894179,-0.135029840832082,0.150897006505949,0.0124280373704878,-0.225428836679113
"miR200a",0.0273406972047553,0.105875355761409,0.225438093195701,-0.144405440722635,-0.176663701160557,-0.124470652327869,0.126560663894179,-0.0946608183947457,0.088748026822209,0.0887468323216894,-0.126560663894179,-0.135029840832082,0.150897006505949,0.0124280373704878,-0.225428836679113
"FOXC2",0.0522282436395931,0.215848426438554,0.242636216622329,-0.0057968114595794,-0.11313275538833,-0.105274607187623,0.246263636870169,-0.108376774697388,0.0027027027027027,0.00270823765593235,-0.246263636870169,-0.213016904444108,0.108887488947349,-0.104073572690352,-0.24261379054828
"GSC",0.0644637410555317,-0.00495434470718107,0.082397226553402,-0.179419814837037,-0.0654980329340611,0.0149346722517388,0.0746273903351515,-0.00130854745871558,0.0111672181699561,0.0111615393990945,-0.0746273903351515,-0.000978276479551729,0.0760006439232807,-0.00593383057589404,-0.082411475697225
"TWIST2",0.0647300654286146,-0.0165673532166698,0.0579611836266839,-0.206463029685915,-0.0668348174905465,-0.0664679962173925,0.0609784454024246,-0.112881239424847,-5.15041430922123e-05,-4.75427833271775e-05,-0.0609784454024246,-0.0185939486264976,0.0643494707856682,0.0865465235956309,-0.0579396355040091
"TGFbeta",0.0674717345729514,-0.142166683565317,-0.0184572273600843,-0.166716913268422,-0.138716410738303,-0.0777590060246707,0.0254391931420599,-0.0783807266910105,0.0104279985596309,-0.0895623221476027,-0.0254391931420599,-0.0647406566049262,0.108892080940704,0.134335681285392,0.0184889177108431
"TWIST1",0.10229223367211,0.0121008028431776,0.139339926838427,-0.182793634869533,-0.173567998305182,-0.105005260917151,0.124310011504338,-0.0998107363473,0.000218598592256771,0.000222608858538452,-0.124310011504338,-0.04975528865152,0.122756220710798,0.0988908887240723,-0.139324110740751
