"","miR200a","SNAI2","miR200c","GSC","miR200b","FOXC2","miR141","ZEB1","miR34a","TWIST1","SNAI1","TWIST2","ZEB2","miR101","TGFbeta"
"miR200a",0.141579213090571,0.261316914889538,0.126762292260675,0.187873385428451,0.0297643059981968,0.117441003915308,0.0146473274083076,0.0142039402637578,-0.0110204476942964,-0.0277042433014916,-0.120120673373345,-0.130714710208617,-0.271676237655584,-0.19203354300573,-0.187418280730481
"miR141",0.141579213090571,0.261316914889538,0.126762292260675,0.187873385428451,0.0297643059981968,0.117441003915308,0.0146473274083076,0.0142039402637578,-0.0110204476942964,-0.0277042433014916,-0.120120673373345,-0.130714710208617,-0.271676237655584,-0.19203354300573,-0.187418280730481
"TWIST1",0.161153349271425,-0.111369064306308,0.0564087929580525,0.0953151940942978,0.0734119351683531,0.267342850504057,0.106590292955917,0.10616688824272,-0.0122298251926985,0.130120663242237,-0.0637904348585338,0.115381016827784,-0.241522125573568,0.00696609023454297,-0.0949556068843737
"miR101",0.131136134037625,0.122583547343851,0.100048341565005,0.0873475897014529,0.0537142598053765,0.11467805694549,0.0278261953954969,0.0273273495944283,0.0174659129724827,-0.0129493945209225,-0.0265951377046989,-0.0496326865000652,-0.234461265704249,-0.125519426745494,-0.086779317916235
"GSC",0.101594708128399,0.123057066516903,0.0388970316445301,0.0501190900518106,0.00260124829554158,0.0661229776110764,0.0666267352343851,0.0661555307886522,-0.00782124164069846,-0.113760754459027,-0.0259964553285441,-0.0600278768751829,-0.14685164553636,-0.123841741229993,-0.0495089376714592
"ZEB1",0.0556895372737488,0.115417597828905,0.0331148860739096,0.0322080524481766,0.015558068763014,0.109394338035272,0.018322994004805,-0.0815677289779562,-0.00856012112681834,0.0744108079407538,-0.0916304237452389,-0.00429975624964827,-0.109571731255984,-0.104057519058366,-0.0323680114986597
"FOXC2",0.0561010456167766,0.115247831352125,0.033059902540031,0.0323298214192288,0.0155995862741776,0.109389710904864,0.0187533610448836,0.018322994004805,-0.00881453988068872,0.0747304208208542,-0.0915116658819398,-0.00425221894606977,-0.109537080502996,-0.103911762010479,-0.0322080524481766
"miR34a",0.0942640265481666,-0.108981390013048,-0.077742818595315,0.029288950061742,0.0210977482382526,-0.101153288069589,0.077360237804729,0.0773064497579429,-0.0747339801722487,-0.0312735391963304,0.0626775117966372,0.0353382983564253,-0.0186739705438852,0.0895500305414865,-0.029230096909458
"TWIST2",0.0407192008149192,-0.179868732427498,-0.0668790439091888,0.0104816450676185,0.00904363572562045,0.176599591177957,0.103814929127854,0.103665411541948,0.00277371316261122,0.270068151987275,-0.135351455374579,0.149371106086357,0.0217749333425657,0.0281279913335765,-0.0106044472203346
"SNAI2",-0.0728641760086249,0.221536266376269,0.0463566405309588,-0.220440365866683,-0.195762740877423,-0.201188980556253,-0.117055121439675,-0.117275165180485,0.0115712336945448,-0.253868869228101,0.164256528399815,-0.3186877073285,0.0311301155715495,-0.18147137905557,0.221103285965565
"SNAI1",-0.0224792733218599,-0.0687202861521808,-0.0690252852321554,-0.0253624500521265,-0.0222251364354139,-0.0653868932054489,0.0568208402854757,0.056582491845406,-0.0740197014926431,0.0312134021329548,-0.11067168179561,0.0656809236050571,0.0904044169112624,0.0803648871724788,0.0255539624449211
"TGFbeta",-0.0423782056153418,-0.246711733908908,-0.0617849755541587,-0.0231254320788557,0.102215634518061,-0.0213659383888833,0.0174510026287387,0.0174080167074124,-0.0885054849125558,0.11280542727179,0.0363034175431422,0.224190637922117,0.105130327720411,0.142625900528523,-0.0769971722961846
"ZEB2",-0.221628419322747,-0.211633243652057,-0.197325763105985,-0.196364591384106,-0.159413830917459,-0.107861736112642,-0.0294740437111953,-0.029441694297715,-0.00169560422394632,0.0373252785056096,0.105388411947939,0.112270055581108,0.121319924525016,0.159642325811642,0.195968792936854
"miR200b",-0.0718788990663352,0.188545961497653,-0.0690823519264502,0.0278527845117703,-0.117687045277674,0.0748079198495432,-0.00222463934155874,-0.00243753922307533,-0.00945678550821392,-0.0117905880691129,-0.0860566106966245,-0.0896874822866884,0.138281789478187,-0.137837933304882,-0.0279160930393095
"miR200c",-0.127119935056031,0.108483533178875,-0.0982573145888956,-0.00308637175158111,-0.0976166759073872,0.0265082865208496,-0.0275953262352185,-0.0274351884982517,0.101002098223682,-0.0699081429968412,-0.0253656494789482,-0.106389465125287,0.226835270083477,-0.0672619068419027,0.00291794717831642
