"","SNAI1","ZEB2","miR200b","miR101","FOXC2","TGFbeta","GSC","miR200c","miR200a","miR34a","TWIST2","miR141","ZEB1","SNAI2","TWIST1"
"ZEB2",-0.089268027981951,-0.0847661476899082,-0.0441278446332859,-0.0260679864435822,-0.0254636498769504,-0.0242408930503965,-0.0214449322242941,-0.019931586914063,0.000908507206270471,0.00309162746688753,0.0156165513459944,0.0209598119454342,0.0218053758454795,0.0360742210356308,0.0784544359100694
"TWIST2",0.0299095184535812,-0.0326228487917551,0.0629930595607243,0.0160387711152839,0.0588466772178479,0.046102044575584,0.0472536684501334,0.0801935438171279,0.0504937275807226,0.0489537500312812,-0.0785481708220159,-0.130888092666791,-0.130666894591171,-0.0329662832981451,-0.139842362214853
"TWIST1",-0.00924710454792461,-0.0180851368820248,0.00814353077471533,0.00472570322583009,-0.0345505196029133,0.00511870533635883,0.00583253273449807,-0.0094537170611618,-0.045747225802253,-0.045604223457915,-0.0483322131714792,0.0626300230084707,0.0628589675043391,-0.0434337261833523,-0.0194655693846612
"ZEB1",-0.0959342928358375,-0.00264610772158626,-0.00278976879272699,-0.0864020135211654,-0.0928331241254741,-0.00147115646776158,-0.000845396662271783,-0.00286629865399772,-0.00871179692927067,0.00465074716899412,0.00871278771335391,0.0103810838376501,-0.0895472344492071,-0.0784472019984708,0.0236490644028623
"miR200a",-0.139317581547721,-0.000715620017172714,-0.0762762815942465,-0.0603057787524517,-0.0550361489431823,-0.128863211639776,-0.130484148844883,-0.0169919604592811,-0.0150418611383067,-0.0163348447259138,0.0166910972651122,0.0304940894933911,0.0300312636640073,0.0191086687563342,0.108791272795904
"miR141",-0.139317581547721,-0.000715620017172714,-0.0762762815942465,-0.0603057787524517,-0.0550361489431823,-0.128863211639776,-0.130484148844883,-0.0169919604592811,-0.0150418611383067,-0.0163348447259138,0.0166910972651122,0.0304940894933911,0.0300312636640073,0.0191086687563342,0.108791272795904
"miR200b",0.139317581547721,0.000715620017172714,0.0762762815942465,0.0603057787524517,0.0550361489431823,0.128863211639776,0.130484148844883,0.0169919604592811,0.0150418611383067,0.0163348447259138,-0.0166910972651122,-0.0304940894933911,-0.0300312636640073,-0.0191086687563342,-0.108791272795904
"miR200c",0.0750371479225039,0.00274522818395808,0.0389051957366925,0.00369823713986269,0.0202051197364264,0.118256099603048,0.118739872313489,0.0100189768808245,0.012296046794124,-0.0771638792783096,0.0102696588228304,-0.0214993395940261,-0.0213003244873911,-0.0675456922118562,-0.0887346879091635
"FOXC2",0.0955074700202179,0.00323931676632127,0.00306839742320269,0.0870194071955465,0.0936675499757094,0.000845396662271783,0.00216271553092734,0.00345259675735519,0.00845540002918443,-0.00452167255192792,-0.00787032105549045,-0.0106854376997404,-0.0103810838376501,0.0781890491655264,-0.0230665923316514
"SNAI2",0.0227667331866023,0.0405917679347055,-0.026994464791314,0.0316288676350838,0.0579375021170983,-0.0197909341791287,-0.0188577137560573,-0.017213752546821,0.0237663260348267,-0.00346852796574859,0.020990019843289,-0.00768855057757779,-0.0070384670145438,-0.0698712380934397,-0.0804687320235185
"TGFbeta",0.089723415160199,0.100540390819653,0.066674650098703,0.0376913496592439,0.030834246196289,0.0740470859086214,0.174471361574879,-0.00233867834218223,0.0981939546895751,-0.0456753370332314,-0.0233702757491407,-0.096177907149031,-0.0959033620310707,-0.00801609663955831,-0.0757145784163313
"SNAI1",-0.0779360484549753,0.101007161158477,-0.0261862122244576,0.0947617689921195,0.106912567811716,-0.0234461922312323,-0.0236186723365443,-0.00410520344802162,0.0967488023919917,-0.0109934231678334,0.0484337936564013,-0.0935092151485579,-0.0936977917353835,0.0681715118032311,-0.0269350440648237
"miR34a",0.0187822086001737,0.104267530861016,-0.12294983348531,0.0715846434914505,0.0707287740970957,-0.0857755476664674,-0.0860152074103045,-0.128338551795501,-0.0447665568274583,-0.0549255430418332,0.0207877122769848,0.0783431625332847,0.0780444973261299,0.100451522125196,0.0180207797904392
"miR101",-0.0201579134828558,0.121809097752642,-0.0912705098934555,0.0716059066482081,0.0777565034220085,-0.061891266070633,-0.0631404083848891,-0.0675458692114961,0.0523106542821727,-0.00553298805259185,0.0390250475618304,0.0138528423912232,0.0135258477752117,0.0634824335167302,0.00121242394153
"GSC",0.0303978092042273,0.139528538431693,-0.0346588563583166,0.0984204225009469,-0.0243654635379303,-0.0360728058934101,-0.0361011997477181,-0.0217802943745182,0.112167460321646,0.0198411073067407,0.0250246955881821,-0.0915552944912817,-0.0916751838393097,0.0719887259609238,-0.12730240751488
