"","miR200b","TGFbeta","miR141","miR34a","SNAI2","FOXC2","TWIST1","SNAI1","miR101","TWIST2","ZEB1","GSC","ZEB2","miR200a","miR200c"
"miR200c",0.20551449231734,-0.0750838003513003,0.178533701422548,0.183705392072876,-0.0106532948116352,-0.0126048227889358,-0.0444094132496617,-0.0792953324470569,0.0340857956243531,0.079269287232826,-0.178462426244823,0.0751256078694865,-0.26195162403656,-0.0405759500135053,-0.217596655247967
"miR200b",0.20551449231734,-0.0750838003513003,0.178533701422548,0.183705392072876,-0.0106532948116352,-0.0126048227889358,-0.0444094132496617,-0.0792953324470569,0.0340857956243531,0.079269287232826,-0.178462426244823,0.0751256078694865,-0.26195162403656,-0.0405759500135053,-0.217596655247967
"miR101",0.0176689205687649,0.0337217938637866,-0.0972859438816793,-0.0242625358878079,0.0965520541604938,0.135351376702589,0.0438050666366936,-0.0381657732074961,0.118946392012146,-0.0381711249221323,0.0971785368910186,-0.0336918848224594,-0.192864878086115,-0.145306891878676,-0.0482271803442448
"TWIST1",-0.0325824168245693,0.034141829675779,-0.139017405718485,-0.0498702699000925,0.120761294995973,0.233007366848479,0.127728801788731,-0.0221561710796375,0.0892505813670356,-0.130775248400842,0.138899951747218,-0.0340977167466805,-0.181887609251866,-0.155165081133864,-0.00853686705807791
"miR200a",0.0443319233411039,-0.0877313797573414,-0.158443388431623,-0.088033927261745,-0.0788494260087627,-0.061687560978391,-0.0543231153964135,-0.00496864742791369,-0.0371406471330705,-0.00800312889807883,0.158424875398448,0.0877349632589002,-0.181236168448293,-0.169443559335724,-0.0134583967897031
"miR141",-0.0322447520334901,0.128885070608432,-0.151364703187733,-0.165939316633345,0.0231456844506912,0.0203939971409956,0.0506522283553075,0.0833223800195486,-0.0296564388631905,-0.0789692811318066,0.151244368472093,-0.128924489125579,-0.131219655051131,-0.141915399321707,0.00630018412317788
"TWIST2",0.0525690349211502,0.0061728900481899,-0.0526213233935297,-0.00241769431072879,-0.0912201713618233,-0.029085161088557,-0.0759010458483675,-0.0322496284432701,-0.0176869092907524,0.096932738463393,0.0525408477517034,-0.0061610059688948,-0.126853954048135,-0.089400519169269,-0.0381281550256704
"miR34a",-0.0835806939678841,0.0257111796726818,-0.138349166461883,-0.0211354692300822,0.0861281917528032,0.117321617390688,0.0384991372131845,-0.105950634223018,0.0931158381346101,-0.000208926414885537,0.138304343089561,-0.0256887305321199,-0.0948279545191905,-0.160569094667359,0.085212164195432
"GSC",0.0234979028135578,-0.00374334857108624,-0.0447940092652618,-0.0726260798372137,-0.121698285415725,-0.289307883625637,-0.243158701913493,0.160572096227057,-0.189506577906231,0.0237322759992068,0.0448151373061028,0.00368214404068904,-0.0161616766079604,-0.0325650134546121,0.00407142846162503
"SNAI2",-0.0501373036159109,0.00325509782594554,-0.0440470955708025,-0.0266660431716097,-0.0121903080398979,0.0391405964554676,0.0981108260565781,0.000874843846998437,0.0430083336545374,-0.103760302015304,0.0440179573585491,-0.00324397787589978,0.0325481105016737,-0.00614676970894655,0.0378643058469366
"ZEB2",-0.210406075867134,-0.0671948489261899,-0.0587492304272335,-0.0431994133297395,-0.0379232749298971,-0.0183464603939248,-0.0153679751766212,-0.014805300210167,-0.0115149461804855,-0.00160070246794181,0.058691001482969,0.0672405179777959,0.087469804459788,0.167574208802836,0.21856297629428
"ZEB1",-0.19447781988864,-0.0143495898379279,-0.133585713837906,-0.168019875242155,-0.101726807826226,-0.110434251377725,-0.0113172532240692,0.110357947468164,-0.105710227778681,-0.0853143673510046,0.0336433599708529,0.0142843265453308,0.105451790712382,-0.117146411917821,0.205233559051908
"FOXC2",-0.194463980718252,-0.0142843265453308,-0.133689300941845,-0.168098215327658,-0.101743515003306,-0.110454302276159,-0.0113381624779075,0.110402628644455,-0.105730373061722,-0.0854200058034013,0.133585713837906,0.0142400469194936,0.10550480340285,-0.117270848336599,0.20522140479705
"TGFbeta",-0.113000228955625,0.0774593824446973,0.00538015421616766,-0.058275430395297,0.0416727614699637,0.0530631555975273,0.0800115389166336,0.0192949455619913,0.00927664075344014,-0.0822891222758151,-0.00522484012086442,-0.177530363924984,0.112625194616525,0.0586421743241925,0.0521996045419047
"SNAI1",-0.0175855898606149,-0.0335120261702039,-0.0279644933444977,-0.0870539897512194,-0.122853221879056,-0.16437197356413,-0.053956695958697,-0.0323487929111192,-0.147745361554678,0.0181880351197738,0.0279366705693923,0.0335021135204733,0.167045870431838,0.0704078839344237,0.0843410052615787
