"","miR200a","TGFbeta","miR141","TWIST1","TWIST2","miR34a","miR101","FOXC2","SNAI2","ZEB1","GSC","SNAI1","ZEB2","miR200c","miR200b"
"miR200b",0.014759329624331,-0.0615491524502126,0.196463231548161,0.0151553325600317,0.100784980893896,0.193945125749828,0.0512237356605902,-0.00477840134210103,-0.00633782887071996,-0.19602077005527,0.0616984650151635,0.0944126044519259,-0.226599993738088,-0.014759329624331,-0.195861938448965
"miR200a",0.014759329624331,-0.0615491524502126,0.196463231548161,0.0151553325600317,0.100784980893896,0.193945125749828,0.0512237356605902,-0.00477840134210103,-0.00633782887071996,-0.19602077005527,0.0616984650151635,0.0944126044519259,-0.226599993738088,-0.014759329624331,-0.195861938448965
"miR141",0.014759329624331,-0.0615491524502126,0.196463231548161,0.0151553325600317,0.100784980893896,0.193945125749828,0.0512237356605902,-0.00477840134210103,-0.00633782887071996,-0.19602077005527,0.0616984650151635,0.0944126044519259,-0.226599993738088,-0.014759329624331,-0.195861938448965
"GSC",-0.000903018967276193,0.0178740293613108,0.174497200758041,0.0930629688480538,0.111690420435349,0.124279465842198,0.107066003858167,-0.14441178314573,-0.0978378429042826,-0.17378326951753,-0.0179604728733151,0.0109663011224353,-0.197518375228471,0.000903018967276193,-0.143349339743258
"TWIST2",0.12250900207831,0.0138046958898947,-0.081612793698415,0.281292284290773,0.0234947849248128,-0.127595383257411,-0.0748102169630592,-0.233641593694372,-0.0528155931361768,0.0810243980221117,-0.0137758345544637,-0.215307236952616,-0.172530106643728,-0.12250900207831,-0.0172182096367522
"SNAI1",0.0439707611956139,0.000238769117507399,0.0296567465487616,-0.126942775279765,0.112270556124169,0.138437035289646,0.180623895532016,0.16505618188996,-0.108015796604816,-0.0295099041245941,-0.000406491150948714,0.0472848714143211,-0.106432512000061,-0.0439707611956139,-0.00314937927702127
"TWIST1",-0.0275408206916017,0.00864903800514985,0.146489966298458,0.213989219110639,0.068840099657442,-0.00317941502615845,-0.108627377036718,-0.360360052357181,-0.0298371569940909,-0.146560231256986,-0.00865705853771322,-0.246237050147793,-0.0995393372036912,0.0275408206916017,-0.0777202875773661
"FOXC2",0.190921034715486,0.0108660718199067,-0.124592129958293,-0.126731640131604,-0.156997225233197,-0.116153778540032,0.0256701425502266,0.146655946447741,0.087386221296517,0.123514610495664,-0.0106723484568692,0.142172143191392,-0.0850381434929886,-0.190921034715486,0.128495245675267
"ZEB1",0.19051068392054,0.0110669803873135,-0.123514610495664,-0.127732297279582,-0.156305293369999,-0.115036872749581,0.0262614658583191,0.147786508644085,0.0870687849319988,0.0234820278987812,-0.0108660718199067,0.14240965891799,-0.0849258987461316,-0.19051068392054,0.127896470903152
"miR34a",0.152273923985845,-0.00919692884818932,-0.150942051329806,0.177628891422631,0.111221323482461,-0.170220107145443,-0.072088633578866,-0.230134530177415,-0.0529679571967064,0.150155990926773,0.00916719890528295,-0.208984227959641,-0.0443596964026187,-0.152273923985845,0.0858039210617298
"SNAI2",-0.0269760942026476,-0.00212205237287751,0.0191344007991107,-0.141873331961105,-0.0517449998884606,0.0467144009709891,0.0250878819590213,0.116540991828466,-0.0515489866577122,-0.0186296733753641,0.00220673506937986,0.093270904418561,0.038329053063009,0.0269760942026476,0.000463876963774033
"TGFbeta",-0.0124271277305023,-0.101190415706682,-0.0939668183653377,0.0493018486748103,-0.0384380386468479,-0.188304767379801,-0.0983982685647407,-0.0522753553582098,0.017883768109755,0.0932216244737312,0.00109039634809698,-0.173628798890145,0.12084821763262,0.0124271277305023,0.133339269908161
"miR200c",-0.00686604217694787,-0.112399480219778,-0.161409561605799,-0.100329544521097,-0.0511808582176992,-0.04145286526424,0.0828729914697482,0.088611938644197,0.0586035059804707,0.16094303316978,0.11263718582318,0.22524026664396,0.171078714232472,0.00686604217694787,0.110423308854443
"ZEB2",-0.225917788821817,-0.0795889809742534,-0.0605995301878978,-0.0299227499664501,-0.0290914998568414,-0.0269103892276468,0.0263174625394791,0.0282592326954676,0.0309208482856617,0.0602566264050072,0.0795509234312484,0.0838543059319102,0.194196159874801,0.225917788821817,0.266479044275889
"miR101",-0.0285023328231193,-0.0200279187567964,-0.150659397288729,0.117000964405862,-0.127916882628296,-0.143619883818226,-0.17740173760583,-0.152694456447493,0.124044346693456,0.14979980038887,0.0201194052361504,-0.126188736197901,0.202401753854345,0.0285023328231193,0.134826964349922
