"","ZEB2","SNAI1","ZEB1","TWIST2","GSC","miR101","TGFbeta","miR200c","miR200a","TWIST1","miR200b","miR141","SNAI2","FOXC2","miR34a"
"TGFbeta",-0.096499989872576,0.0259422228124563,-0.00197875919784327,0.194243632992715,0.0260204817125326,-0.123013245786929,-0.126218907214243,-0.0495309585282743,-0.0495309585282743,0.0185457404587717,-0.170817006686568,0.00206378974294868,0.222636905873727,0.0309877775177466,-0.0403028213049123
"ZEB2",-0.0871263236852191,-0.0312933546629182,-0.0138680992661336,-0.00761260808058106,-0.00292588779130069,0.00107117822798206,0.0038113599585509,0.00388389735602563,0.00388389735602563,0.00395839033674574,0.0109235817886654,0.0131439700874604,0.0291067813917556,0.0315842254652616,0.0337664650379678
"SNAI2",-0.0696947338901808,0.105466505425648,-0.0454635421803226,0.248598078003732,0.202494328147141,-0.281673180028725,-0.202948535337472,-0.0575122230025308,-0.0575122230025308,-0.0837490488952512,-0.225498710968131,0.0456849256090529,0.160964206368617,-0.114128742506645,0.0685229266999009
"TWIST2",-0.0217120142550489,0.0284063986092737,-0.075939452175693,0.0567888295902596,-0.00840827214978074,-0.0539595379273236,0.00874498772980869,-0.0482097450506352,-0.0482097450506352,-0.0613863149393428,-0.0037698429076875,0.0757894948321808,0.0671097744921277,-0.0414510027993594,0.0536047858891696
"TWIST1",-0.0191942304710321,0.0272657241249794,-0.078214633479488,0.0642647848478639,-0.00119947684217146,-0.082296252817441,0.00139464313454661,-0.0549220598355096,-0.0549220598355096,0.0344433438103347,-0.0208508202535645,0.0781485170055962,0.103026538547394,0.0607599454122973,0.065043428498817
"ZEB1",-0.014266339470117,0.105358471681478,-0.0975012739544011,0.0804415005979323,0.00281754557327679,-0.08501743991682,-0.00344714439597818,-0.00248333930427032,-0.00248333930427032,-0.00518372966431147,-0.0132452922965771,-0.0019969540535992,0.0672427750854989,-0.116665212958426,0.0076183225056559
"FOXC2",-0.0141398790297266,0.105618327996221,0.0019969540535992,0.0799555637169076,0.00391346631274654,-0.0848503525692428,-0.00281754557327679,-0.0020822488939774,-0.0020822488939774,-0.00537489998511917,-0.013771180771316,-0.00292710217247876,0.0670234260186756,-0.115954177252403,0.00679537855985232
"miR200c",-0.0136594190963056,-0.0536232529189289,0.0058032021924251,0.0685469555597046,-0.08317963627035,-0.0495504684769419,0.083219054787497,-0.003383214233395,-0.003383214233395,0.0160626363438808,-0.0494222514843089,-0.00571619093650093,0.152439932753469,0.0739178802854939,0.00606294554506974
"miR141",-0.0136594190963056,-0.0536232529189289,0.0058032021924251,0.0685469555597046,-0.08317963627035,-0.0495504684769419,0.083219054787497,-0.003383214233395,-0.003383214233395,0.0160626363438808,-0.0494222514843089,-0.00571619093650093,0.152439932753469,0.0739178802854939,0.00606294554506974
"miR200b",-0.00625044647675941,-0.0641074086407109,-0.017918277228355,0.0659613952685827,-0.0942003205086811,-0.0497582754211312,0.0935349837192596,-0.0120518588017414,-0.0120518588017414,0.0177858654011983,-0.00317146225814332,0.0186097390174545,0.16265797531129,0.0863953736438354,0.0266952634595228
"miR101",0.000875687148010765,0.00736976490066877,0.101539940302958,0.102081790991948,0.0360228631517969,-0.0157511354196227,-0.0362832477468812,0.0513123502602264,0.0513123502602264,-0.0407012473731695,-0.0646550287457931,-0.101412074837886,0.126086428035278,0.00448893377438203,-0.0642561713894391
"miR200a",0.0205201151835703,-0.00602829555302361,0.00597223578890624,-0.148643373373352,0.0802964294788591,0.103541176971666,-0.080577137100967,0.0132896711703971,0.0132896711703971,-0.0132189780540935,0.0535833517422329,-0.00585745498321904,-0.20115485163139,-0.0325785088210272,0.0717197745891817
"miR34a",0.0228845665035176,-0.122735195011864,0.00497683829816693,-0.19564014816965,-0.037501505675017,0.1293078213685,0.0370737585372824,-0.0275381941164076,-0.0275381941164076,0.0221264581489656,0.0803194348199912,-0.00461494854478985,-0.130761568088476,0.127087920188377,-0.0708784806858114
"SNAI1",0.0466179985038962,-0.107804835878575,-0.120160796412361,-0.120131846404832,-0.0534244180957542,0.0149053895008553,0.0530267225885636,-0.0323171015337325,-0.0323171015337325,0.0402249406651063,0.101320227808075,0.120396053432975,-0.124123568162015,0.00104060018728044,0.114172055151862
"GSC",0.0653356780390059,-0.0906277525776915,0.103540377051251,0.0595260462305936,0.0202612834589243,0.0861770877363821,-0.0202568666371431,0.0872476565338887,0.0872476565338887,-0.219969032286931,-0.0164525513987518,-0.103553152145713,0.0176363641634836,-0.146465960777709,-0.100097411261233
