"","ZEB2","ZEB1","miR141","miR200c","miR200a","TWIST2","miR101","TGFbeta","GSC","SNAI2","FOXC2","TWIST1","SNAI1","miR200b","miR34a"
"GSC",-0.0977177020998419,0.180470560247264,0.180431252264304,0.144909505942435,0.144909505942435,0.126797757416056,0.131176423110704,0.00583295258011579,0.0058436791472988,0.114891545775051,-0.15647479482696,-0.119541537983879,-0.0425766241371587,-0.111464753682838,-0.141260625727487
"ZEB2",-0.0819478321929541,-0.0437990477686232,-0.0437915825193586,-0.0305120537171366,-0.0305120537171366,-0.0250053394124676,-0.0127628329051696,-0.00441202472507744,-0.00436381850393774,0.00220458013101878,0.00686537454761702,0.0217351885292597,0.0277077710065924,0.0356946201035945,0.0504538683845364
"TWIST2",-0.0601428374332254,-0.159756989662374,-0.159732802994065,-0.0508365200954998,-0.0508365200954998,-0.00534087229199974,-0.0345402781370628,0.00738421584628902,0.00740402264511419,0.00519300162707942,0.057358040937078,0.162912165489457,0.0518984577293711,0.0367786487609488,0.125072379310069
"SNAI1",-0.0460186871742189,0.179685091126469,0.179617698182325,0.124034519844897,0.124034519844897,-0.111831484152782,-0.227558330343709,0.0246119495588376,0.0245972788372364,-0.150587418673564,-0.09812889468346,0.160545241949521,0.104179289315953,-0.133460440051672,0.0486626490857059
"miR101",-0.0248146824255268,-0.253200191213291,-0.253098239815806,-0.118157451597901,-0.118157451597901,0.0247464667324152,0.234091470855971,-0.0039450021290701,-0.00390981502162626,0.12364328140919,0.109945964510609,-0.218765288444055,-0.245911345422925,0.117762772712218,0.0584256517917212
"ZEB1",-0.0188707985046664,0.165150562135247,0.265098429980234,0.245921751856226,0.245921751856226,0.200233727414814,-0.0346286270719143,0.00011588801890738,0.000122286380926703,0.0883812994981511,-0.105046156503835,0.149752355263865,0.160791590212991,-0.230827071769696,-0.215392637766995
"TGFbeta",-0.0172522228652459,0.0182717314317749,0.0182802031097005,0.0180357727847745,0.0180357727847745,0.0437436879550281,0.111533962786524,0.0862524490072011,0.18625083579174,0.0393530409701921,-0.0264567945286888,-0.148005725543653,-0.181274029336803,-0.0706882154620398,-0.15539123106101
"miR200c",-0.00997664159015839,-0.212150542494236,-0.212102408607981,-0.101344071092284,-0.101344071092284,-0.0590367891188019,0.0885932269481198,0.113056794726517,0.113069934232233,-0.0452855595244941,0.0109162596732122,-0.207416452182782,-0.2222332434836,0.0419584324095381,0.0799346951227286
"SNAI2",-0.00397533438575408,-0.134889930978852,-0.134793808370613,-0.0665283045185467,-0.0665283045185467,0.045911357958594,0.0398437102373022,-0.00400881694248072,-0.00403875526952701,-0.0384771038711151,0.0467052343488638,0.0654438816973261,-0.0225671119884529,0.0632896216875761,0.0768407000958356
"miR200a",0.00997664159015839,0.212150542494236,0.212102408607981,0.101344071092284,0.101344071092284,0.0590367891188019,-0.0885932269481198,-0.113056794726517,-0.113069934232233,0.0452855595244941,-0.0109162596732122,0.207416452182782,0.2222332434836,-0.0419584324095381,-0.0799346951227286
"FOXC2",0.0188628021770538,-0.265098429980234,-0.264962805627654,-0.24582625413949,-0.24582625413949,-0.200128088962418,0.0345824114225844,-0.000122286380926703,-0.000133356287385993,-0.0883883057337007,0.104982919054926,-0.149597029378209,-0.160705755321695,0.230762488974553,0.215345633715693
"miR200b",0.0238109899301634,-0.250524010947545,-0.250454587073137,-0.138207930325733,-0.138207930325733,-0.121414485569124,-0.0595454337684252,-0.112738957615619,-0.112761653125492,-0.0112222396661907,0.0333164378681728,0.0840094774372584,0.106388026492686,0.150691501593458,0.235246572563874
"miR141",0.0238109899301634,-0.250524010947545,-0.250454587073137,-0.138207930325733,-0.138207930325733,-0.121414485569124,-0.0595454337684252,-0.112738957615619,-0.112761653125492,-0.0112222396661907,0.0333164378681728,0.0840094774372584,0.106388026492686,0.150691501593458,0.235246572563874
"miR34a",0.0822356862618588,-0.143512563861609,-0.143485669838215,-0.157734363591875,-0.157734363591875,-0.156264982079572,0.0800942330509134,0.005462030085961,0.00547598495712114,-0.037642934540611,0.0839316211828338,-0.192946849079137,-0.210100936851386,0.0551161491059706,-0.0163605279022105
"TWIST1",0.100266275512608,-0.242329624654403,-0.242239135833273,-0.183289048829287,-0.183289048829287,-0.0811668630024458,0.112909359845837,-0.00999603195784646,-0.0100040524904098,-0.00484043140433316,0.198302235166248,-0.207049711476791,-0.231009568537346,0.123427040020297,0.0709389867895905
