"","miR200b","miR200c","GSC","miR141","ZEB1","TWIST2","TWIST1","miR101","miR34a","SNAI2","FOXC2","SNAI1","TGFbeta","ZEB2","miR200a"
"GSC",0.137206427246048,0.131147095484645,0.0443971413395985,-0.0120863471281303,-0.0120524439928273,-0.0163590031541874,-0.358661011705704,0.22006960435565,-0.11466967967344,-0.0630511548711822,0.18891164778326,0.279574137111887,-0.0443485563000048,-0.289419287698904,-0.131343668449369
"miR200b",0.18064406836018,0.149312914471572,0.169094296383934,-0.0183248052291407,-0.0183942291035483,0.111722668975971,0.0309865777937565,0.00257492454725501,0.119573856118038,-0.10773864249146,-0.126582425281914,-0.104942631255211,-0.169427562028905,-0.28402168251668,-0.129774868109975
"miR200a",0.18064406836018,0.149312914471572,0.169094296383934,-0.0183248052291407,-0.0183942291035483,0.111722668975971,0.0309865777937565,0.00257492454725501,0.119573856118038,-0.10773864249146,-0.126582425281914,-0.104942631255211,-0.169427562028905,-0.28402168251668,-0.129774868109975
"miR200c",0.100918642126066,0.102012550694536,0.136578820933451,-0.00986513471634017,-0.00991511990591363,0.0560574224210286,0.0272302399062559,-0.0034459908779808,0.0107656499368499,-0.118580065153168,-0.117558021583358,-0.125349375799799,-0.136587182437088,-0.193879813463181,-0.0916446755783366
"SNAI1",0.0521468612455968,-0.0117123790963426,-0.0414906864071997,0.151835442723568,0.151844098698045,0.00844405573986578,-0.259209260894746,0.309444066956391,-0.268425667416151,-0.215833615518807,0.316352846766029,0.202200644294794,0.0415521448355293,-0.146974672660162,-0.148887493054262
"SNAI2",-0.24987084602272,0.00695730278455276,-0.242938768657181,0.0656274744000252,0.0657852226525698,-0.395943310211429,-0.203526848489077,-0.285501655313608,-0.0629229022252249,0.319842455316996,0.11756716829642,0.0604509763327417,0.243381000516693,-0.0824656836713532,-0.0742942287985363
"TGFbeta",-0.147608459895438,-0.0643501191906857,-0.259061315623248,0.110603851291026,0.110684489114244,-0.163983283395725,-0.054260703724129,0.00059459190636857,-0.162224012927018,0.115347949385511,0.135938036573505,0.118485571185691,0.159235542893042,0.0189201602817474,-0.0474911229827822
"miR34a",-0.0898737539986746,-0.101524343004593,-0.0867379456639612,0.0797929745325098,0.0798109038814385,-0.0127954296769076,-0.0375660278304511,0.029449951745278,-0.0928008040347665,0.0597625210744954,0.12502470754945,0.113303559874071,0.0868756741749765,0.032283464940656,-0.073167510757649
"FOXC2",-0.0538430995982383,-0.0510489585890534,-0.0211527222032319,0.0102479049573724,0.0102703310314211,-0.0396716760178486,-0.00388603785556178,-0.00736802633471978,-0.0147438563678025,-0.0334364336133443,-0.0430117143740504,-0.0389402954324272,0.0215290990228477,0.111693032649717,0.0395837243706683
"ZEB1",-0.053894765834353,-0.0511085723152586,-0.0215290990228477,0.0102703310314211,-0.0896905698523192,-0.0397773144702453,-0.00402344152364231,-0.00735025108497752,-0.0147774306901608,-0.0333572092575138,-0.0429299684035098,-0.0388332957734151,0.0216378711771762,0.111731829646652,0.0396190295871587
"miR101",-0.0961931198130078,-0.13254482710048,-0.078672041933991,0.120550232971405,0.120581261657596,-0.0192815065001729,-0.239845626143495,0.269433602821526,-0.169966876763272,-0.167272821876716,0.2901309636399,0.27514718143035,0.0788954800662593,0.147640707184086,0.00999934853486222
"miR141",-0.100918642126066,-0.102012550694536,-0.136578820933451,0.00986513471634017,0.00991511990591363,-0.0560574224210286,-0.0272302399062559,0.0034459908779808,-0.0107656499368499,0.118580065153168,0.117558021583358,0.125349375799799,0.136587182437088,0.193879813463181,0.0916446755783366
"ZEB2",-0.24577097179599,-0.243050108495482,-0.0701320527646669,-0.0296029372393226,-0.0295815368580972,-0.0159338679116442,-0.0085427215457095,0.00120055081514477,0.0155253841745532,0.0479824872966875,0.0494594726070112,0.0505024522379742,0.0702741342585523,0.200840918312282,0.267738519725492
"TWIST1",0.0295290348751155,-0.0072239358357768,0.0767084281031971,-0.164675087198539,-0.164757279050397,0.181997795138889,0.249625414008513,-0.0617237646865299,0.189381649873567,-0.0970264826481038,-0.382975071904656,-0.257310459365241,-0.0770038510526143,0.209968684091767,0.181765260817607
"TWIST2",0.0303847524426023,-0.0228878466407954,0.0793320591432137,-0.176749288434419,-0.176848673653286,0.20098437182815,0.367052405160741,-0.0554629720563863,0.21217162471651,-0.130573837276851,-0.301698721969864,-0.272140801089956,-0.079675565625696,0.22948216610841,0.203824294546528
