"","ZEB2","SNAI1","miR141","TWIST1","miR200c","miR34a","FOXC2","GSC","miR200a","SNAI2","TWIST2","miR200b","TGFbeta","miR101","ZEB1"
"SNAI1",-0.115830926897269,0.0809598573286129,0.0705284893103258,0.211049471375779,0.0903818662799299,-0.11558243995295,0.21217403426282,0.0241702088329588,0.0237509029907311,0.0372674983650286,0.0660325962765822,-0.00224610356001504,-0.0238922581345135,-0.159837367904682,-0.0705380727106399
"ZEB2",-0.071127361714079,-0.0449299067828905,-0.0347569535249873,-0.0339983975767305,-0.0316847376236971,-0.0192252423224254,-0.0179590944567594,-0.0158688684697362,-0.00170569356768662,0.0104299201222493,0.0149352728974549,0.0155375067987756,0.0165488299047592,0.0168595099034548,0.0348609693314084
"miR200a",-0.0288265778744368,-0.0451387808604308,0.176545321067113,-0.0615023716575267,0.101681787997842,0.169256362777779,-0.00864413965249928,-0.0595296394721436,-0.0731839118307318,0.0785699530877822,-0.0399086784056741,0.075593499076934,0.059683730039173,-0.0167186885821478,-0.176594380605027
"miR34a",-0.0227916814374921,0.18637156289253,0.153245505619868,0.0997221573234132,0.143988375157709,-0.00709349582043081,0.161775488636682,0.0343524620485618,-0.123895406116701,0.117554060863701,0.0154007219081407,0.118861043982931,-0.034053342418912,-0.145091826834662,-0.153343645214004
"TWIST2",-0.0171420544115067,-0.0679984139796661,-0.0919882859543506,-0.0167997839590624,-0.0358970883855523,0.000417681878405672,-0.0155640026823057,-0.0048293630631422,0.0518317109148791,-0.0984010516775356,-0.0990212065604571,-0.0706735313906458,0.00484237895951303,0.086490435377315,0.092077556748289
"miR200c",-0.015104948640923,0.0617059831993749,-0.157662280124727,0.0752889999664283,-0.0692145654380664,-0.160069513972963,0.0163084835255556,0.0756922335601623,0.0858534776202369,-0.082484962149778,0.0342719902205488,-0.124024454159571,-0.0753326889037604,0.0104466906121464,0.157710414010983
"miR141",-0.015104948640923,0.0617059831993749,-0.157662280124727,0.0752889999664283,-0.0692145654380664,-0.160069513972963,0.0163084835255556,0.0756922335601623,0.0858534776202369,-0.082484962149778,0.0342719902205488,-0.124024454159571,-0.0753326889037604,0.0104466906121464,0.157710414010983
"TGFbeta",-0.00932940037714252,-0.118223456047479,-0.0121647119233718,-0.100280117490511,-0.00269101964091027,0.100949192224509,-0.0636532530773355,-0.193741001093855,0.0112759014403172,0.0420337627562276,0.0289220955138236,0.0699381442481346,0.0939862098439352,0.0386704399789726,0.01225225259527
"FOXC2",0.00400735930150339,-0.157716779879875,-0.1445361960807,-0.0550398426566398,-0.169429130204069,-0.122180172232757,-0.12850132943436,-0.081055635323584,0.16550516094255,-0.0909225853894845,0.0711254838529834,-0.178018193411519,0.0810058207445172,0.122157646579814,0.144500955107195
"ZEB1",0.00416165880839652,-0.157706197496016,-0.144500955107195,-0.0550458167291651,-0.169304693785291,-0.122194348057752,-0.128579990651295,-0.0810058207445172,0.165591398274633,-0.0909242022130729,0.0713842980613552,-0.178063401368119,0.0812822299837519,0.122035589864917,0.0442899201335366
"TWIST1",0.00863858462662357,0.23867099772221,0.111465414537478,0.147234875718234,0.0440753931515853,-0.0256152614512811,0.337201009505859,0.0287434099891668,-0.0719720822075426,-0.0220867570066562,-0.0529769915518913,0.0381413916134786,-0.0290588842699924,-0.108034665076498,-0.111471896544723
"miR101",0.00962722429707355,0.222827494658689,0.156070573859945,0.228770323827518,0.0711375721944101,-0.00394229027809452,0.236627245498801,0.0349991658982593,-0.0804143520641789,0.0718912352995058,0.0193600717358672,0.100547095154577,-0.0351645453032454,-0.196970146257667,-0.1561677516134
"SNAI2",0.0110671675334908,-0.104583919323592,-0.0872033393906027,-0.0132104596132687,-0.0488835690856278,-0.00831501978546289,-0.0597034354883126,-0.0232298431812993,0.0364463587232954,-0.101849305672911,0.00220939044607098,-0.0293832658476506,0.0228902570145172,0.053261239931107,0.0873282652891147
"miR200b",0.0187494710022707,-0.171812273907874,-0.188067854923752,-0.123276193022639,-0.10380753600392,-0.0694222857138367,-0.0811894846151278,-0.165668101373939,0.0835972954242028,0.0238758008380568,0.0403840479125408,-0.0238128467742496,0.165265554698831,0.0733503901382242,0.187989174532757
"GSC",0.151693615288754,-0.0957980039871892,-0.0778145999065213,-0.0175953527604682,-0.109377690208758,0.0153917520184815,-0.128596552840888,-0.03744601513618,-0.034813898252536,-0.0506049142147601,-0.0299101276175102,0.0144928306782654,0.0373684052677382,0.121554423105255,0.0778509597907593
