"","miR200c","miR200a","miR200b","TGFbeta","GSC","miR141","TWIST1","SNAI1","TWIST2","FOXC2","miR101","ZEB1","miR34a","SNAI2","ZEB2"
"TWIST1",0.131981645543318,0.12641842342944,0.149662966159847,0.0536852878180228,0.0536304808455065,0.0230486036262671,-0.00376920424726232,-0.0338172882227896,0.118763917807824,-0.156845059845918,0.136784212969365,-0.023050937148875,0.0422887789183534,0.173189896972661,-0.287514580990543
"miR141",0.144805759648169,0.130275586764634,0.130073630672086,-0.0492825270624557,-0.0493530025931126,0.0137764129066197,-0.0369554115825663,-0.0731122069530743,0.10880999303122,0.0375881817841972,0.120135616053499,-0.0138347289611221,-0.0163610905221376,0.168518541764216,-0.280418143893418
"miR200b",0.133132042810764,0.128370377765793,0.0547786494463212,0.122030308156219,0.121969388629719,0.00468528680389708,0.0537949159470642,0.0207898563025168,-0.019812008318362,-0.0859643137541234,-0.0730745397570122,-0.00469546897214353,-0.0905333050879376,-0.125966220541328,-0.265597317848816
"miR101",0.135702266843568,0.11601095627312,0.107482412571244,0.0392313064669548,0.0392013974256275,0.0178569804829361,0.00320751439400946,-0.0126736358602748,0.00506922233872393,-0.0352487138208396,0.0896883717644118,-0.017849138067745,0.0235351952220648,0.0670034225297266,-0.257665519307379
"SNAI2",0.138857317417988,0.112967963126673,0.284989852992483,0.233011423081622,0.232921608100483,0.0255683268849436,0.0840685494223257,-0.0962598578987113,0.188391037848473,-0.109730587660421,0.246793172363449,-0.0256048333807554,0.0233878682907109,0.096802107931663,-0.256463168325109
"GSC",0.0611231009279426,0.153413165923626,0.158861588868616,0.0348460945429112,0.0348429396702103,-0.0929203556577315,0.0183077070625105,-0.0724056967051043,-0.0110472467462836,-0.154194175164365,0.122135568948818,0.0929522933938865,0.088918790751749,0.0713354628815955,-0.232884744991071
"miR200c",0.101959668572317,0.0963454168540022,0.0545493588890564,0.111410789165325,0.111421539670001,0.00542591290460774,0.0500242272280134,0.0794346303349744,-0.110871720560059,-0.0476995260481732,-0.131885236085306,-0.00537963032166935,-0.0014518876904027,-0.185183798409627,-0.198161885297878
"TWIST2",0.0623624554243205,0.130602404393844,0.0603924849346956,0.0143168248919214,0.0143411589590495,-0.0679054220650797,-0.0140404009359524,-0.0576260170574015,-0.121495265300323,-0.0317578777931482,-0.0110150657174143,0.0679410424311339,0.0702519884255392,-0.0876362224798212,-0.192171757128208
"FOXC2",0.0342869064331077,0.0363050829859161,0.0379806888545464,0.0115595483520243,0.0114765240535796,-0.00150205095660223,0.00455061469784782,-0.0891936263864667,0.0898688037396116,-0.0979273377849251,0.090565355464929,0.00143690855103202,0.0104529795282491,0.0914442001689394,-0.0844653592713713
"TGFbeta",-0.0180728351916301,-0.00300808921211486,-0.123973302042906,-0.111091756256647,-0.0110982091184915,-0.0133764018969116,0.0145976740501228,0.0310872548422873,-0.117853419050319,-0.0507861421970602,-0.0924951442057493,0.0133208653416213,-0.052599778345976,-0.154249994564012,0.0236085976565551
"ZEB1",-0.0343650409286193,-0.0363126070484468,-0.0379816114659056,-0.0115697857312552,-0.0115595483520243,0.00143690855103202,-0.00452074433522162,0.089152472671462,-0.0898371122038926,0.0980090837554657,-0.0905878707812692,-0.101447435236179,-0.0104298505506245,-0.091438271815782,0.0844852020102616
"SNAI1",-0.00972421788364442,-0.0902221451794804,-0.076475201972572,-0.0194812519885515,-0.0194745113867347,0.0828275532704394,0.00999972857078823,-0.0998541512538901,0.0323068869600331,0.0196148885845773,-0.0709276882504297,-0.0828093138956481,-0.0875524130240816,-0.0427354661131168,0.100074544191708
"miR34a",-0.127437436199983,-0.0298344204659634,-0.0959370531072742,-0.0436152907416015,-0.0435612914575471,-0.0157630294603223,-0.0251131571858228,0.119477510700953,-0.195843354238067,0.126845333720561,-0.124193055984096,0.0157814306342228,-0.0561522823929981,-0.123535590380746,0.187404038461478
"miR200a",-0.101959668572317,-0.0963454168540022,-0.0545493588890564,-0.111410789165325,-0.111421539670001,-0.00542591290460774,-0.0500242272280134,-0.0794346303349744,0.110871720560059,0.0476995260481732,0.131885236085306,0.00537963032166935,0.0014518876904027,0.185183798409627,0.198161885297878
"ZEB2",-0.283388940848315,-0.252567823797612,-0.237000333251276,-0.0827707556210671,-0.0827352352475957,-0.0355306997882395,-0.0322924984748297,-0.0202467049440488,0.0056820406443128,0.0245222736481414,0.035487326143799,0.035528211371818,0.0433760844934127,0.0507975982451231,0.227177991933508
