"","miR200a","miR200c","miR141","SNAI1","TWIST2","SNAI2","TWIST1","FOXC2","miR101","ZEB1","miR34a","GSC","TGFbeta","miR200b","ZEB2"
"miR200a",0.0805468116282981,0.219214066123129,-0.142471881124673,0.0136479238317834,-0.00330692044010429,0.0791615960503902,0.0491801750150856,-0.0430254728827982,-0.0461077895567837,0.142001650082019,0.0765521635792372,-0.0896797530803321,-0.089917458683734,-0.214930738470496,-0.308011200817304
"miR141",0.0805468116282981,0.219214066123129,-0.142471881124673,0.0136479238317834,-0.00330692044010429,0.0791615960503902,0.0491801750150856,-0.0430254728827982,-0.0461077895567837,0.142001650082019,0.0765521635792372,-0.0896797530803321,-0.089917458683734,-0.214930738470496,-0.308011200817304
"miR200c",0.209646424716396,0.0676280264028374,0.145036087385127,0.0829473796514508,0.080397497862907,0.0304957516506301,-0.0156437703481214,-0.0248371177904655,-0.0567676242664893,-0.144985176543894,-0.159430783675939,-0.164058569608802,-0.1639427030584,-0.0851133587969121,-0.283127587846495
"miR34a",0.182111316226499,-0.0558734291705872,0.131272805681421,-0.0699578760903689,0.00802991142509005,0.0909147064122778,0.0510252441529022,-0.0442318023732707,-0.00687944204509228,-0.131020379321504,-0.0283165733224858,-0.0470070671052817,-0.0473365234113666,-0.0245258708474545,-0.15227947335552
"miR101",0.0916417071045724,0.0359723355394816,0.0603398835962475,0.027337128762902,0.008042706438204,-0.101166096379433,-0.0159012112060817,0.0255602996038135,-0.013208014732018,-0.0604772963493785,-0.0446123805699866,-0.0412428864673605,-0.041000095425998,-0.0113757425969867,-0.130832860638152
"TWIST1",0.0718787948470635,0.0403289264666096,0.0415699166462108,0.0118849228883137,0.087014172502947,0.01989577329882,-0.101188279427607,0.105833558544185,-0.0160609927823916,-0.0418138993988859,-0.0348281568122451,-0.0182433469374888,-0.0179653018086256,-0.0396195780170168,-0.113666023757636
"ZEB1",-0.117067604822365,0.145043047928016,-0.0828604419072013,-0.107810497739202,-0.0805600542727091,0.0785577806572063,0.0831417754624141,-0.074917881810915,0.0148330682491513,-0.0166483127859458,0.130160333367244,0.0617487042961603,0.0609591464229759,-0.156470702226368,-0.0316578947197862
"FOXC2",-0.117596025521639,0.145166326798712,-0.0834616742733657,-0.108380770647123,-0.0810354273084942,0.078616525247584,0.0836435975545343,-0.0754530865614355,0.014741821967141,0.0828604419072013,0.130634104360522,0.0621582908351541,0.0617487042961603,-0.156637694882382,-0.0315154416241709
"TGFbeta",0.0380366548267533,-0.0440035688482241,0.0837647438276826,-0.0127542093424259,-0.0680779222903364,-0.0389962383694612,-0.0281280867613498,0.0290678009193296,0.0260143236038802,-0.08337975313084,0.0180883079561799,-0.0106622428193536,-0.110746130023329,0.105656006572923,0.00678442965772303
"SNAI2",-0.0203290865023857,-0.0401240493419999,0.0199854411878901,-0.0144499564835235,0.0786405431876943,-0.0426599750185558,-0.0791217964471993,-0.0254745363001464,-0.0199017085727601,-0.0198993662390495,-0.00340047090235443,0.0057044694188475,0.00578401983071334,0.0206339604323701,0.0620787126843438
"SNAI1",-0.1561725458566,-0.0105093885942638,-0.135976311595392,-0.104314935071353,-0.0345036356522311,-0.0856710549930791,0.00962791658574458,0.0243207832817457,-0.00576558516791903,0.13575434767844,0.0197895098560439,0.0455390435940025,0.0456742521363275,0.0400069742854573,0.18008494660433
"miR200b",-0.221773286806733,-0.0516446707178922,-0.172094173447551,-0.00288040158315441,-0.0200059456389388,0.0696413264496803,0.0513420967274759,-0.0396369643411211,-0.0334730125440723,0.171706325402528,0.103707607232128,-0.00654986379191614,-0.00614015011369069,0.0124976870757518,0.27892674547758
"TWIST2",-0.122255278488941,-0.157588978152047,0.0384262088133733,0.0151453304611729,0.0699434612706623,0.0278384023980903,-0.169163763649567,-0.07584609572959,-0.0219323937855257,-0.0385449433668874,-0.0235833965831075,0.0280862270584303,0.0285157516386676,0.102995549756564,0.288717918868126
"GSC",-0.129408129866114,-0.134223101984312,0.0176835749316328,0.0217869007023505,-0.028883753033448,-0.0797658021162001,-0.108786112265224,0.0444473671664079,-0.0207538621355045,-0.0179808415527677,-0.0127289578697524,0.0248641979421837,0.025484445915178,0.145393167418655,0.28937213665644
"ZEB2",-0.395046260522737,-0.337963143781207,-0.0643999410535524,-0.0457362815324916,-0.045341255183,-0.0277021744722481,0.0054426049232184,0.00803943635849389,0.0366504823572397,0.0642760179157588,0.0690499364815195,0.125360768550788,0.126294446939178,0.327297577639899,0.418667570773125
