"","ZEB2","miR34a","miR200c","SNAI2","miR101","SNAI1","TWIST2","GSC","TWIST1","TGFbeta","miR200a","miR200b","FOXC2","miR141","ZEB1"
"GSC",-0.116206929090116,-0.0930969351586988,-0.099926308241889,0.0828722234925518,0.19833080058082,0.216126917452599,-0.0813548008159982,0.00969103702231626,-0.0796771581843852,-0.00959954571399055,0.21329619660638,0.170392533157677,-0.224056097828608,0.288484805326919,0.289438515263486
"SNAI1",-0.0929905577971805,0.0809712426641853,0.00596002200949147,0.0767464733824972,0.145840692855117,0.0136629922121193,0.00491243137972665,0.00084103414916717,-0.144004084611854,-0.000844602703070177,0.0878756868346662,0.0287639521922824,-0.0333015461346145,0.0838127056086581,0.0837669526007069
"TWIST1",-0.0876189197880037,-0.0980436169159724,-0.103771064043604,0.103692312927331,0.135942991040238,0.20338283432119,-0.141910282179277,-0.00132242308250141,-0.0912823184095025,0.00140262840813503,0.19251121738527,0.102626022287683,-0.201735242925678,0.269488271186233,0.270270001259895
"ZEB2",-0.073179837188196,-0.0526106294827861,-0.0366037143595044,-0.0355417961660492,-0.0312068518684233,-0.0263768061960372,-0.00683621023020692,-0.00233859675400314,0.0008503459232085,0.0024857525869559,0.0065011234263555,0.008868160830844,0.025807466563097,0.0471928262242833,0.0474720265467821
"FOXC2",-0.072488500407844,0.315882511942481,0.350361738085543,0.082193469054241,-0.0474804086564892,-0.181046999557134,0.158146426612951,0.00689699558549427,0.0294725110925032,-0.00706304418238362,-0.290171145598411,-0.275962325625204,0.137117186215593,-0.411887985566905,-0.41420214282708
"miR200c",-0.0676003765032036,0.2461395145654,0.168168038046803,0.143165807121071,0.122265083921442,0.0995227784405614,0.0335853533482984,0.0956989999756314,-0.00429877901626071,-0.095654803456406,-0.104026970989282,-0.10873675848691,-0.102464166966505,-0.267591009450544,-0.268334307732535
"miR101",-0.0403014783825901,0.0887320524126274,0.156801328568101,-0.0687804578859492,-0.175853148269994,-0.183614822781267,0.0509862169891985,0.0106103231325892,0.174940167210548,-0.0105962482896116,-0.120806221953537,-0.0820267884929311,0.072434194950501,-0.270660344451178,-0.271369912538686
"miR200b",-0.0394441462534503,0.224334174602278,0.141601886182944,0.131634297476923,0.112400446326963,0.0913605112631902,0.0310543190728746,0.0891617815045825,-0.004094644695123,-0.0892346460362786,-0.104924320143231,-0.141277788735848,-0.092338193141484,-0.243273880681456,-0.243899621202783
"TWIST2",-0.0264451925594197,0.0796690893314244,0.158557285292588,-0.131771046383154,-0.161146810096588,-0.204160097097286,0.152146011170332,0.0195290133014793,0.0226261876837266,-0.0195363701124715,-0.134829605491773,-0.0505757376534353,0.126220517433472,-0.285276890646348,-0.286058779669118
"SNAI2",-0.0186396770955036,-0.0356461342669044,-0.0210228037321286,-0.030666235905348,0.0362268329790165,0.00638268300025691,-0.0972901798280211,-0.00254761555898379,0.0740818297202326,0.00257755388603008,0.0400316392539756,0.0153047045762826,-0.022162519235316,0.0598154788640391,0.0600884402776778
"miR34a",-0.0130529204003294,0.0669956909317404,0.208060125527416,0.0186743783757423,-0.0979361179696428,-0.216247353999417,0.0733506270665865,-0.00574262256613798,0.0843376064018817,0.00565707313859106,-0.19643702508276,-0.132463552124287,0.141186020537281,-0.276302077722939,-0.277048976653311
"miR141",0.020233658046161,-0.180131670945968,-0.190663648339879,0.079809937895999,0.151863134784398,0.225080104373064,-0.120737485507177,0.083085161362044,-0.0297661654110673,-0.0830146858313871,0.171541201715342,0.091059979760853,-0.164769657960664,0.351859225667264,0.353239372290487
"miR200a",0.0394441462534503,-0.224334174602278,-0.141601886182944,-0.131634297476923,-0.112400446326963,-0.0913605112631902,-0.0310543190728746,-0.0891617815045825,0.004094644695123,0.0892346460362786,0.104924320143231,0.141277788735848,0.092338193141484,0.243273880681456,0.243899621202783
"ZEB1",0.0729022363217206,-0.317174004209195,-0.35185092369259,-0.0822629924685412,0.047976930632623,0.181644316334916,-0.159031148651773,-0.00706304418238362,-0.0297980980451288,0.00720764716402032,0.291190366684306,0.276782527123525,-0.137596865401218,0.41420214282708,0.315552064879483
"TGFbeta",0.108687637812955,-0.0551517255458303,0.0318395386740296,-0.125702064317985,-0.15678945596012,-0.188719179490002,0.105393295806141,-0.0107426343740642,0.024100067304686,-0.0892702713496243,-0.139222024113867,0.0114733612449336,0.132681637531296,-0.16359686820166,-0.16410422757965
