"","ZEB2","SNAI2","miR101","miR200a","ZEB1","miR141","TWIST1","miR200c","TGFbeta","GSC","TWIST2","FOXC2","miR200b","SNAI1","miR34a"
"SNAI1",-0.105312889081426,0.193209563403798,0.238890559311361,0.0124061550831001,-0.0818245061649895,-0.0818146136227298,0.131378611914636,0.0921762793656422,0.0532932821744123,-0.053338880363173,-0.183685470274563,-0.193014548648178,-0.0664772370125504,0.0803905651676467,0.181355755959355
"ZEB2",-0.0891890687253014,-0.0331514675701344,-0.0095679832320208,-0.00697880148551177,-0.00654235639332928,-0.00636866492710455,-0.00386188892191675,-0.00269610358526969,-0.000834185242083642,0.000976266735969063,0.00458928350311364,0.00522063509747198,0.00915336006129209,0.0140227621143475,0.0222693438314575
"GSC",-0.0464693267321427,-0.201158428894712,-0.265851936588067,0.00305670501847519,-0.0548786895561503,-0.0549420736786732,-0.270521034948437,0.05102235572326,0.00997753765076732,-0.0101308644640304,0.137542214477123,0.336199201393418,0.0386009515353249,-0.225924829438561,-0.0692408318828624
"SNAI2",-0.0285261827420224,0.275129140309,0.275950557303313,0.071920321400789,0.112549914790527,0.112207959449024,-0.166204745614579,-0.0420529034563956,0.188757113233961,-0.188898251061465,-0.310037410368827,0.0594979065982382,-0.297335921284223,-0.0301004638909281,-0.0825853175348223
"miR200a",-0.02101887698011,-0.154153409753079,-0.051936687156376,-0.00472128551188202,-0.029915997182451,-0.0302732987227353,-0.0222795511978856,0.0263991978452827,-0.101661596711185,0.101481227132724,0.0263374638099539,0.0299098256352597,0.077982246221477,0.0508280684587892,0.113818983433748
"miR200b",-0.0129540260000724,-0.143734237038756,-0.0483528536463505,-0.00478747795049134,-0.0212535750228784,-0.0214655492527362,-0.0207644614235455,0.0174832940801483,-0.101199056694473,0.100915960071326,0.0247697675783287,0.0277290165067843,0.0433458217377342,0.0472519336755173,0.103412014339403
"miR141",-0.0114026759793164,-0.0959770742102433,0.0144529375635497,-0.00465932573684113,-0.0193944174950442,-0.0191472685021532,0.0410864147789593,0.0158372750104973,-0.111870745419022,0.112258958087894,0.0489951693223085,-0.0118903558899444,0.038925852166954,0.125023065367125,0.0178696249623941
"TWIST1",-0.0095693678212083,0.296127540875236,0.249029854068758,0.00133500607098194,0.0305745428100471,0.0308719373024152,0.0628720250445411,-0.0129692215246901,0.0226651745738866,-0.0223296489616526,-0.236202935748728,-0.29355254392533,-0.0823758212321961,0.199719457929247,0.0768186628320826
"miR34a",-0.000225802657025951,-0.189075069244951,-0.151184787098189,-0.06078985313161,-0.0366263579001905,-0.0370429793502974,-0.0495789172154071,0.0609191412272401,-0.0070466080516813,0.00675234229026106,0.066272005864555,0.141262823521291,0.103716140182761,-0.103426177739213,-0.0365924211558601
"FOXC2",0.00923393145958951,0.0896306238090274,0.0992418233140131,-0.000656637246195139,0.000648864264985827,0.00134620837707348,0.0805883916327191,-0.00411483570856355,-0.000818187666667511,0.00147684710099529,0.00114215615386704,-0.10221091615803,-0.00500322732990885,0.11022798085927,0.00941650281433176
"ZEB1",0.00931833713994372,0.0899405149967999,0.0989467541682916,-0.000896828473138229,-0.099044859324313,0.000648864264985827,0.0801492973021139,-0.00359914803818694,-0.0012417592323467,0.000818187666667511,0.00175750013907766,-0.10228649262136,-0.0047089143063269,0.110284420239848,0.00988430503919019
"miR200c",0.0129540260000724,0.143734237038756,0.0483528536463505,0.00478747795049134,0.0212535750228784,0.0214655492527362,0.0207644614235455,-0.0174832940801483,0.101199056694473,-0.100915960071326,-0.0247697675783287,-0.0277290165067843,-0.0433458217377342,-0.0472519336755173,-0.103412014339403
"miR101",0.0139195079590429,-0.143324048397323,-0.206586607721333,0.0429720958985261,0.0977303915017439,0.0980041940842853,-0.139792604920793,-0.0551496042415541,-0.0381736388393343,0.0382739220955492,0.134656724583837,0.185006353900968,-0.0261443471980722,-0.168146533736635,-0.124821738681819
"TGFbeta",0.0779184040421792,0.149467571328555,0.0418316433531907,0.011830159791735,0.103805090888247,0.103858744848443,-0.00637788027049098,-0.0925431047342452,0.0677678838519351,-0.167937271475346,-0.0847278932815729,-0.0224114388555402,-0.120376200219012,-0.0670973060042014,-0.140223233452779
"TWIST2",0.116064422394187,-0.176544076409051,-0.137696035823717,-0.0793525394650182,-0.0365107416455959,-0.0368858548831794,0.0539438072677735,-0.0385373258118684,-0.0233730442320627,0.0230702831643065,0.155631738690123,0.0141056443463101,0.107446706716518,-0.08880500587,-0.0293345603000822
