"","ZEB2","TWIST2","ZEB1","SNAI1","FOXC2","miR200c","miR101","TGFbeta","miR200b","TWIST1","GSC","miR200a","SNAI2","miR141","miR34a"
"ZEB2",-0.08914810810814,-0.0283302188403506,-0.0268058042728598,-0.014014128005598,-0.00524456322489051,-0.00501826575401246,-0.00439023875179648,-0.00356331276649975,-0.00285079556186211,0.00268718727657338,0.00343899145935001,0.00501826575401246,0.0229933980967003,0.0269585930411434,0.0350604423045003
"TWIST1",-0.0813761071350979,0.0932765670734433,-0.11776339686086,-0.0145110749053257,-0.0568169603221236,-0.10335704156294,0.108752539477786,-0.0572761303129806,-0.11253951826906,0.0280502362147142,0.0572707832912717,0.10335704156294,-0.165687892672356,0.118084126579307,0.0916554707024437
"TGFbeta",-0.0799938961699943,-0.188434581845113,-0.0842178070191047,-0.0665102496089412,-0.0344761508289634,-0.0828777623049749,-0.0486017133463181,0.0793252530643549,0.0730355637409814,0.0335650216952264,-0.179549490013442,0.0828777623049749,0.166482896459411,0.0846762189246361,0.12660829057832
"TWIST2",-0.0650442858723305,-0.149616631256865,-0.102634012036432,0.0154672048938883,-0.00154410323176803,-0.0826685112717894,-0.0792520600188437,-0.0112729712650942,0.00343646623192207,-0.0148777082605648,0.0113018326005252,0.0826685112717894,0.147269880584499,0.103030233639084,0.0534300957691548
"SNAI2",-0.0300246395272852,-0.168753999989865,0.0609461169280024,0.057570931118369,-0.0796655275446992,0.0156215299058246,-0.223440327550201,0.209476263398287,0.204830240238056,0.0673666629505375,-0.209215372262598,-0.0156215299058246,0.088649294089687,-0.0610750618902734,-0.0598785677972234
"ZEB1",-0.0227239692371856,0.0213336599271039,0.0173172630124516,-0.121157975178476,0.088956943679393,0.142110497979299,-0.0322485840189772,0.081881354296732,0.18198255925497,0.015325710137104,-0.0821769586220247,-0.142110497979299,0.179218385246093,-0.117352351962941,-0.116399299380268
"miR200b",-0.00664592010144612,-0.116704308489937,-0.16761999007338,-0.0434335937916222,-0.0261584073210202,-0.086424441581493,-0.0198890252756556,0.0627224466254733,-0.0631979044066049,0.0131627377441331,-0.0629386512195223,0.086424441581493,0.0845135136545768,0.168217035393285,0.161863900671785
"miR200c",0.00134854058502285,0.126116806219651,0.183013169430378,0.0471086334171393,0.0283120036611981,0.0919911072278399,0.0211190546986239,-0.0631500434198019,0.0335876417217748,-0.0141107419210587,0.0634641970564588,-0.0919911072278399,-0.090766556885695,-0.183557452605733,-0.17607348464028
"miR200a",0.00134854058502285,0.126116806219651,0.183013169430378,0.0471086334171393,0.0283120036611981,0.0919911072278399,0.0211190546986239,-0.0631500434198019,0.0335876417217748,-0.0141107419210587,0.0634641970564588,-0.0919911072278399,-0.090766556885695,-0.183557452605733,-0.17607348464028
"miR141",0.00134854058502285,0.126116806219651,0.183013169430378,0.0471086334171393,0.0283120036611981,0.0919911072278399,0.0211190546986239,-0.0631500434198019,0.0335876417217748,-0.0141107419210587,0.0634641970564588,-0.0919911072278399,-0.090766556885695,-0.183557452605733,-0.17607348464028
"miR101",0.0202172591104406,-0.0455041126864648,-0.178572851344347,0.008414204720165,0.019418689350287,-0.0795817681264239,0.0485161956100852,-0.0450290974116913,-0.0612720243487108,0.0271842324852123,0.0448478838083556,0.0795817681264239,-0.000683996889261308,0.179150803246474,0.115204717991913
"FOXC2",0.0226857645608148,-0.0232325111089341,-0.117352351962941,0.121656523040247,-0.0889769945778275,-0.142790557477271,0.0314036671478952,-0.0821769586220247,-0.1821310996838,-0.0148686935889231,0.0819887702122168,0.142790557477271,-0.179133771478301,0.118408513259809,0.117241641823434
"SNAI1",0.0567141144163735,0.0546459091864597,0.110176492502148,-0.0953378097369408,-0.0197103212843023,0.090024986260273,-0.0452990402496293,0.0312427225376922,0.0461480895236289,-0.0244965892560109,-0.0311923662770608,-0.090024986260273,-0.0190842708302328,-0.110293657299537,-0.110667160345146
"GSC",0.0579898578297486,0.0481297765287936,0.0754853001167129,0.0102737041044135,0.0672867283461396,0.0682483697370972,-0.0338777389752868,0.0266962448186398,0.0620162894230958,0.0625626958994288,-0.0268016175668494,-0.0682483697370972,-0.0455369340507559,-0.0757874802357178,-0.0501539395097425
"miR34a",0.0829730282122583,0.0805607663120267,0.170621586553052,0.0506789194909988,-0.0592967605449374,0.176708535149168,0.0600819469759418,0.0368705852171477,0.0163829387334847,-0.0358525645075148,-0.0366248581380236,-0.176708535149168,-0.156283834497888,-0.171237789966234,-0.124070062382875
