"","miR200c","miR200a","GSC","TGFbeta","SNAI2","miR101","SNAI1","ZEB1","FOXC2","miR141","TWIST2","miR34a","TWIST1","ZEB2","miR200b"
"miR200b",0.144437295720864,0.144437295720864,0.129302276177294,0.12824753221848,0.0991710336481734,0.0847565972132239,0.0707775999477886,0.00755090950447114,0.0768175836246379,-0.00735467135281237,-0.0378378419455308,0.00151732217837654,-0.105959356052734,-0.302275196358129,-0.149152029164151
"miR200a",0.144437295720864,0.144437295720864,0.129302276177294,0.12824753221848,0.0991710336481734,0.0847565972132239,0.0707775999477886,0.00755090950447114,0.0768175836246379,-0.00735467135281237,-0.0378378419455308,0.00151732217837654,-0.105959356052734,-0.302275196358129,-0.149152029164151
"TWIST1",0.0505894494091272,0.0505894494091272,-0.0186630449694839,-0.0184611948999726,0.0279435038233348,0.12152944351244,0.216054237015409,0.0897570685244318,-0.204669519596776,-0.0897396967450171,-0.0282720930934882,-0.120439482906162,-0.148893660610902,-0.207344031866677,-0.0924558100894163
"miR200c",0.0773546503733397,0.0773546503733397,0.0856170032899898,0.0861294440129015,0.123085615364397,0.119429758150661,0.115046186305489,0.0347197119125417,0.0264283131416642,-0.0349446452656223,-0.125449515924697,-0.126715669421555,-0.144659522363365,-0.191070106497124,-0.146430620783263
"miR141",0.0773546503733397,0.0773546503733397,0.0856170032899898,0.0861294440129015,0.123085615364397,0.119429758150661,0.115046186305489,0.0347197119125417,0.0264283131416642,-0.0349446452656223,-0.125449515924697,-0.126715669421555,-0.144659522363365,-0.191070106497124,-0.146430620783263
"TWIST2",0.125544151101116,0.125544151101116,0.0577869601653451,0.0575373945001479,0.0142233205239817,-0.0484953969374336,-0.0914085559561761,-0.0716029813553581,-0.0260445363909447,0.0715009575908571,-0.0141148463181393,0.0803729865067118,0.18761861117583,-0.183992565015479,-0.042276175553962
"SNAI1",-0.0131882168577736,-0.0131882168577736,-0.0700982598890256,-0.0698115860588174,0.136059516086185,0.219149405851087,0.103459099554645,0.127621098104543,-0.0744343196074202,-0.127733316630802,-0.167114075365531,-0.220624777918704,-0.25193625693788,-0.110839217131131,-0.123951794381512
"GSC",0.108776748867808,0.108776748867808,0.0833879118753077,0.0831109140521699,-0.0532283582737206,-0.190282608810649,-0.22440690005147,-0.11476598483284,0.232392460849178,0.114863272090666,0.100853846170883,0.14960241221184,0.136469449906107,-0.099892121407919,0.0148243381521084
"miR101",0.0415565403976017,0.0415565403976017,0.0143720374909389,0.0150757796398155,-0.123863690428272,-0.204450664587877,-0.185588825486994,0.00279556293337873,0.0618789116444232,-0.00304822509236153,0.0813364382348144,0.0936135574371663,0.216678389726877,-0.0851023045445252,-0.0313952014490519
"TGFbeta",0.0290541624454839,0.0290541624454839,-0.00360626056983601,-0.103214249212799,0.105519047030856,0.0846819168464859,0.0639828187230627,0.021947543809672,0.0759169385901846,-0.0220802667638402,-0.139663652630927,-0.100845018414412,-0.116175109387188,-0.0814442313887658,-0.138218503277607
"miR34a",0.165903182000307,0.165903182000307,0.14021084157787,0.139749117362528,-0.10630433475144,-0.140512763445036,-0.198618087024608,-0.156728133912382,0.0878934193616398,0.15694941982416,0.275102163540313,0.175677319006273,0.208292300426074,-0.072829680684686,0.0946499399584232
"SNAI2",-0.0539682428299673,-0.0539682428299673,-0.0284183705168434,-0.0292455237240937,-0.0983360839065477,-0.0094726844268626,-0.0224742862947481,0.0338267045918967,0.0149677105042548,-0.0333889615641351,-0.00789366165900591,-0.010801788978468,-0.0420986584512246,0.0764061239133837,0.0131490856827918
"FOXC2",-0.0705735831707725,-0.0705735831707725,-0.0288256423687163,-0.0270101777093926,0.0489344962774158,0.0591239091312809,0.0694697498214644,0.0220138704979293,-0.11147832219541,-0.0224997687689858,-0.0874247774236021,-0.0242427379935955,-0.051994041068842,0.135373046783308,0.0429996420655271
"ZEB1",-0.0699502435288021,-0.0699502435288021,-0.0270101777093926,-0.0277971762377694,0.0496895528931884,0.0583003225598896,0.0697754631329275,-0.077815697456836,-0.111186812979708,-0.0220138704979293,-0.0872531149384575,-0.0237256934292783,-0.0512681912570253,0.13565824913482,0.0431334207126099
"ZEB2",-0.234588145121174,-0.234588145121174,-0.0558484980913074,-0.0555973183074742,-0.0498090496373519,-0.0485489486656341,-0.0472367854218786,-0.0462538434112585,-0.0087444444433629,0.0462135310652292,0.0528560723577854,0.0568557063219568,0.0573724197100822,0.200656400069117,0.279003029687606
