"","ZEB2","SNAI1","miR101","SNAI2","TWIST2","miR200c","miR200a","TGFbeta","FOXC2","ZEB1","miR141","GSC","miR200b","TWIST1","miR34a"
"TWIST2",-0.102069393319644,-0.024757811890089,-0.0495602734236723,-0.0626357941680543,-0.0676681547963856,0.0522464036393604,0.0522464036393604,0.0302052529391789,0.0327184447904037,0.000929037416835672,0.000784357164590709,-0.030631382068189,-0.0128581626419792,-0.0251387321818687,0.0271776582809264
"ZEB2",-0.0836022261577739,-0.0760779186227046,-0.0727733127575396,-0.0688276531774338,-0.0261561938204467,-0.0115516112790659,-0.0115516112790659,-0.0106139035191236,0.00123459243981992,0.00509886893054889,0.0055741564670664,0.00957366401031958,0.0135598579282609,0.0137227161522167,0.019795836834572
"SNAI2",-0.0385608042173439,0.0404326823167315,0.226507904253355,0.114673822210715,0.182769142224167,0.0581921232809971,0.0581921232809971,0.237141762156316,0.0391946747556608,-0.0787161416204732,-0.0783540909601745,-0.237306850645457,-0.189626733255232,-0.134766770039279,-0.0613703253603897
"miR34a",-0.0217715011294944,0.0381087451145486,0.065340229220062,0.0799816720129609,0.179022881181298,-0.0344243516289812,-0.0344243516289812,0.010516790452841,-0.0332241985061717,0.00655441425597813,0.00684694573849937,-0.0102055361526171,-0.0630057273671745,-0.0824710871374456,-0.0280052069579978
"TGFbeta",-0.0127921095208412,0.110403190470726,0.093292007497781,0.0766125648719351,0.0435399488017161,0.0189964836924312,0.0189964836924312,0.108990535953666,0.00235808267273382,-0.0234145114800547,-0.0234807160742143,-0.208855025854937,-0.0883695344503251,-0.0194875601647077,-0.116400625385312
"miR101",-0.0111276635246867,0.0354420985300856,0.016296469182537,-0.103581134794575,-0.0892363331887255,0.0448272356302916,0.0448272356302916,0.0234517152152304,-0.038252085130246,-0.0820221667388625,-0.0819856824594952,-0.0237472869177586,0.0464503077312187,0.0216583347948111,-0.063392522577995
"miR200c",-0.00832349199799707,0.107503980035782,0.10221101678333,0.0982970728417328,0.0541923437601112,0.0139984595099668,0.0139984595099668,0.111312726646751,-0.00876720320324717,-0.0189776740749463,-0.0189915588498279,-0.110881511959173,-0.0237495330488297,-0.0416368658011087,-0.011621493424458
"miR200a",-0.00832349199799707,0.107503980035782,0.10221101678333,0.0982970728417328,0.0541923437601112,0.0139984595099668,0.0139984595099668,0.111312726646751,-0.00876720320324717,-0.0189776740749463,-0.0189915588498279,-0.110881511959173,-0.0237495330488297,-0.0416368658011087,-0.011621493424458
"FOXC2",-0.00138797987819699,0.0504959510709784,0.0566869297207827,0.0626236577822399,0.0748997190209802,0.00507487764920118,0.00507487764920118,0.00330821323491203,-0.0761404806153027,-0.00574416815902685,-0.00562349452247876,-0.00233959641972412,0.00707291083819734,-0.0749229723082424,-0.0055623131854912
"ZEB1",-0.0013734680243817,0.0507993127415841,0.0571289409310402,0.0630542717979446,0.0756576749169264,0.00518889613524405,0.00518889613524405,0.00249050256884254,-0.0764350745846094,-0.105794295231155,-0.00574416815902685,-0.00330821323491203,0.00702493504751941,-0.0747527112412731,-0.00582568509199044
"miR141",0.00345807037391222,-0.131289188689024,-0.123946514083969,-0.117981699904403,-0.0638735099321208,-0.00975999554197954,-0.00975999554197954,-0.119412228889873,0.00906187226081646,0.0158453338131336,0.015995289381854,0.119270083328039,0.0599162539980652,0.0467506015541913,0.0164522915587975
"miR200b",0.00669549749456333,-0.076849766541991,-0.0694324191179976,-0.0625753190969626,0.0216375349658781,-0.00651724536594195,-0.00651724536594195,-0.113303326790263,-0.0109779867901388,0.00523086333611566,0.00534934674843794,0.11370826246641,-0.00332269811051657,-0.0164774149052961,0.09833052029704
"TWIST1",0.0179119229263417,-0.0380637053510475,-0.0917869464165096,-0.111638589147462,-0.0976623366354297,0.00394249372021139,0.00394249372021139,-0.0165467309587301,-0.0777267018288335,-0.0524891175457615,-0.0524307794805629,0.0161390205534259,0.0587559811839214,0.119258540364013,0.0210324138266625
"GSC",0.0213418132476137,-0.0446415053142647,-0.0238408051209857,0.0939213603945034,0.0494859173733472,0.00891185828759508,0.00891185828759508,0.00589963301298849,-0.0396113125501451,-0.0563716870781678,-0.0564635694883368,-0.00624856193370654,0.0333004901124677,-0.0924046112592003,0.0053414426715639
"SNAI1",0.0311474128438708,-0.0727598260353196,0.0105267076390571,-0.1072725755289,-0.104866376763569,0.016059971359068,0.016059971359068,-0.0116535291449689,-0.0497698439135741,-0.0820499060698168,-0.0818974990906282,0.0113010353205497,0.0756989385864715,0.0155224448319959,-0.100411413928965
