"","miR200c","miR200a","TWIST2","miR101","TWIST1","SNAI2","TGFbeta","GSC","FOXC2","SNAI1","ZEB2","miR200b","miR34a","miR141","ZEB1"
"miR200a",0.260846523795962,0.260846523795962,0.0565252785395082,-0.0605092049618104,-0.0621558782815423,0.110235491270035,0.167885157608322,0.167621172993488,0.0183751785044037,0.00916052475448402,-0.216946938215036,0.0781299974656904,-0.253248958891631,-0.299549015101335,-0.299708227186643
"miR200b",0.0147819624858889,0.0147819624858889,-0.0455061534152899,-0.0355806840524796,-0.0294048524858124,0.0159121388602526,0.0392709633983431,0.0395134470038235,0.0351760299260127,0.0549174653145923,-0.195201354919122,-0.125911519487534,0.0907557303655989,0.168309138312127,0.168306361357151
"TWIST1",0.229029204342247,0.229029204342247,0.126486198469194,0.0146250067004415,-0.00364092360626766,-0.03085840612034,0.0469244981136704,0.0470768882323743,0.083928273216118,-0.00217143585387789,-0.192281152823131,0.0352664872150476,-0.139826393405264,-0.259012963229552,-0.259178643334716
"miR141",-0.00642938640318163,-0.00642938640318163,-0.0288954323262826,0.0638745302465343,0.065982364591404,-0.104206633234754,-0.190237055223345,-0.190247805728022,-0.0290249801072119,-0.0226204218197507,-0.17729016565763,-0.195311071316595,0.179869110049645,0.192351758874672,0.192276781090312
"GSC",0.162525303602085,0.162525303602085,0.00234769383396904,0.0343434675260995,-0.0751712745298558,0.0722130254084312,0.0441317057910092,0.0442597936226652,0.0562431224904759,-0.0406645887938707,-0.12610367861357,0.050498199754843,-0.0856231490283909,-0.190221020579575,-0.190296197096986
"SNAI2",0.0836121799387217,0.0836121799387217,-0.0771554313224154,-0.00887982649012669,0.114507358485126,-0.0119955807174976,0.0240591860414214,0.0239796356295556,-0.00163432263454498,-0.064223252785495,-0.0698560055944159,0.0332328863378642,-0.03808719860453,-0.0953937758451548,-0.0957069278963844
"TWIST2",-0.102648088148769,-0.102648088148769,0.0652989532430546,-0.0125347147348176,-0.222455202938982,-0.0958445753385591,-0.0778107452263215,-0.0776290885856678,-0.0368069542752173,0.117178886009714,-0.0393718379535622,-0.126326144097729,0.0861997346836151,0.243416812414238,0.243533787937329
"FOXC2",0.253409219046318,0.253409219046318,0.103428160584307,-0.030861932787079,-0.0379303109227379,0.13222496127387,0.123959600346057,0.123372895303714,-0.0729263606022354,-0.0710932053012554,-0.0280124310604216,0.24246389323594,-0.250945057023345,-0.271195459501721,-0.271375936002399
"TGFbeta",0.0279461026211535,0.0279461026211535,-0.0530983411874488,-0.0353513833816036,-0.0197938567979248,0.0639682310422902,0.0997592428646456,0.199138154912139,0.0316621290259028,0.0118927875144537,-0.0251192606222452,0.088828625614789,-0.073187764552529,-0.0302295488953393,-0.0303679196347913
"ZEB1",-0.253525552628524,-0.253525552628524,-0.104048786492137,0.0303606707443473,0.0374882295558701,-0.132838815296258,-0.124146432517021,-0.123959600346057,0.0735880402505735,0.0710226560755331,0.028084990329498,-0.242455589733708,0.250871193514157,0.271375936002399,0.171606019263466
"ZEB2",-0.301014168892934,-0.301014168892934,-0.0750361496188242,-0.0146728296606033,-0.0115992909598008,-0.0114501948517726,0.00554340336447963,0.005601758263754,0.0283965429158172,0.0407682082240813,0.0900301339838724,0.0991857456935251,0.179979159995588,0.23421223138356,0.234456593876157
"miR34a",0.0937561953197115,0.0937561953197115,0.00898725058563992,0.00441208097369181,0.0150112587895374,-0.049301509121834,0.0496970317440518,0.0494828548084202,0.0689953068293897,0.0144248328120901,0.0927422326766796,0.0592124830326126,-0.0972639894481841,-0.151927793946289,-0.152028764490256
"SNAI1",-0.119850791373441,-0.119850791373441,0.0246692950070329,-0.0307467463275954,-0.0200229501973603,-0.0571533330872404,-0.0294463882637969,-0.0290597949243045,0.0245228511707904,-0.0725826016983692,0.0998841541191171,-0.0325322207966226,0.0177227534800878,0.135480911968731,0.135504097614652
"miR200c",-0.0147819624858889,-0.0147819624858889,0.0455061534152899,0.0355806840524796,0.0294048524858124,-0.0159121388602526,-0.0392709633983431,-0.0395134470038235,-0.0351760299260127,-0.0549174653145923,0.195201354919122,0.125911519487534,-0.0907557303655989,-0.168309138312127,-0.168306361357151
"miR101",-0.248153221777995,-0.248153221777995,-0.039886377204979,-0.0206895211371108,-0.00635331279163053,-0.0831527611369296,-0.0578682402458856,-0.0578330531384418,0.0289009419700172,0.0283367302411352,0.205384549048769,-0.0555258562072953,0.151506105133109,0.28322076262972,0.283407957670586
